words,tfidf,pos,freq
落羽松,1.4537871765523835,Na,10
羽葉,0.6357834873181182,Na,1
晨光,0.4472135954999579,Na,1
樹葉,0.41937673775143375,Na,1
42巷,0.2626528625365957,Nc,2
櫻花,0.2626528625365957,Na,4
陽明山,0.2626528625365957,Nc,2
台北市,0.2400791512671581,Nc,1
士林區,0.2400791512671581,Nc,1
櫻花巷,0.13132643126829785,Nc,1
蕭瑟,0.13132643126829785,Nb,1
平菁街,0.13132643126829785,Nc,1
櫻花季,0.13132643126829785,Na,1
人煙稀少,0.13132643126829785,Na,1
抉擇,0.09668432082947803,Na,1
身軀,0.09668432082947803,Na,1
趣味,0.09668432082947803,Na,1
荀況,0.09668432082947803,Nb,1
盧梭,0.09668432082947803,Nb,1
歷程,0.09668432082947803,Na,1
君子,0.09668432082947803,Na,1
思路,0.09668432082947803,Na,1
思維,0.09668432082947803,Na,1
庶人,0.09668432082947803,Na,1
層面,0.09668432082947803,Na,1
層級,0.09668432082947803,Na,1
含義,0.09668432082947803,Na,1
邏輯,0.09668432082947803,Na,1
