words,tfidf,pos,freq
日式,8.872759279663324,A,53
藝術,6.8609470227743525,Na,52
拍照,4.271465899412722,VB,22
竹東,3.154844367832303,Nc,15
蕭如松,3.048693113404857,Nb,24
體驗,2.8200568684514478,VC,15
展覽,2.6293330663540155,VC,19
畫作,2.2533269553117057,Na,16
悠閒,1.462053796455773,VH,5
幽靜,1.4374764313546011,VH,4
水彩,1.4082535156417688,Na,11
日本,1.2384230946536772,Nc,7
故居,1.197744378062973,Nc,8
愜意,1.1486673841483186,VH,3
畫展,1.1327470546699832,Na,3
懷舊,1.0725002995114197,VH,4
文化,1.0256054939351138,Na,4
復古,0.9546405549790186,VHC,3
茶屋,0.9202577162910589,Nc,6
下午茶,0.8908824129036593,Na,3
新竹,0.8067178784223246,Nc,9
青松,0.760197755918206,Nb,5
孟孟,0.7071067811865475,Nb,1
館長,0.7071067811865475,Na,1
生平,0.6764506177958131,Na,5
藝術展,0.6760326297153043,Na,2
夜市,0.6737536751049135,Nc,4
庭園,0.6637966202870031,Na,3
鄉村,0.6548915094395372,Nc,1
清幽,0.6406616871597257,VH,3
寧靜,0.6212139289910906,VH,2
茶室,0.613802159014717,Nc,1
避暑,0.6115008011603761,VA,1
溫馨感,0.5827801770590388,Na,1
市集,0.5820404728251662,Na,2
文藝,0.5750139402682333,Na,3
紀念品,0.5660901072392723,Na,3
展覽區,0.5495577921659304,Nc,2
冰品,0.5481158065425743,Na,2
懷斯,0.5345565307915553,Nb,1
表演,0.5330935108703438,VC,1
古色古香,0.5003500516104664,VH,3
鰻魚飯,0.46517590699307526,Na,2
藝術節,0.4494860487546323,Nd,3
品項,0.4483063579431358,Na,3
美術,0.4421819588672927,Na,6
建築群,0.42364134900903083,Na,3
冰淇淋,0.3999729229739031,Na,3
導覽,0.39871191762739167,VC,3
北埔,0.39754519278912026,Nc,3
個展區,0.39547327553382455,Nc,1
庭院,0.39547327553382455,Na,1
歴史,0.3923053891681501,Na,1
都市區,0.38585967865576115,Nc,1
芒果樹,0.38585967865576115,Na,1
日式風,0.38585967865576115,Na,1
展示廳,0.38585967865576115,Nc,1
藝術品,0.3803649467347242,Na,2
小吃店,0.3774947749967563,Nc,1
筆觸,0.3626809550232135,Na,3
甘蔗,0.3417743614420512,Na,2
展覽廳,0.3416237287403949,Nc,2
構圖,0.3400646006994922,Na,2
文創品,0.32782604586684316,Na,1
歌者,0.32782604586684316,Na,1
信義,0.32688486807967965,Na,2
荷蘭,0.32277618935366026,Nc,2
熱鬧,0.3165459943752072,VH,1
線條,0.31461973359487244,Na,2
散步,0.3127508376019116,VA,2
