words,tfidf,pos,freq
公園,5.206447565390748,Nc,23
體驗,2.228190066663233,VC,8
三峽,1.8222050832692975,Nc,7
老街,1.5367780787494112,Nc,8
鏡花水月,1.3958300281456104,Na,2
成品,1.1696244141892893,Na,2
拍照,0.7973746694791054,VB,5
悠閒,0.7028161020797612,VH,2
手作,0.6912905301097101,Na,2
工房,0.5437561003493164,Na,1
散步,0.507327929530448,VA,1
diy,0.4843929586419626,FW,0
意趣,0.47404359307671995,Na,1
動漫,0.4234942925312083,Na,1
角色,0.4234942925312083,Na,1
日式,0.36559264773070166,A,1
懷舊,0.35523584593450025,VH,1
櫻花,0.35264720112885983,Na,2
公雞,0.31240672301978867,Na,1
巷道,0.3008918084593731,Na,1
古老,0.3008918084593731,VH,1
商家,0.29723728889781437,Na,1
傳統,0.2939826753521502,VH,1
老屋,0.27753746694247766,Na,1
步道,0.24860097321585775,Na,1
鳶嘴,0.24860097321585775,Na,1
文化,0.2476882549770108,Na,1
古厝,0.18614114452024774,Na,1
鐵道,0.1812601430549083,Na,1
民權街,0.1812601430549083,Nc,1
運送車,0.17632360056442992,Na,1
鐵軌,0.17632360056442992,Na,1
人文,0.1717923520963107,Na,1
古蹟,0.1717923520963107,Na,1
文物館,0.1717923520963107,Nc,1
鳶山,0.1717923520963107,Nc,1
樣式,0.1588028580349556,Na,1
步驟,0.1588028580349556,Na,1
