words,tfidf,pos,freq
水舞,10.33796540128762,Na,49
散步,9.635973922703178,VA,27
蘭潭,7.701077753654997,Nc,32
表演,4.6893453229351545,VC,16
藝術,4.658637000177572,Na,18
水舞秀,3.715978499142808,Na,10
拍照,3.381623929615618,VB,14
水庫,3.2559036963471537,Na,11
步道,3.1119708313648955,Na,14
噴泉,2.2513414481655207,Na,7
環潭,2.127330039901611,VC,9
悠閒,2.113819356109452,VH,3
夕陽,2.103574002773849,Na,6
健走,1.9626895408679612,VA,6
燈光秀,1.8376102956232256,Na,5
環湖,1.8151749990211519,A,7
夜景,1.7418101471410228,Na,3
湖畔,1.509571091924082,Na,5
健行,1.1900542625936237,VA,2
潭水,1.1678399973054558,Na,4
森林,1.1452529960904616,Na,5
腳踏車,1.1081242072503135,Na,4
約會,1.0917264477848165,VB,3
湖光水色,1.0,Na,1
風光明媚,1.0,VH,1
涼爽,0.9332479633787549,VH,3
月影潭,0.8304438639677801,Nc,4
風景區,0.8246167396316882,Nc,1
ubike,0.8173050814937878,FW,1
潭心,0.7893425575533852,Nc,5
日落,0.7290880421515057,VA,2
家鄉,0.7284424448954668,Nc,1
閒暇,0.7239807684250047,Na,1
愜意,0.712938917255356,VH,2
湖面,0.7071067811865475,Na,1
平原,0.6930934248739822,Na,2
單車,0.6698771706374698,Na,1
清幽,0.6496715268570369,VH,1
老大小,0.6395440329003212,Na,1
登山,0.6391490526525067,VA,2
騎車,0.536906680751908,VA,1
清新,0.533214284442347,VH,2
淺灘,0.5263051473769708,Na,1
玩水,0.5263051473769708,VA,1
鋁鋼,0.5146568959850709,Na,1
用水,0.5073751510204322,Na,1
點燈,0.496766090514529,VA,1
嘉義市,0.4915153372190174,Nc,2
行人路,0.4608415878634554,Na,2
大自然,0.4529325291804584,Nc,1
秀麗,0.44825844471825527,VH,1
集水區,0.44825844471825527,Nc,1
長度,0.4469510490646654,Na,1
告白,0.44151554231809226,Na,1
晚餐,0.44151554231809226,Na,1
隧道,0.438922825748464,Na,2
壯觀,0.437729173790377,VH,1
踏青,0.41845716558261536,VA,1
嘉南,0.40174933405661917,Nc,1
餘暉,0.40174933405661917,Na,1
景深,0.3927948279934799,Na,1
湖景,0.3927948279934799,Na,1
早午餐,0.39025010244845826,Na,1
自行車,0.3772654298996053,Na,1
公園,0.3728910907808489,Nc,3
停車處,0.37254701275074,Nc,1
濕地,0.37129297768854386,Na,1
月影潭心,0.36581432767661715,Na,1
綠意盎然,0.36581432767661715,VH,1
線條,0.3485527691826538,Na,1
藝術品,0.3485527691826538,Na,1
飆車族,0.34632029252707647,Na,1
輕音樂,0.34396423885934,Na,2
嘉大,0.3366795091993687,Nc,2
鳥瞻,0.33608634065951776,Na,1
市集,0.3351847030045609,Na,1
攤販,0.3351847030045609,Na,1
一角,0.32836341785937345,Nc,1
間隔,0.3220426857173277,Na,1
石門,0.32077990460203026,Nc,1
銀色,0.31532930865056225,Na,1
鳳凰木,0.31532930865056225,Na,1
林業村,0.3051819315372019,Nc,1
阿里山,0.3051819315372019,Nc,1
相機,0.3035027962698968,Na,1
驅蚊劑,0.3035027962698968,Na,1
雕塑,0.28936016915791696,Na,1
綠線,0.28894307946281955,Na,1
幾何,0.28894307946281955,Na,1
車聚,0.2807336958795749,Na,1
體質,0.2793424353341228,Na,1
八字,0.2793424353341228,Na,1
浪漫,0.2793424353341228,VH,1
運動區,0.2791834855934596,Nc,1
森林浴,0.2791834855934596,Na,1
植物,0.2791834855934596,Na,1
植被,0.2791834855934596,Na,1
石碑,0.27470770866258143,Na,1
綠樹,0.2714017615483481,Na,1
樹叢,0.2593233029041825,Na,1
蘭譚,0.2304207939317277,Nb,1
路人,0.2304207939317277,Na,1
行車道,0.2304207939317277,Na,1
下風處,0.229816568174261,Nc,1
野餐,0.2283982606147183,VA,1
學區,0.2283982606147183,Na,1
木棧道,0.21093273027927378,Nc,1
海浪聲,0.21093273027927378,Na,1
邊邊,0.21093273027927378,Nc,1
日月潭,0.20169440133383604,Nc,1
動物,0.19620762425595184,Na,1
乾癮,0.19528448640722468,Na,1
名堂,0.19528448640722468,Na,1
變形蟲,0.19528448640722468,Na,1
量子,0.19528448640722468,Na,1
遊景,0.17201745945057897,Na,1
車速,0.17201745945057897,Na,1
石墩,0.17201745945057897,Na,1
天光,0.17201745945057897,Na,1
遼闊,0.17201745945057897,VH,1
喇叭,0.16241217761792395,Na,1
堤岸,0.16241217761792395,Na,1
公厠,0.1373229337442916,Na,1
凌亂感,0.1373229337442916,Na,1
戶外區,0.1373229337442916,Nc,1
木桌椅,0.1373229337442916,Na,1
長者,0.1373229337442916,Na,2
電影感,0.1373229337442916,Na,1
公廁所,0.13723250943064877,Nc,1
樹枝,0.13723250943064877,Na,1
花圃,0.13723250943064877,Nc,1
火雞肉飯,0.12957741915050058,Na,1
湖岸,0.12957741915050058,Nc,1
森活村,0.12957741915050058,Nc,1
自在感,0.12957741915050058,Na,1
農產品,0.12957741915050058,Na,1
檜意,0.12957741915050058,Na,1
過年,0.12957741915050058,VA,1
校門口,0.12957741915050058,Nc,1
校園,0.12957741915050058,Nc,1
校區,0.12957741915050058,Nc,1
平台,0.12957741915050058,Na,1
優格,0.12957741915050058,Na,1
鮮乳,0.12957741915050058,Na,1
