words,tfidf,pos,freq
拍照,8.911456811664099,VB,44
文創,7.357457486951317,Na,41
原住民,7.349382845187364,Na,43
宜蘭,6.17897520690545,Nc,47
文化,4.392517671461218,Na,24
散步,3.6117831440163197,VA,11
市集,2.8361896579821537,Na,12
藝術,2.763341024658752,Na,19
悠閒,2.5391614554919757,VH,4
體驗,2.510981326234534,VC,10
商店,2.4667062390726895,Nc,11
展覽,2.312570949531439,VC,16
故事館,2.297829652107509,Nc,9
公園,2.0569333324410177,Nc,8
蘭陽,2.013742907120486,Nc,13
手工,1.994364312744303,Na,11
原創館,1.811031002857404,Nc,15
吉米,1.662102325482019,Nb,4
商家,1.6064301955029192,Na,5
市公所,1.60149534407621,Nc,7
diy,1.411426163901479,FW,1
藝品,1.3933042274831169,Na,6
宜蘭人,1.2648598119559025,Na,3
宜蘭市,1.141061877736879,Nc,6
手作,1.107724559781044,Na,7
手做,1.0255088233117167,Na,2
攤位,1.0069621384927512,Na,3
藝文,1.0048579379839144,A,3
購物,1.0,VA,1
手工藝,0.9954107392465882,Na,4
小物,0.9914565539946883,Na,2
攝影展,0.8776833333909192,Na,3
飾品,0.8769429441591963,Na,2
傳統,0.8278085170278093,VH,4
表演,0.8138716384394957,VC,3
藝術品,0.7931181101743114,Na,4
選品店,0.773214074160057,Nc,3
散步點,0.7694883395121268,Na,1
聖誕,0.7563483480646915,Nd,5
展覽室,0.7459847486657996,Nc,1
宜蘭縣,0.7407181896548354,Nc,3
下午茶,0.7296278030372738,Na,1
中山,0.6836803888327126,Nb,5
阮義忠,0.6791739681208551,Nb,3
歷史,0.652050963980768,Na,3
水豚,0.6453962172654363,Na,1
水杯袋,0.6421122225417636,Na,1
愜意,0.6296585983569694,VH,3
插畫,0.6265088864036616,Na,4
文青,0.6252357562567785,Nb,4
記憶點,0.6158147208158551,Na,1
工藝,0.5804455234629371,Na,7
人文,0.5653734107794134,Na,2
放電,0.5423753934714693,VA,1
部落,0.5355218830720948,Nc,3
點燈,0.5320820327152465,VA,2
雕像,0.5270389375153052,Na,1
創意館,0.517329681596992,Nc,1
雕塑,0.5089833235449894,Na,2
清幽,0.4880084932424686,VH,2
原住民族,0.48660334911245245,Na,3
拍拍樂,0.47154617475883004,Na,1
醬油,0.4693647456001724,Na,3
冰淇淋,0.46055159770728366,Na,1
文青風,0.4542248396649504,Na,2
玉石店,0.4388063437534259,Nc,1
周三,0.4359289035144869,Nb,2
古樸,0.43176461796456067,VH,2
附件,0.42820690891102514,Na,1
耳環,0.42479175740874275,Na,2
事蹟,0.41340130322614854,Na,1
店鋪,0.4107301333517787,Na,1
工作日,0.4088921719590338,Na,1
校舍,0.40167003543909496,Nc,1
親民,0.38855175555763577,VH,1
圖騰,0.38010873335385326,Na,3
攤商,0.3785777564918597,Na,1
老屋,0.37769089648377874,Na,2
古色古香,0.37608064937469005,VH,1
懷舊風,0.37608064937469005,Na,1
古物,0.37431072364210527,Na,2
文藝,0.37431072364210527,Na,1
古代,0.37431072364210527,Nd,1
販售品,0.3648882321737642,Na,1
懷舊,0.36429626809956894,VH,2
飲料店,0.3617415416982414,Nc,1
原民風,0.357390913523183,Na,1
腳步,0.35627052458877284,Na,1
眼福,0.35534853602810085,Na,1
藝品店,0.3418182575629023,Nc,1
泰雅族,0.337434603183377,Nb,1
文物,0.3365661996774475,Na,1
葛瑪蘭族,0.33258147214169703,Nb,1
縣政府,0.33258147214169703,Nc,1
親和感,0.32953131967668986,Na,1
歌手,0.328074237856017,Na,1
雞蛋糕,0.328074237856017,Na,1
草皮,0.32711080150647787,Na,1
放風箏,0.32711080150647787,VA,1
間數,0.32612510676528617,Na,1
房舍,0.3204015532443937,Na,1
塑像,0.3204015532443937,Na,1
可逛性,0.28981518622563446,Na,1
新村,0.28981518622563446,Nc,1
攝影師,0.28740232275375793,Na,1
點位,0.28740232275375793,Na,1
淘寶,0.2827078821872913,Nb,1
森活村,0.2812928452596185,Nc,1
檜意,0.2812928452596185,Na,1
華山,0.2812928452596185,Nc,1
療癒,0.2601220494071114,VC,1
編織物,0.2598366910832488,Na,1
豬肉,0.2598366910832488,Na,1
蘋果汁,0.2598366910832488,Na,1
啤酒,0.2598366910832488,Na,1
手撕,0.2598366910832488,Na,1
涼爽,0.2591278028245217,VH,1
公務員,0.2580738261071869,Na,1
頻道,0.2580738261071869,Na,1
回收品,0.2549616397042968,Na,1
攤販,0.2549616397042968,Na,1
新月,0.25359801039562546,Na,1
森林,0.2524918521605655,Na,1
古物展,0.25194388458901285,Na,1
社交,0.2514854299747101,Na,1
睛朗,0.2464511364468847,Nb,1
外景,0.2406467796890099,Na,1
動向,0.23545332719389458,Na,1
辦公區,0.2311024468943763,Nc,1
展覽廳,0.2311024468943763,Nc,1
訪客,0.2311024468943763,Na,1
精彩度,0.2307997285710222,Na,1
聖誕老公公,0.2269259126491407,Na,1
手作品,0.22538178601737552,Na,1
中山區,0.22538178601737552,Nc,1
差距,0.22538178601737552,Na,1
台北,0.22538178601737552,Nc,1
特色館,0.22420873222740606,Nc,1
職業,0.2183600970692665,Na,1
職人,0.2183600970692665,Na,1
古早味,0.21825814859450443,Na,1
白眼,0.2176230112387937,Na,1
民俗風,0.21216214261516325,Na,1
髮箍,0.21216214261516325,Na,1
芋泥,0.2101463173974194,Na,1
頭緒,0.20499225471229846,Na,1
臘肉,0.19368105688800064,Na,1
門市,0.19368105688800064,Nc,1
款式,0.19339483600741283,Na,1
織紋,0.19339483600741283,Na,1
耳夾,0.19339483600741283,Na,1
阮忠義,0.18415876868647738,Nb,1
國團,0.175672966228071,Na,1
中山堂,0.175672966228071,Nc,1
宜蘭市中心,0.16289328162638966,Nc,1
計程車,0.16289328162638966,Na,1
文創館,0.16289328162638966,Nc,1
展館,0.16289328162638966,Nc,1
禮盒,0.15645491520005744,Na,1
蘿蔔糕,0.15645491520005744,Na,1
廚師,0.15645491520005744,Na,1
休息日,0.14384946496853016,Na,1
拍照點,0.14384946496853016,Na,1
特質,0.14026966678471325,Na,1
技藝,0.14026966678471325,Na,1
身分,0.14026966678471325,Na,1
表演場,0.14026966678471325,Nc,1
自然,0.14026966678471325,VH,1
文昌廟,0.14026966678471325,Nc,1
學生票,0.14026966678471325,Na,1
吃食,0.14026966678471325,Na,1
草地,0.12928661550984508,Nc,1
浪漫,0.12928661550984508,VH,1
動物,0.12928661550984508,Na,1
圖騰牆,0.12928661550984508,Na,1
木雕,0.12928661550984508,Na,1
水鹿,0.12928661550984508,Na,1
洋傘,0.12928661550984508,Na,1
小米露,0.1246674985265253,Na,1
酪梨,0.1246674985265253,Na,1
熱鬧,0.1246674985265253,VH,1
巴法娜,0.1246674985265253,Nb,1
虛實,0.11802389763065499,Na,1
非線性,0.11802389763065499,Na,1
教學,0.11802389763065499,VA,1
短期,0.11802389763065499,Na,1
實力,0.10569502573186157,Na,1
平台,0.10569502573186157,Na,1
產銷,0.10569502573186157,Na,1
相機,0.10569502573186157,Na,1
展覽館,0.07645823751208494,Nc,1
期望值,0.07645823751208494,Na,1
素材,0.07645823751208494,Na,1
總體,0.07645823751208494,Na,1
