words,tfidf,pos,freq
虎字碑,4.914776237726805,Nb,24
古道,3.5688695619589472,Na,21
古蹟,3.041877499780895,Na,11
草嶺,2.7642952127042455,Nc,16
步道,2.643584647619136,Na,14
歷史,2.1939103179059805,Na,5
拍照,2.1364759270366322,VB,9
啞口,2.087222338391076,Na,5
劉明燈,1.8717387828310108,Nb,14
風光明媚,1.6219718697110266,VH,3
爬山,1.3270168974724854,VA,3
思古,1.2658018647665097,VH,2
同治,0.9981408693493715,Nb,8
健行,0.964206717378729,VA,3
總兵,0.9101834501091254,Na,7
大里,0.8725490017489543,Nc,7
古跡級,0.8432079296266597,Na,1
懷古,0.8384584998053077,VH,1
福隆,0.8103063049756722,Nc,9
散步,0.7893848609862755,VA,2
壯觀,0.7722019343856876,VH,2
登山,0.7677513975650982,VA,6
平台,0.7428949948443094,Na,2
古跡,0.7071067811865475,Na,2
遺址,0.7071067811865475,Nc,1
銀白,0.7071067811865475,Na,1
肅然起敬,0.7071067811865475,VH,1
古老,0.7071067811865475,VH,1
石碑,0.7071067811865475,Na,1
大自然,0.6681317203277684,Nc,2
龜山島,0.6437967315525599,Nc,2
斯卡羅,0.6414012973703487,Nb,2
徒步區,0.63490799911436,Nc,1
名勝古蹟,0.6320442507762075,Nc,1
里程碑,0.6178050502490897,Na,1
狂風,0.5960353980841291,Na,4
郊山,0.591369664387121,Nc,1
分公母碑,0.591369664387121,Nb,1
桃源谷,0.5878319100110071,Nc,3
貢寮區,0.5800029969429736,Nc,3
新北市,0.5800029969429736,Nc,3
淡蘭,0.5467121647041754,Nc,1
怪人,0.5360005340589014,Na,1
植物,0.5360005340589014,Na,1
歴史感,0.5360005340589014,Na,1
自然,0.5275571921790356,VH,4
易經,0.5255821860737566,Nb,3
貢寮,0.5168937883958115,Nc,6
踏青,0.4851407274874615,VA,2
薏仁,0.4745848401351724,Na,2
運動鞋,0.4712341408556738,Na,1
體驗,0.4649593871437352,VC,1
古人,0.4649593871437352,Na,1
登高,0.4603413339086433,VA,1
體魄,0.4603413339086433,Na,1
風勢,0.44364321455986794,Na,1
人文,0.44180243265946434,Na,1
芒花,0.4415548938950907,Na,5
電視劇,0.4242104117060517,Na,1
書法,0.4242104117060517,Na,1
筆跡,0.4242104117060517,Na,1
交會處,0.42237895686913773,Nc,1
清代,0.4087944511909247,Nd,1
官道,0.4087944511909247,Na,1
強風,0.40855945321163567,Na,2
健走,0.408248290463863,VA,1
前人,0.40673285396254066,Na,2
福隆里,0.3943083560716405,Nc,2
天公廟,0.37614163980216997,Nc,3
圖案,0.35355339059327373,Na,1
細雨,0.34906666372988765,Na,2
山頂,0.3455649605133643,Nc,2
虎字埤,0.342628336653021,Nc,1
詩意,0.342628336653021,Na,1
乾卦,0.33035934102325415,Na,1
風從虎,0.33035934102325415,Na,1
坪林,0.3273278975094274,Nc,3
海景,0.3229730636567929,Na,1
宜蘭,0.31016511763078825,Nc,2
石碣,0.30514776212491185,Na,1
悠久,0.29543904689318035,VH,1
大霧,0.2943996433585481,Nc,1
虎字,0.2943996433585481,Na,26
公園,0.2943233236411768,Nc,1
趣味,0.26765323453544276,Na,1
牛隻,0.2522844844131442,Na,1
聖人,0.2503912128576785,Na,2
使者,0.2503912128576785,Na,2
噶瑪蘭,0.2503912128576785,Nc,2
屬下,0.2503912128576785,Na,2
嶺頂,0.2503912128576785,Nc,2
臺鎮,0.2503912128576785,Nc,2
草書,0.2503912128576785,Na,2
萬物,0.2503912128576785,Na,2
虎雲,0.2503912128576785,Na,2
風寒,0.2372924200675862,Na,1
福隆站,0.23436256030740998,Nc,1
拐杖,0.2340880232987998,Na,1
根芽,0.2340880232987998,Na,1
花草,0.2340880232987998,Na,1
溪水,0.2340880232987998,Na,1
下坡路,0.22434808475812015,Na,1
計程車,0.22376541093035138,Na,1
季風,0.2193725026564829,Na,2
大溪,0.21500296078893508,Nc,1
山區,0.21500296078893508,Nc,1
山林,0.21500296078893508,Nc,1
院子,0.21500296078893508,Na,1
風壓,0.21438454104486235,Na,1
湖南,0.21438454104486235,Nc,1
老虎,0.21438454104486235,Na,1
師爺,0.20427972660581784,Na,1
榕樹,0.20427972660581784,Na,1
金門,0.20427972660581784,Nc,1
動物,0.19532758109507048,Na,2
大理,0.17127876422406946,Nc,1
寶島,0.17127876422406946,Nc,1
原點,0.17127876422406946,Na,1
支線,0.16683659139804324,Na,1
觀景台,0.16683659139804324,Nc,1
海岸線,0.16683659139804324,Na,1
漁船,0.16683659139804324,Na,1
可能性,0.16683659139804324,Na,1
風從,0.15364197859307424,Na,2
隘口,0.15364197859307424,Nc,1
雄鎮蠻煙摩碣,0.15364197859307424,Nb,1
山徑,0.15364197859307424,Na,1
鎮台,0.15364197859307424,Nb,1
天晴,0.13923711883365253,Nc,1
天雨,0.13923711883365253,Na,1
彰化,0.13923711883365253,Nc,1
海角天涯,0.13923711883365253,Nc,1
老天,0.13923711883365253,Na,1
登山口,0.12726040534592983,Nc,1
福隆端,0.12726040534592983,Nc,1
碑文,0.12726040534592983,Na,1
石燈籠,0.12726040534592983,Na,1
捷徑,0.12726040534592983,Na,1
客棧,0.12726040534592983,Nc,1
天空廟,0.12726040534592983,Nc,1
谷風,0.1201828664436395,Na,1
風口,0.1201828664436395,Nc,1
頭城鎮,0.1201828664436395,Nc,1
雙溪,0.1201828664436395,Nc,1
雄鎮蠻煙碑,0.1201828664436395,Nb,1
閩浙,0.1201828664436395,Nc,1
鎮總兵,0.1201828664436395,Na,2
農歷,0.1201828664436395,Na,1
左宗棠,0.1201828664436395,Nb,1
總督,0.1201828664436395,Na,1
縣界,0.1201828664436395,Na,1
望遠坑,0.1201828664436395,Nc,1
太平軍,0.1201828664436395,Na,1
大里里,0.1201828664436395,Nc,1
北風,0.1201828664436395,Na,1
劉氏,0.11644880267722907,Nb,1
台灣鎮總兵,0.11644880267722907,Nc,1
山稜線,0.11644880267722907,Na,1
蘭正道,0.11644880267722907,Na,1
頭型,0.11644880267722907,Na,1
標記物,0.09766379054753524,Na,1
教師級,0.09766379054753524,Na,1
標的,0.09766379054753524,Na,1
紀念,0.09766379054753524,VJ,1
待遇,0.09766379054753524,Na,1
亞洲人,0.09766379054753524,Na,1
健身,0.09766379054753524,VA,1
草原,0.09766379054753524,Na,1
