words,tfidf,pos,freq
散步,14.858910744359086,VA,52
拍照,3.6947749742783347,VB,17
森林,3.2410176843370344,Na,24
林場,3.1370190955236956,Nc,23
步道,2.844222284976635,Na,15
健走,2.8303712865216415,VA,11
森林浴,2.5724207500645124,Na,4
幽靜,2.192549507992252,VH,5
虎山,1.9884019086679556,Nc,17
台南,1.6106500258241696,Nc,11
芬多精,1.3887071684343417,Na,7
清新,1.2098032745217595,VH,4
毛毛蟲,1.0,Na,1
狗樂園,1.0,Nc,1
仁德,0.9684798067836745,Na,7
自然,0.9486362556800095,VH,7
平地,0.9308110615000267,Na,4
婚紗照,0.9209156211603318,Na,3
悠閒,0.8858305112249123,VH,2
清幽,0.8773495443052794,VH,3
健行,0.8662860847490267,VA,4
心木,0.8639771257148688,Na,4
蟲鳴,0.8523106323186541,Na,4
博物館,0.8261673518634385,Nc,4
奇美,0.8261673518634385,Nb,4
愜意,0.7972455451340185,VH,3
中老年,0.7203404616499945,Na,1
綠意盎然,0.7201707946573583,VH,6
鳥鳴,0.7114905454918656,Na,2
苦楝樹,0.6865044982939758,Na,2
大自然,0.6748214684848651,Nc,3
糖廠,0.6743902641603923,Nc,6
樹葉,0.645447536104142,Na,3
清靜,0.6411504401711652,VH,2
泥土路,0.5933134135929702,Na,2
鳥種,0.5690190347150162,Na,1
校區,0.5547247092261021,Nc,3
綠洲,0.5356738267509364,Na,1
風聲,0.5214855804865708,Na,2
山林,0.5190191027528428,Nc,1
健行場,0.5109538088889763,Nc,1
苦楝,0.5105807592697114,Na,4
實驗,0.5078481568869768,Na,3
林區,0.5000671991181779,Nc,2
林木,0.49361261209627577,Na,1
涼爽,0.49253148186728024,VH,3
視覺感,0.48880298187624144,Na,1
古都,0.47467778563749136,Nc,1
總行程,0.4682293212505304,Na,1
樹林地,0.46064676527464327,Na,1
蟬殼,0.4592779940474099,Na,1
欖仁樹,0.4567183927685944,Na,1
白樺樹,0.4567183927685944,Na,1
小道,0.45257205389191907,Na,1
涼樹,0.4436768456000115,Na,1
野生,0.43771755927926537,A,1
動物,0.43771755927926537,Na,1
牛稠子,0.4207373137290331,Na,2
公園,0.4207373137290331,Nc,2
人造林,0.41149006817705447,Na,2
夕陽,0.39364111122104556,Na,1
蚊液,0.39364111122104556,Na,12
校園,0.3894087900672025,Nc,3
隧道,0.3852365129354115,Na,2
鐘頭,0.3840597683644551,Na,1
蕭瑟,0.3745877260271281,Nb,1
褲管,0.3703262764376089,Na,1
阿伯勒,0.3672988915537307,Nb,1
十字路口,0.3672988915537307,Nc,1
黃金花,0.3672988915537307,Na,1
鳥巢,0.3670992969642519,Na,1
寧靜,0.3638649001206119,VH,1
呱呱聲,0.3589113852319378,Na,1
林地,0.3589113852319378,Na,2
七里花香,0.34108881879739433,Na,1
爬山,0.339958094427583,VA,1
操場,0.3393657771618869,Nc,2
生態,0.33739589592552843,Na,1
鳴聲,0.33739589592552843,Na,2
善舉,0.33140940112674744,Na,1
冰廠,0.32280702529416005,Nc,1
避暑,0.3220755970705333,VA,1
火車聲,0.3082452025767008,Na,1
遊樂場,0.3082452025767008,Nc,1
口琴,0.30447953505548225,Na,1
雙人,0.30447953505548225,Na,1
小葉,0.2972208858204511,Na,3
欖仁,0.2972208858204511,Na,4
悅耳聲,0.2969997879281758,Na,1
狗兒,0.2969997879281758,Na,1
尤加利,0.2791292553365032,Nb,1
濃蔭,0.2791292553365032,Na,1
茄冬,0.2791292553365032,Nb,1
棋盤,0.2748209537041187,Na,1
省道,0.2579099205161678,Nc,1
虎林,0.2579099205161678,Nc,1
花樹,0.2579099205161678,Na,1
竹桐,0.2579099205161678,Na,1
長椅,0.2579099205161678,Na,1
竹椅,0.25072263940449147,Na,1
涼徑,0.24695401279618143,Na,2
分區,0.2299789294454263,Nc,1
草木,0.2299789294454263,Na,1
樹種,0.2262403869089942,Na,2
人體,0.21563174454962494,Na,1
體溫,0.21563174454962494,Na,1
蚊燈,0.21563174454962494,Na,1
農場,0.19157338233300467,Nc,2
灌木,0.19157338233300467,Na,2
密林區,0.19106444276244533,Nc,1
蚊香,0.19106444276244533,Na,1
野餐,0.19106444276244533,VA,1
腳踏車,0.18665067213210218,Na,1
校舍,0.18665067213210218,Nc,1
樹皮,0.18665067213210218,Na,1
左腳,0.183786672241853,Na,1
教學,0.17884977186730203,VA,1
校門口,0.17884977186730203,Nc,1
產權,0.17884977186730203,Na,1
草地,0.17884977186730203,Nc,1
地形,0.17052444784566237,Na,1
昆蟲,0.17052444784566237,Na,1
災害,0.17052444784566237,Na,1
喬木,0.17052444784566237,Na,1
融氧量,0.16193704450444696,Na,1
泥地,0.16193704450444696,Na,1
府城,0.16193704450444696,Nc,1
松鼠區,0.15563686988317707,Nc,1
樹枝,0.15563686988317707,Na,1
森景澤,0.13859185852938716,Nb,1
熱量,0.13859185852938716,Na,1
林道,0.1311030140646407,Na,1
竹子,0.1311030140646407,Na,1
長者,0.12347700639809071,Na,1
黃昏,0.12347700639809071,Nd,1
台南市,0.12347700639809071,Nc,1
土徑,0.12347700639809071,Na,1
姑娘,0.12347700639809071,Na,1
崇德路,0.12347700639809071,Nc,1
希奇,0.12347700639809071,Nb,1
林縫,0.12347700639809071,Nb,1
樹木林林,0.12347700639809071,Na,1
步徑,0.12347700639809071,Na,1
蟲鳴聲,0.11624483645253367,Na,1
西瓜山,0.11624483645253367,Nc,1
天然,0.11624483645253367,A,1
枝幹,0.11624483645253367,Na,1
景觀區,0.11624483645253367,Nc,1
樹型,0.11139861123728284,Na,1
優點,0.09578669116650233,Na,1
十鼓,0.09578669116650233,Na,1
文創,0.09578669116650233,Na,1
檸檬桉,0.09578669116650233,Na,1
