words,tfidf,pos,freq
蜀葵花,17.206451160491575,Na,111
拍照,15.779009271299955,VB,79
花海,9.21894460920362,Na,48
蜀葵,8.826883714033539,Na,169
攤販,7.074084895634021,Na,33
鼠尾草,6.604851665262935,Na,35
花田,6.033631591889437,Na,36
學甲,5.977925445271544,Na,53
花季,5.40102706083659,Nd,23
薰衣草,4.509727619073666,Na,23
花兒,2.476320994782683,Na,5
壯觀,2.3777509851532685,VH,6
市集,2.353670931215047,Na,11
雞冠花,2.3360779681650823,Na,11
台南,2.3264265362309646,Nc,23
攤商,2.16118169474998,Na,6
藝術,2.1239917938768076,Na,15
茂盛,1.9726925824898993,VH,9
攤位,1.8699683640409424,Na,10
童話,1.8023228127845377,Na,5
花燈,1.683202560552616,Na,11
花草,1.6652472380392545,Na,7
花苞,1.652042710333373,Na,6
五顏六色,1.5759777299228146,Na,5
花色,1.5591786771146643,Na,5
花朵,1.5138368774077975,Na,7
浪漫,1.4206870286510493,VH,6
迷宮,1.3975521996170621,Na,6
花期,1.20751759213117,Na,4
鄉村,1.20490287538804,Nc,2
散步,1.1882933661633954,VA,5
文化,1.1568123233571004,Na,17
熱鬧,1.0378133202885187,VH,3
花美,1.032446593284296,Na,2
外婆家,1.0,Nc,1
盛會,1.0,Na,1
葵花,1.0,Na,112
粉塵,0.9881671499765099,Na,2
花園,0.9565612452461839,Nc,3
農田,0.9107846306519237,Na,2
表演,0.8977715866949131,VC,5
花種,0.8969395881946751,Na,3
踏青,0.8919997389160966,VA,3
悠閒,0.8440568350722479,VH,3
藝術品,0.8175800309387989,Na,2
冰淇淋,0.8107728363881416,Na,3
風飛沙,0.7966595597741654,Na,1
花景,0.7744263842971827,Na,2
拍花,0.7071067811865475,Na,1
南歐,0.7071067811865475,Nc,1
薔薇,0.6926600544667275,Na,2
麥田,0.683367729548382,Na,3
排攤,0.6727975209583991,Na,1
古樸,0.660340932001608,VH,1
古宅,0.64893947462746,Na,1
學甲區,0.633394874634391,Nc,5
大滿,0.6083648255895207,Na,1
村莊,0.596188961563238,Nc,1
花枝,0.5715541135852789,Na,3
療癒,0.5607185237657224,VC,2
粉萼,0.5543183805004418,Na,5
芋粿,0.549593066020341,Na,2
種子,0.5455312838240408,Na,5
花圃,0.5411778230085049,Nc,2
藝術燈,0.5370242978565902,Na,1
嬰兒,0.536772422522511,Na,1
地方性,0.514547154871808,Na,1
小人物,0.4964717690324297,Na,2
蜜蜂,0.48565294260483477,Na,1
花仙子,0.48565294260483477,Nb,1
步道,0.48080590815808055,Na,1
波斯菊,0.47764646203813627,Na,2
角色,0.47591574772903866,Na,1
花祭,0.47270491735352277,Na,1
古早味,0.46526539291324165,Na,1
人情味,0.4626484932954474,Na,1
筍包,0.4626484932954474,Na,1
池塘,0.4612779562082885,Nc,1
階段,0.4588511852137935,Na,1
農產品,0.45823968964461514,Na,4
金鐘,0.4522060815326279,Na,1
元寶,0.4522060815326279,Na,2
嘉年華,0.45046746405925914,Nb,1
光華里,0.4410940314442824,Nc,5
小葉,0.43589325865177886,Na,2
欖仁,0.43589325865177886,Na,2
仙境,0.4315146883792481,Nc,3
陽光明媚,0.4295554954757738,Na,1
漢服,0.4186771407094082,Na,2
光華,0.4086187993045992,Na,8
小吃區,0.4052980874515379,Nc,1
放電,0.40261268658991534,VA,1
植物,0.4010681932652773,Na,2
琉璃,0.39888833439259674,Na,2
愛麗絲,0.39416963374245445,Nb,2
雕像,0.39116436239011465,Na,1
番茄,0.39043367492860614,Na,2
潔癖,0.38920635897593947,Na,1
蜀葵花節,0.38483568934194357,Na,1
鄉里,0.37303124799864745,Nc,1
田地,0.37303124799864745,Na,1
農產,0.3728278297550592,Na,5
泡泡區,0.3661977072176997,Nc,1
鼠尾草網,0.3639372088208194,Na,1
人文,0.35926294144862486,Na,1
里長,0.35598013275620616,Na,1
沙塵,0.3551080000528325,Na,1
木棉花,0.34581401880215795,Na,2
雞冠,0.34012320584089684,Na,13
世外桃源,0.33967389510712137,Na,1
拍攝,0.3324381492070237,VC,2
堆肥,0.331678703185516,Na,1
農民,0.331678703185516,Na,1
二二八,0.3276824962320096,Nb,1
中來花,0.3257877403275887,Na,1
手工藝,0.31728688989149584,Na,1
蛋糕,0.31728688989149584,Na,2
中山路,0.3155429907457711,Nc,1
金魚草,0.3122808893571805,Na,1
花展,0.30868769261768075,Na,1
台南市,0.30577617853656086,Nc,3
曬太陽,0.2991166060928114,VA,1
溜滑梯,0.2959699209798159,VA,1
廟宇,0.29275078829911894,Na,2
技藝,0.2922121411821812,Na,2
社區型,0.2909186088549152,Na,1
農家樂,0.28879644411810895,Na,1
鄉下,0.28879644411810895,Nc,1
體驗,0.28879644411810895,VC,1
孔雀,0.2836259493277201,Na,2
主角,0.28285694664131433,Na,1
樂團,0.27933109764612063,Na,1
慈濟宮,0.2761255567312029,Nc,2
郊外,0.269156743501189,Nc,1
金山寺,0.2648357579718616,Nc,2
親子遊,0.26098112440579074,Na,1
白痴,0.260695790073754,Na,1
菊花田,0.2599940996729703,Na,1
保生,0.2595252137082626,Nb,2
大帝,0.2595252137082626,Na,2
村落,0.2595252137082626,Na,2
溝渠,0.24939787411942277,Na,2
普照,0.24762700949420266,Nb,1
時間點,0.24762700949420266,Na,1
農特產,0.2345708365099126,Na,1
蘆筍,0.2345708365099126,Na,1
眼睛,0.2337226685213341,Na,1
攤子,0.2337226685213341,Na,1
寫真照,0.22779761340399632,Na,1
田梗,0.22779761340399632,Nc,1
菊花,0.22779761340399632,Na,2
口腹之慾,0.2236778192016496,Na,1
美濃,0.2236778192016496,Nc,1
福音,0.2236778192016496,Na,1
口腹,0.2236778192016496,Na,2
好心人,0.22097124613213917,Na,1
擺飾,0.22097124613213917,Na,1
葉片,0.22042727187614947,Na,1
肥料,0.22042727187614947,Na,1
展場,0.21968740087625657,Nc,1
商展,0.21968740087625657,Na,1
北門,0.21653542691052596,Nc,2
天際,0.216370844290751,Nc,1
攝影師,0.216370844290751,Na,1
青色,0.216370844290751,Na,1
水泡泡,0.21607885281324646,Na,1
遊樂,0.21607885281324646,VA,1
樣式,0.21607885281324646,Na,1
陣頭,0.21482759139080446,Na,1
喉結,0.21482759139080446,Na,1
檳榔,0.21482759139080446,Na,1
中島,0.21480577603319578,Nb,1
三合院,0.2142561485392397,Nc,1
民俗,0.2142561485392397,Na,1
綠頭鴨,0.2142561485392397,Na,1
帳號,0.21177582497155817,Na,2
路人,0.21008347311459216,Na,1
四川,0.20787528747945708,Nc,3
花莖,0.20558669666173204,Na,1
腳步,0.20429496279152123,Na,1
摩斯拉,0.20354123802447008,Nb,2
農地,0.20303289205462796,Na,1
數目,0.20250009852062864,Na,1
森林,0.20146538049258805,Na,1
個頭,0.20146538049258805,Na,1
鼠尾花,0.20146538049258805,Na,1
主人家,0.1994222770954285,Nc,1
文明人,0.1994222770954285,Na,1
訪客,0.1994222770954285,Na,1
接車龍,0.19903862833337116,Na,1
轉角,0.19903862833337116,Nc,1
面具,0.19353524190802585,Na,1
禮服,0.19353524190802585,Na,1
樂活,0.19291772667681337,Na,2
效益,0.1914948800444469,Na,2
鎮公所,0.1863315392835025,Nc,1
腳賤,0.1863315392835025,Na,1
紅藜,0.18564458263084024,Na,1
香氣,0.18564458263084024,Na,1
酸梅,0.18086278730896455,Na,3
豆類,0.1796345412455833,Na,1
蜜餞,0.1796345412455833,Na,1
平底鞋,0.1796345412455833,Na,1
大蒜,0.1796345412455833,Na,1
福安宮,0.17673874914287988,Nc,1
花田區,0.17673874914287988,Nc,1
日草,0.17673874914287988,Na,1
玉米稻,0.17286409525807248,Na,1
蜘蛛人,0.17286409525807248,Na,1
黃沙,0.17286409525807248,Na,1
土黃色,0.17286409525807248,Na,1
古蹟,0.17173237276106912,Na,1
文物,0.17173237276106912,Na,1
秩序,0.17173237276106912,Na,1
農村,0.17173237276106912,Nc,1
財神爺,0.1687735897223134,Na,1
新郎,0.1687735897223134,Na,1
馬車,0.1687735897223134,Na,1
頑童,0.1687735897223134,Na,1
金元寶,0.1687735897223134,Nb,1
菇類,0.1687735897223134,Na,1
新娘,0.1687735897223134,Na,1
哥哥,0.1687735897223134,Na,1
南瓜,0.1687735897223134,Na,1
椰子樹,0.16317495944239388,Na,1
香味,0.16317495944239388,Na,1
少女,0.15788458596553717,Na,2
攤車,0.15788458596553717,Na,1
毛毛蟲,0.15788458596553717,Na,1
藝品,0.15788458596553717,Na,1
冷飲,0.15788458596553717,Na,1
宮廟,0.15788458596553717,Nc,1
蚵蛋包,0.15781679935721674,Na,1
花語,0.15104766323057245,Na,2
平安,0.15104766323057245,VH,2
別名,0.15104766323057245,Na,2
虱目魚,0.1477506071824412,Na,3
美食攤,0.14612951558759865,Nc,1
空位,0.14612951558759865,Na,1
品項,0.14612951558759865,Na,1
遊園,0.14612951558759865,VA,1
中西區,0.13771966370718836,Nc,1
