words,tfidf,pos,freq
蜜蜂,1.048281655409812,Na,4
冰淇淋,0.9735514094236855,Na,3
玩水,0.846252853046987,VA,3
戲水,0.7763311815086945,VA,3
老店,0.6229399136604434,Nc,1
檸檬水,0.5215773203161064,Na,1
溪流,0.49786895085218347,Na,2
要角,0.4275857636586242,Na,1
露營,0.4203009933947934,VA,2
溪水,0.4003916879326731,Na,1
清涼,0.4003916879326731,VH,1
購物,0.3587499145970234,VA,1
果酸,0.3511230249487641,Na,1
虎頭蜂,0.3490955823554617,Na,1
龍眼蜜,0.32849407448180323,Na,1
紅十字會,0.31539677038309166,Nc,1
地主,0.31539677038309166,Na,1
溪谷,0.28868421738886696,Na,1
野餐,0.2732694430028062,VA,1
老字號,0.2732694430028062,Na,1
商家,0.26494136294688314,Na,1
芬多精,0.2553829109976521,Na,1
冬蜜,0.24693698635326336,Na,1
丫駡,0.24693698635326336,Na,1
荔枝蜜,0.21337175076381934,Na,1
露營區,0.21337175076381934,Nc,1
消暑,0.19725204558271112,VA,1
游泳,0.19725204558271112,VA,1
