words,tfidf,pos,freq
散步,9.89245957364232,VA,34
公園,5.043711556689933,Nc,29
埤塘,4.129328000287303,Na,30
健走,3.8994906507402978,VA,6
步道,2.934386293118649,Na,15
釣魚,2.6838080979677335,VA,11
清幽,1.0993240661750887,VH,3
垂釣,1.001310839481859,VA,7
吉見,1.0,Nb,1
放電,0.9962902524406685,VA,2
生態,0.9800797002461833,Na,8
遼闊,0.9510002195038729,VH,2
悠閒,0.8959560755163047,VH,1
池塘,0.8689323479767883,Nc,5
八德,0.7590154026606251,Na,4
西坡,0.6955501181281408,Na,6
溜滑梯,0.6437849953993773,VA,3
遊樂場,0.5939650295675747,Nc,2
樹䕃,0.5773502691896257,Na,1
阿北,0.5569596659019255,Nb,1
蝙蝠,0.5506826922505659,Na,1
盪鞦韆,0.5341847512877087,VA,2
湖景,0.5238684278323074,Na,1
夕阳,0.5060606382318227,Na,1
遊樂,0.478531364232635,VA,4
延塘,0.46404793794700394,Nc,1
釣客,0.46243406752141003,Na,3
環湖,0.4552626581203827,A,2
水池,0.4536350630056454,Na,1
夕陽,0.4433650581715824,Na,4
健行,0.42904536470657734,VA,1
野餐區,0.4126964489649846,Nc,1
晨昏,0.4057081391212201,Na,1
亭子,0.4001364675685513,Na,1
去处,0.4001364675685513,Nc,1
藝術,0.3920447106943695,Na,5
攀岩,0.3700174587187052,VA,1
餘暉,0.3604239108630202,Na,1
生態環境,0.3560682682030874,Na,1
幽靜,0.32627532674337073,VH,1
涼庭,0.31651193280168577,Nc,1
環型,0.30053155260968395,Na,1
男女,0.29992995839071374,Na,1
夜景,0.2815673209229119,Na,1
羽球,0.27802368938307487,Na,1
蹲式,0.27802368938307487,Na,1
員警,0.24755586122734569,Na,1
童話,0.2434153843172932,Na,2
卡洛里,0.2415054003910279,Nb,1
海港,0.2415054003910279,Nc,1
地帶,0.24011481344853047,Nc,1
住戶,0.2366513488658158,Na,2
噪音,0.2366513488658158,Na,2
目的地,0.22799887357546644,Nc,1
滑梯,0.22799887357546644,Na,4
餌料,0.20971630954346773,Na,1
鳥禽,0.20971630954346773,Na,1
八哥,0.20971630954346773,Na,1
石碑,0.20657461629879817,Na,2
救生圈,0.20619436266013536,Na,1
告示板,0.2007674308086195,Na,1
石門,0.18900630339665903,Nc,2
農田,0.18900630339665903,Na,2
體健,0.15927882016292977,Na,1
魚兒,0.15927882016292977,Na,1
公所,0.15927882016292977,Nc,1
牌子,0.15927882016292977,Na,1
惡犬,0.15927882016292977,Na,1
同福,0.14342504969165337,Nc,1
雲朵,0.14342504969165337,Na,1
棚架,0.1183256744329079,Na,1
警力,0.1183256744329079,Na,1
氣密窗,0.1183256744329079,Na,1
同理心,0.1183256744329079,Na,1
本土,0.1183256744329079,Nc,1
喇叭,0.1183256744329079,Na,1
台客,0.1183256744329079,Na,1
插曲,0.11782296362926069,Na,1
網子,0.11782296362926069,Na,1
誘餌,0.11782296362926069,Na,1
陽光明媚,0.11782296362926069,Na,1
木棉花,0.10328730814939908,Na,1
滯洪池,0.10328730814939908,Nc,1
流蘇花,0.10328730814939908,Na,1
水利會,0.10328730814939908,Nc,1
櫻花,0.10328730814939908,Na,1
東門溪,0.10328730814939908,Nc,1
杜鵑花,0.10328730814939908,Na,1
仙境,0.10328730814939908,Nc,1
情形,0.10328730814939908,Na,1
大湳,0.10328730814939908,Nc,1
大樹林,0.10328730814939908,Na,1
埤塘池,0.10328730814939908,Na,1
和平街,0.10328730814939908,Nc,1
市政府,0.10328730814939908,Nc,1
水圳,0.10058909616528271,Na,1
豎啣陂,0.10058909616528271,Nc,2
管口,0.10058909616528271,Na,1
笑語,0.10058909616528271,Na,1
湖面,0.10058909616528271,Na,1
涵管,0.10058909616528271,Na,1
東勇街,0.10058909616528271,Nc,1
歡聲,0.10058909616528271,Na,1
桃園,0.10058909616528271,Nc,1
新加坡,0.10058909616528271,Nc,1
支渠,0.10058909616528271,Na,1
圳員樹林,0.10058909616528271,Na,1
陳偉立,0.10058909616528271,Nb,1
