words,tfidf,pos,freq
水交社,0.8957218059473464,Nc,6
文化,0.8291257154510039,Na,3
拍照,0.815792563000399,VB,4
眷村,0.7778844947955917,Nc,6
公園,0.7756302740751829,Nc,3
新村,0.7068742738591482,Nc,4
散步,0.6965779776434577,VA,4
壁畫,0.6547243482179264,Na,2
尼斯,0.6063801061603757,Nc,1
花草,0.5693180968175288,Na,2
彩繪村,0.5414789275306873,Nc,4
磁磚,0.4603052631796987,Na,1
寧靜,0.4083699895522047,VH,1
鳥語,0.4083699895522047,Na,1
卡民,0.39073112055102743,Na,1
打卡族,0.39073112055102743,Na,1
騎車,0.37911958199255846,VA,1
南德里,0.37299757012229523,Nc,1
水交,0.37299757012229523,Na,7
大成一路,0.36337496160158617,Nc,1
寶石,0.3628566304698826,Na,1
光彩,0.3556197758011987,Na,1
燒餅店,0.3333333333333333,Nc,1
西門路,0.3333333333333333,Nc,1
手工作坊,0.3333333333333333,Nc,1
外省,0.3333333333333333,Nc,1
聲響,0.30448802186867846,Na,2
遊樂,0.25952907638487777,VA,1
台南市,0.25952907638487777,Nc,1
宿舍區,0.25952907638487777,Nc,1
波麗士大人,0.25952907638487777,Nb,1
水泵,0.23795486944786423,Na,1
玩伴,0.23795486944786423,Na,1
攝影師,0.21638395665417523,Na,1
住戶,0.18071155768083547,Na,1
委員會,0.18071155768083547,Nc,1
台南,0.1687697969792395,Nc,2
看護,0.16536694362045679,Na,1
腳步,0.16536694362045679,Na,1
垃圾車,0.16536694362045679,Na,1
字樣,0.16536694362045679,Na,1
氣派,0.10500169697640498,VH,1
嘉南,0.10500169697640498,Nc,1
外送員,0.10500169697640498,Na,1
大樓群,0.10500169697640498,Na,1
師生,0.10500169697640498,Na,1
海軍,0.10500169697640498,Nc,1
產權,0.10500169697640498,Na,1
磚房,0.10500169697640498,Na,1
藥理,0.10500169697640498,Na,1
音量,0.10500169697640498,Na,1
