words,tfidf,pos,freq
泡腳,6.465004956237913,VA,29
溫泉,2.6219757434284343,Na,22
谷關,2.023396177855374,Nc,16
泡腳池,1.5857967041282672,Na,7
公園,1.0418733454547746,Nc,5
溫泉池,0.9108016513763895,Na,3
悠閒,0.8205318642572068,VH,1
泡湯,0.8062243456529543,VA,4
吊橋,0.7202352582299754,Na,5
二葉松,0.6598695556460056,Na,1
冷水池,0.6446678598318355,Na,1
拍照,0.6339451677852475,VB,3
熱鬧,0.6046942227072619,VH,2
老街,0.5898289086002384,Nc,2
芬多精,0.5065576900925784,Na,2
體驗,0.5030203382400877,VC,2
溫泉魚,0.48654361638518046,Na,3
旅館,0.4618333274420217,Nc,1
商店街,0.43502730363714065,Nc,2
炮腳,0.434372934029907,Na,1
老少咸宜,0.40047120389259644,VH,1
雕像,0.3911993766765511,Na,1
黑熊,0.3911993766765511,Na,1
藝術,0.3414151831080281,Na,2
眼睛,0.3323236619545487,Na,1
谷關路,0.3163773211168406,Nc,1
冷熱池,0.3163773211168406,Na,1
郵局,0.31566729955801137,Nc,2
踏青,0.3152470072222258,VA,1
樱花,0.3152470072222258,Na,1
泡脚池,0.3152470072222258,Na,1
温泉,0.3152470072222258,Na,1
谷關泉,0.3152470072222258,Nc,1
雙腿,0.23965794136990995,Na,1
表演,0.23873510613476287,VC,1
山谷,0.23873510613476287,Na,1
晚會,0.23873510613476287,Na,1
歌手,0.23873510613476287,Na,1
泰雅族,0.23873510613476287,Nb,1
集散地,0.22686450487533147,Nc,1
谷觀,0.22518340272175866,Na,1
風景區,0.19416730538131532,Nc,1
吉祥物,0.15223726561265385,Na,1
商店區,0.15223726561265385,Nc,1
快炒店區,0.15223726561265385,Nc,1
泡泡腳,0.15223726561265385,Na,1
龍谷,0.15223726561265385,Nb,1
停車塔,0.11762768406793475,Na,1
博物館,0.11762768406793475,Nc,1
台8線,0.11762768406793475,Nc,1
和平區,0.11762768406793475,Nc,1
東關路,0.11762768406793475,Nc,1
經緯度,0.11762768406793475,Na,1
臺中市,0.11762768406793475,Nc,1
