words,tfidf,pos,freq
拍照,7.486019131423056,VB,28
豆腐岩,5.389514093925651,Na,44
夕陽,3.8078813176118036,Na,13
新竹,3.1780814995434676,Nc,14
豆腐,2.538713454938499,Na,58
壯觀,1.8583957296937843,VH,6
日落,1.7212820878656103,VA,3
溪水,1.4463262774119583,Na,9
竹北,1.4410163262360558,Nc,7
頭前溪,1.3303500628105915,Nc,8
騎車,1.1780631039566805,VA,5
縫隙,0.9344402234962561,Na,4
河道,0.9067202508759867,Na,3
水泥塊,0.8869656601882621,Na,4
女友,0.8812365358817066,Na,1
約會,0.8812365358817066,VB,1
自行車道,0.8181465944319092,Na,3
間隔,0.786502466680743,Na,3
溪流,0.7777022653145014,Na,3
河床,0.724471636717793,Na,6
拍照點,0.7071067811865475,Na,1
寧靜,0.7071067811865475,VH,1
雜草叢生,0.643814554132906,VH,3
悠閒,0.6364261489822607,VH,1
水勢,0.631980014556855,Na,1
黃昏,0.6282391308376316,Nd,1
螢火蟲,0.6229105898462657,Na,2
健走,0.6213369560179535,VA,1
遼闊,0.599451610802368,VH,1
溪埔,0.5773502691896258,Nc,1
淡水,0.5773502691896258,Nc,1
興隆路,0.5750286537067126,Nc,4
散步,0.5729038895014369,VA,3
姿勢,0.5707204944468979,Na,2
砂石車,0.5589047425277254,Na,1
產業道路,0.5589047425277254,Na,1
間隙,0.5469268044785132,Na,1
擋水岩,0.5335022438902044,Na,1
優悠,0.5335022438902044,Nb,1
草叢,0.5093656714044817,Na,4
點燈,0.5075962910124121,VA,2
風景區,0.5057110713077422,Nc,2
攝影點,0.49814520139983726,Na,1
空拍機,0.49399534127696926,Na,2
山區,0.4882718601459369,Nc,2
鍵盤,0.4661703144386966,Na,1
踏青,0.4599184334202528,VA,1
餘暉,0.4246704814467068,Na,2
單車,0.4245796053187602,Na,2
祕境,0.4227931213284367,Nc,2
友誼,0.4227931213284367,Na,2
居家,0.4227931213284367,Na,2
青春,0.4227931213284367,Na,2
玩水,0.4227931213284367,VA,2
釣魚人,0.42128935716418164,Na,1
竹東,0.42128935716418164,Nc,1
日出,0.42128935716418164,VA,1
涼爽,0.4169878470050954,VH,1
自然,0.41580583885918043,VH,2
豪宅,0.4114036225652703,Na,1
結構物,0.4070963076485993,Na,3
水岸,0.4045734852466131,Nc,1
消暑,0.4045734852466131,VA,1
戲水,0.4045734852466131,VA,1
腳踏車,0.3921950068506962,Na,2
蚊仔,0.3906456997030296,Na,1
攝影仔,0.3906456997030296,Na,1
間距,0.39029736991514274,Na,2
差距,0.36733856572108364,Na,1
蘆葦花,0.36733856572108364,Na,1
芒花,0.3522267769247188,Na,1
白日,0.3515032573415187,Na,1
空隙,0.3507404658242215,Na,3
水瀑,0.34746599366566916,Na,1
流量,0.3442442132624048,Na,3
溪水量,0.3312388014961905,Na,1
霓虹,0.3312388014961905,Na,1
標配,0.33099486435647074,Na,1
高壓電塔,0.3198757351583761,Na,2
夜拍,0.3138932480998346,Na,1
方形,0.29932945823409907,Na,1
東科路,0.2899847282064597,Nc,2
砂石場,0.28552694503949105,Nc,1
豆腐狀,0.279088418393868,Na,1
激流,0.279088418393868,Na,1
石塊,0.279088418393868,Na,1
肢體,0.27481610330978856,Na,1
父母,0.27335799256213644,Na,1
舒壓感,0.27335799256213644,Na,1
臂力,0.27335799256213644,Na,1
石階,0.26876044139221783,Na,1
煙火類,0.2616745387378775,Na,1
仙女棒,0.2616745387378775,Na,1
休閒區,0.2563667630930505,Nc,1
臼齒,0.2429042649232663,Na,1
魔力,0.2429042649232663,Na,1
大自然,0.2429042649232663,Nc,1
柏油,0.24010443145175614,Na,2
沙路,0.24010443145175614,Na,1
碎石,0.24010443145175614,Na,1
堤外,0.24010443145175614,Na,1
愜意,0.23913862731247906,VH,1
晚風,0.23427714048280004,Na,1
頭城溪,0.23427714048280004,Nc,1
可玩性,0.22690345990623328,Na,1
老街,0.22690345990623328,Nc,1
農場,0.22690345990623328,Nc,1
孩童,0.22690345990623328,Na,1
惡臭,0.22690345990623328,Na,1
豆腐湯,0.2261827360663511,Na,2
溪河,0.2261827360663511,Na,2
岩塊,0.2261827360663511,Na,2
水利,0.22168226805061356,Na,2
步道,0.2176868119755747,Na,1
心身,0.2176868119755747,Na,1
高樓,0.21169358860761817,Na,1
雨頭,0.21169358860761817,Na,1
水花,0.21169358860761817,Na,1
中段,0.21094099046170242,Na,2
體驗,0.18772932595341463,VC,1
波濤,0.18772932595341463,Na,1
天際線,0.18585756318897748,Na,1
豆腐塊,0.18557054617331115,Na,1
凹凸狀,0.18557054617331115,Na,1
玩家,0.18341338072225272,Na,1
橋墩,0.18341338072225272,Na,1
遊樂,0.18341338072225272,VA,1
5段,0.1812457607094981,Nc,1
坤山,0.1812457607094981,Nb,1
海岸線,0.1812457607094981,Na,1
石縫,0.17899883487506088,Na,1
療癒,0.17899883487506088,VC,1
放電,0.17899883487506088,VA,1
方塊,0.17899883487506088,Na,1
樂章,0.17899883487506088,Na,1
網格,0.17899883487506088,Na,1
下游,0.175900860910179,Nc,1
河川,0.175900860910179,Na,1
雷殘,0.175900860910179,Nb,1
千甲站,0.16211583260988566,Nc,1
千甲路,0.16211583260988566,Nc,1
柯子湖溪,0.16211583260988566,Nc,1
千甲,0.16211583260988566,Na,3
新莊,0.16211583260988566,Nc,1
壘球場,0.16162134065272127,Nc,1
支線,0.15371295052899114,Na,1
背後,0.15371295052899114,Nc,1
自行車,0.15371295052899114,Na,4
體型,0.15371295052899114,Na,1
高架橋,0.15371295052899114,Na,1
台鐵,0.15371295052899114,Nc,1
十字路口,0.14499236410322985,Nc,1
