words,tfidf,pos,freq
瀑布,1.2481913727209375,Na,10
豬鼻子,1.0,Na,1
原始,0.7071067811865476,VH,1
步道,0.7002844253656494,Na,2
玩水,0.636570621530604,VA,2
避暑,0.612892096381086,VA,2
爬山,0.4757291658348161,VA,1
世外桃源,0.4656266975738668,Na,1
祕境,0.4656266975738668,Nc,1
豬槽潭,0.42732550372876693,Nc,2
青山,0.392210157219579,Na,2
攤販,0.3833081962536134,Na,1
朔溪,0.24334528229221028,Nc,1
高線,0.24334528229221028,Na,1
游泳,0.24054573869790816,VA,2
蜻蜓,0.22645868892420687,Na,1
生態,0.22645868892420687,Na,1
山菜,0.22645868892420687,Na,1
三芝,0.2231560429127832,Nc,1
人文,0.2231560429127832,Na,1
崁底寮圳,0.2231560429127832,Nc,1
成渠頂圳,0.2231560429127832,Nc,1
歷史,0.2231560429127832,Na,1
石門,0.2231560429127832,Nc,1
老梅,0.2231560429127832,Nb,1
深潭,0.21366275186438347,Na,1
潭水,0.21366275186438347,Na,1
攀爬,0.12027286934895408,VC,1
台北,0.12027286934895408,Nc,1
步行道,0.12027286934895408,Nc,1
級別,0.12027286934895408,Na,1
車程,0.12027286934895408,Na,1
陰影,0.12027286934895408,Na,1
