words,tfidf,pos,freq
體驗,3.4062119379420843,VC,20
繡球花,2.769839029719932,Na,18
拍照,2.755295635071117,VB,18
海芋田,2.4608374656590937,Na,14
小油坑,2.4441077973091594,Nc,10
悠閒,1.985013204613904,VH,5
青蛙裝,1.3236830590265425,Na,10
財福,1.3201634021443547,Na,11
竹子湖,1.2392946377957805,Nc,11
花期,1.0353146845225,Na,7
花園,0.9019115735175159,Nc,7
油坑,0.8051709142092431,Nc,14
花海,0.7771715181637289,Na,4
繡球花季,0.755699876694623,Na,2
散步,0.7524597239405751,VA,1
避暑,0.7524597239405751,VA,1
紀念品,0.7514708325307792,Na,4
佛心,0.7446438355157384,Na,2
清幽,0.6742241895265446,VH,2
下午茶,0.6383724588558195,Na,3
陽明山,0.6374356432097023,Nc,6
花田,0.6188547467327429,Na,5
簡餐廳,0.6012571502487354,Nc,1
火山,0.578628311535948,Na,1
紅棗,0.5751946199164593,Na,1
農園,0.5598232282626592,Nc,2
芋田,0.530225298231565,Na,15
小油坑山,0.5235440099921951,Nc,1
採花,0.5084843739370506,Nb,2
親民,0.506517307728062,VH,2
遼闊,0.4967537192288346,VH,2
群山,0.49590961950860124,Na,1
繡球,0.4933956282242831,Na,21
消暑,0.481900823694024,VA,1
清新,0.4807782697990947,VH,2
質量,0.4770007729145647,Na,1
愜意,0.469221166475738,VH,3
木屋,0.4624254299692577,Nc,2
商店,0.45735182745573,Nc,4
療癒,0.4463681740745057,VC,2
山巒,0.4387820541404146,Na,2
山嵐,0.43395221838558307,Na,1
飲食區,0.4333069657568536,Nc,1
仙境,0.4227208763775009,Nc,2
尾巴,0.4211625389710435,Na,1
海芋花,0.39743378076181707,Na,1
日落,0.3968349029184354,VA,1
黃昏,0.3968349029184354,Nd,1
花茶,0.38820928668727434,Na,1
賞景區,0.38820928668727434,Nc,1
紀念,0.3798137579691248,VJ,5
兔兔,0.37615126658593623,Nb,1
土司,0.37615126658593623,Na,1
鮮花,0.35989409782557674,Na,1
水田,0.32377134192805657,Na,1
農遊券,0.31916226215774085,Na,1
業主,0.31469958515167995,Na,1
莊園,0.31347301662135607,Na,1
山景,0.31347301662135607,Na,1
繡球花況,0.30109682846804764,Na,1
熊掌,0.30109682846804764,Na,1
山色,0.30051898490353846,Na,1
歷史,0.30051898490353846,Na,1
導覽,0.30051898490353846,VC,1
俱樂,0.2993853734384063,Nc,1
冰飲,0.2993853734384063,Na,1
紫色系,0.2993853734384063,Na,1
藍色系,0.2993853734384063,Na,1
長髮哥,0.2982540735754315,Na,1
風範,0.2982540735754315,Na,1
鐘聲,0.29045799897469593,Na,2
社會,0.2761433962636829,Na,1
金桔茶,0.2761433962636829,Na,1
層次,0.27087569145236057,Na,2
水圳,0.2589480246850849,Na,1
農場,0.24962101324938263,Nc,2
總量,0.23808914634512424,Na,1
茂盛,0.2373813186432837,VH,1
大自然,0.22491894809416235,Nc,1
大屯山,0.22491894809416235,Nc,1
花姿,0.22491894809416235,Na,1
仙氣,0.22273580621119435,Na,1
薄霧,0.22273580621119435,Na,1
細雨,0.22273580621119435,Na,1
爆棚,0.22273580621119435,Na,1
台北市,0.22273580621119435,Nc,1
北投區,0.22273580621119435,Nc,1
誤會,0.21113360199646392,Na,1
商家,0.21113360199646392,Na,1
套裝,0.19339046495583326,Na,1
人情味,0.173349178074362,Na,1
山區,0.173349178074362,Nc,1
觀景台,0.173349178074362,Nc,1
相機,0.1727635212000021,Na,1
拍攝,0.17183360246724186,VC,1
日出,0.17183360246724186,VA,1
夫妻,0.17183360246724186,Na,1
備胎,0.17183360246724186,Na,1
水袋,0.17136828752168018,Na,1
泥沼感,0.17136828752168018,Nc,1
票卷,0.17136828752168018,Na,1
日本,0.16955593510878078,Nc,1
園主,0.16717322219829917,Na,1
背後,0.16717322219829917,Nc,1
盪鞦韆,0.16717322219829917,VA,1
消費者,0.16382885809548275,Na,3
夕陽,0.15828021111147683,Na,1
天然,0.15828021111147683,A,1
寧靜,0.15828021111147683,VH,1
惠子,0.15173904225949725,Nb,2
鏡面,0.15173904225949725,Na,2
時間段,0.1508354889412542,Na,1
雨傘,0.14173640492707998,Na,1
巷子口,0.14173640492707998,Nc,1
拍照點,0.14173640492707998,Na,1
觀景臺,0.13996065006994793,Nc,1
紫藍色,0.13543784572618028,Na,1
粉紅色,0.13543784572618028,Na,1
花毯,0.13543784572618028,Na,1
蓬萊米,0.13543784572618028,Na,1
粉色系,0.13543784572618028,Na,1
混色,0.13543784572618028,Na,1
發源地,0.13543784572618028,Nc,1
淺藍色,0.13543784572618028,Na,1
浪漫,0.13543784572618028,VH,1
海芋園,0.1143379568639325,Nc,1
規則,0.1143379568639325,Na,1
空位,0.1143379568639325,Na,1
竹湖谷,0.1143379568639325,Nc,1
優點,0.1143379568639325,Na,1
停車區,0.1143379568639325,Nc,1
涼爽,0.1143379568639325,VH,1
水坑,0.10846924404622015,Na,1
花圈,0.08465135809707333,Na,1
魔力,0.08465135809707333,Na,1
香檳,0.08465135809707333,Na,1
香味,0.08465135809707333,Na,1
須知,0.08465135809707333,Na,1
詩篇,0.08465135809707333,Na,1
虎口,0.08465135809707333,Na,1
花莖,0.08465135809707333,Na,1
自然,0.08465135809707333,VH,2
章魚,0.08465135809707333,Na,1
弓箭步,0.08465135809707333,Na,1
山林,0.08465135809707333,Nc,1
大腿,0.08465135809707333,Na,1
反作用力,0.08465135809707333,Na,1
全家福,0.08465135809707333,Na,1
仙女,0.08465135809707333,Na,1
身後,0.07586952112974862,Nc,1
花趣,0.07586952112974862,Na,1
腳步,0.07586952112974862,Na,1
腳架,0.07586952112974862,Na,1
粉絲,0.07586952112974862,Na,1
水深,0.07586952112974862,Na,1
欄位,0.07586952112974862,Na,1
樂事,0.07586952112974862,Na,1
平台,0.07586952112974862,Na,1
原話,0.05460961936516092,Na,1
土匪,0.05460961936516092,Na,1
田超小,0.05460961936516092,Nb,1
規矩,0.05460961936516092,Na,1
說詞,0.05460961936516092,Na,1
邏輯,0.05460961936516092,Na,1
陷阱,0.05460961936516092,Na,1
