words,tfidf,pos,freq
老街,8.575976650686746,Nc,54
寧靜,2.8395897966619046,VH,7
貢寮,2.41621624858172,Nc,20
古道,1.7244784195023448,Na,6
散步,1.6336810868030849,VA,7
悠閒,1.5781150030220972,VH,4
清幽,1.456237158041242,VH,4
古早味,1.4472247306569936,Na,2
歷史,1.4023191693144075,Na,3
淡蘭,1.2429370203275005,Nc,4
住宅區,0.9065164392215402,Nc,2
人情味,0.7902139488602242,Na,3
街坊,0.7524597239405751,Na,1
儂儂,0.7333447766035898,Nb,1
誤會,0.7333447766035898,Na,1
商家,0.6851988211401583,Na,3
風光明媚,0.6461666355940077,VH,1
商店,0.6172849949444822,Nc,2
文化,0.5982514479717801,Na,2
避暑,0.5356664978367318,VA,1
愜意,0.5268613323459437,VH,2
ㄧ般,0.49387151970287463,Nb,1
清靜,0.49387151970287463,VH,1
街景,0.48574923493460237,Na,1
長度,0.48574923493460237,Na,1
小品,0.47080810128251555,Na,1
玩水,0.4609176334477037,VA,1
文青,0.4597766280913762,Nb,1
菜包,0.4315995934098209,Na,2
鄉村,0.4242381735413054,Nc,1
街口,0.42044838579133004,Nc,1
古情,0.4189452427045065,Na,1
划船,0.3970094814701511,VA,1
山景,0.3970094814701511,Na,1
細雨,0.39497679139506514,Na,1
牛肉麵,0.3405375504482383,Na,1
大嶺,0.3342454559703291,Nc,1
家鄉,0.3330249182651379,Nc,1
民風,0.325990986144289,Na,1
淡蘭古道,0.325990986144289,Nc,1
社會,0.325990986144289,Na,1
貓咪,0.3247254107181662,Na,1
趣味,0.3247254107181662,Na,1
生活味,0.3247254107181662,Na,1
原住民,0.29912572398589005,Na,1
匯集地,0.29912572398589005,Nc,1
村落,0.278707585778915,Na,1
台2丙,0.278707585778915,Nc,1
車馬,0.278707585778915,Na,1
熱鬧,0.27208961748579774,VH,1
浪漫,0.24540160410330406,VH,1
里長,0.24036813233555795,Na,1
拍照,0.2388064932106925,VB,1
彩虹橋,0.2388064932106925,Nc,1
清幽感,0.2309506682116913,Na,1
禮品店,0.2309506682116913,Nc,1
老店,0.21915046959934445,Nc,1
肉包子,0.21915046959934445,Na,1
肉包,0.21579979670491045,Na,2
古樸,0.21215515181044897,VH,1
圖樣,0.21215515181044897,Na,1
家屬,0.20100070131070058,Na,1
日照,0.20100070131070058,Na,1
旺福,0.20100070131070058,Nb,1
社交,0.20100070131070058,Na,1
排程,0.19044598004412436,Na,1
桃源谷,0.19044598004412436,Nc,1
田寮洋,0.19044598004412436,Nc,1
賣品,0.1378863103129479,Na,1
療癒,0.1378863103129479,VC,1
岔意,0.1378863103129479,Na,1
父母,0.1281939169209131,Na,1
親戚,0.1281939169209131,Na,1
遺留物,0.1281939169209131,Na,1
鄉鎮,0.1281939169209131,Nc,1
宮廟,0.12393019314678186,Nc,1
思緒,0.12393019314678186,Na,1
書店,0.12393019314678186,Nc,1
理髮廳,0.12393019314678186,Nc,1
美術館,0.12393019314678186,Nc,1
診所,0.12393019314678186,Nc,1
郵局,0.12393019314678186,Nc,1
雜貨鋪,0.12393019314678186,Nc,1
