words,tfidf,pos,freq
公園,6.3202504668171935,Nc,36
溜滑梯,4.135233640035196,VA,18
盪鞦韆,1.8485896188964202,VA,7
花草,1.7860256137959483,Na,6
清幽,1.7262300857877901,VH,3
放電,1.2123236382756428,VA,3
遊具,1.1450983876465721,Na,3
泰山巖,1.0981131561460253,Nc,7
迷宮,1.0580905493499833,Na,5
健身,1.0303733155501051,VA,3
散步,0.9806673637877981,VA,5
曬太陽,0.8778194280906655,VA,1
秩序,0.7190887208755915,Na,1
騎車,0.6484396177356233,VA,1
療癒,0.6147528020672066,VC,2
貴子,0.59389022106778,Na,3
遊樂,0.5677457792225375,VA,2
步道,0.5644282383042347,Na,3
明志路,0.5624762423153995,Nc,4
魚池,0.5415317492529523,Nc,1
樹叢,0.53990109344916,Na,2
滑梯,0.5238684278323074,Na,19
樹迷宮,0.5238684278323074,Na,1
祖師廟,0.4594985676111326,Nc,2
里長,0.4435139387992529,Na,1
爬山,0.4334791231823461,VA,2
登山,0.4334791231823461,VA,2
門鎖,0.42396328020786817,Na,1
樂園,0.4140557816064832,Na,1
社區型,0.4140557816064832,Na,1
滑石,0.40045426103975046,Na,1
防護墊,0.3947790002006528,Na,1
花花草草,0.34434329842693334,Na,1
學會,0.33275683614407564,Nc,1
孫子,0.3160684782887746,Na,1
健行,0.315044227069185,VA,2
反應,0.3073764010336033,Na,1
爸媽,0.3073764010336033,Na,1
模範,0.3065592127260978,Na,1
卡車,0.303846877988239,Na,1
巷道,0.303846877988239,Na,1
孩童,0.29499345151768425,Na,2
磨石子,0.2863124774854298,Na,1
機車族,0.28606532761737685,Na,1
生態,0.28606532761737685,Na,1
蜜蜂,0.28606532761737685,Na,1
蜻蜓,0.28606532761737685,Na,1
蝴蝶,0.28606532761737685,Na,1
國中生,0.2772237456164683,Na,1
女孩,0.2772237456164683,Na,1
科大,0.272588478495083,Nc,1
放風,0.272588478495083,VA,1
廣告,0.26944273644491107,Na,1
三段,0.2680483872191974,Nc,3
台北市,0.23783387819314586,Nc,1
輔仁,0.23783387819314586,Nb,1
輔大,0.23783387819314586,Nc,1
古蹟,0.23783387819314586,Na,1
山林,0.2297492838055663,Nc,1
林口,0.2297492838055663,Nc,1
飲水机,0.2297492838055663,Na,1
遼闊,0.22885264572956684,VH,1
櫻花,0.22885264572956684,Na,1
眼睛,0.22544174224225763,Na,1
馬車,0.22544174224225763,Na,1
寺廟,0.221110018015154,Nc,1
鯉魚,0.221110018015154,Na,1
麵包,0.221110018015154,Na,1
新北市,0.2055783897201535,Nc,1
泰山區,0.2055783897201535,Nc,1
童話,0.2055783897201535,Na,1
74巷,0.17869892481279825,Nc,2
城堡,0.1254963391341117,Na,1
花園,0.1254963391341117,Nc,2
看護,0.10199650344321046,Na,1
飛碟,0.10199650344321046,Na,1
頂泰山巖,0.10199650344321046,Nc,1
參拜,0.10199650344321046,VC,1
父母,0.10199650344321046,Na,1
大排,0.10199650344321046,Na,1
中型,0.10199650344321046,Na,1
42巷,0.08934946240639913,Nc,2
應化街,0.08934946240639913,Nc,2
應化街口,0.08934946240639913,Nc,1
斜對面,0.08934946240639913,Nc,1
日光浴,0.08934946240639913,Na,1
難易度,0.08934946240639913,Na,1
體健,0.08934946240639913,Na,1
