words,tfidf,pos,freq
碼頭,0.5652904386607004,Nc,6
滑水,0.2950468471361195,Nv,2
體驗,0.14827055400767167,VC,2
社子島,0.14827055400767167,Nc,2
自行車,0.14827055400767167,Na,2
衝浪,0.14827055400767167,VA,2
攝影人,0.14752342356805975,Na,1
社子橋,0.14752342356805975,Nc,1
焚化爐,0.14752342356805975,Na,1
晨昏,0.14752342356805975,Na,1
河道,0.14752342356805975,Na,1
地形,0.14752342356805975,Na,1
台北,0.14752342356805975,Nc,1
北投,0.14752342356805975,Nc,1
光景,0.14752342356805975,Na,1
公園,0.07413527700383583,Nc,1
基隆河,0.07413527700383583,Nc,1
大稻埕,0.07413527700383583,Nc,1
島頭,0.07413527700383583,Na,1
日光,0.07413527700383583,Na,1
水岸,0.07413527700383583,Nc,1
河面,0.07413527700383583,Na,1
渡輪,0.07413527700383583,Na,1
社子,0.07413527700383583,Nc,4
