words,tfidf,pos,freq
年貨,8.523794068819452,Na,30
老街,7.309339884411802,Nc,41
迪化街,5.747792323401889,Nc,34
古色古香,4.618631731583738,VH,10
傳統,3.4820679401904884,VH,14
懷舊,3.471515762574853,VH,10
過年,3.4471811463237176,VA,15
文化,3.4429283974491023,Na,14
熱鬧,3.355332855464349,VH,10
台北,3.3470354873422195,Nc,26
商圈,3.0872855997581086,Nc,15
歷史,2.9446460716982203,Na,10
中藥,2.4339237436217163,Na,23
雜貨,2.3623834612366412,Na,13
商店,2.3236646012009565,Nc,13
市場,2.118867344141454,Nc,17
南北貨,2.0640680686563484,Na,7
中藥材,1.9512922757185536,Na,10
古蹟,1.761775362276956,Na,7
新舊,1.695084058451001,Na,5
古早味,1.679889567424977,Na,4
大稻埕,1.646416054487544,Nc,12
購物,1.6372718032284597,VA,6
迪化,1.6086975034049196,Nb,47
糖果,1.5444443785940707,Na,12
台北市,1.4469015182718847,Nc,5
文創,1.3552838822814544,Na,7
時尚,1.30397439892714,Na,2
城隍廟,1.2980265977260388,Nc,6
商家,1.2596319392286264,Na,9
草藥,1.2516938543513776,Na,2
散步,1.2366424345032268,VA,5
拍照,1.1091502421552257,VB,3
伴手禮,1.0771272123626054,Na,3
文青店,1.0447284648204243,Nc,2
維比,1.0,Nb,1
文青,0.9711635322332342,Nb,6
碼頭,0.9539737488690092,Nc,6
城區,0.9510556125277727,Nc,3
古老,0.9465298988478428,VH,3
集散地,0.9386480270248528,Nc,3
藥材,0.8586928249858707,Na,15
月老,0.8568816328868442,Na,2
街景,0.8167938381956898,Na,3
杏仁,0.8155527158392791,Na,8
父母,0.8067243255162405,Na,1
體驗,0.7798721811543983,VC,3
前途,0.7413697142317915,Na,1
商舖,0.7071067811865475,Nc,1
地道,0.7071067811865475,Na,1
香料,0.6691262669603764,Na,3
古味,0.6684320541861943,Na,2
堅果,0.6550279342799425,Na,4
零嘴,0.6440100794827148,Na,3
商區,0.6430820986592976,Nc,1
貨色,0.6319056270279634,Na,1
廟宇,0.6270873484017034,Na,2
悠閒,0.6246480236280363,VH,1
蚵爹,0.6189940954148884,Na,1
雜糧,0.6160583119734135,Na,2
保留地,0.5886742460197579,Na,1
