words,tfidf,pos,freq
體驗,9.226313199985166,VC,53
阿美族,8.405083488866559,Nb,57
原住民,7.369664086263314,Na,42
文化,4.718592679392684,Na,21
菜單,3.7540997602683115,Na,28
部落,3.3328640919231343,Nc,18
茅草屋,2.6534693233877604,Na,13
豬肉,2.2324007260685272,Na,14
海景,2.1312407955348274,Na,8
海風,2.0427088892749383,Na,11
傳統,1.8159991397749686,VH,7
台東,1.5409992477446395,Nc,11
養生,1.2779711785420627,VA,2
愜意,1.24398933514458,VH,4
部落屋,1.0876385998286302,Na,4
糯米飯,1.0526874549941534,Na,7
涼爽,1.0257777447098602,VH,6
原始,0.9516012698949388,VH,4
自然,0.9498099347720795,VH,6
社會,0.9009619537797429,Na,5
冰沙,0.8733032260996596,Na,2
峇里島,0.8645293892495313,Nc,2
野菜,0.7961370804039126,Na,9
海邊,0.7747233209645746,Na,2
悠閒,0.7115372183208365,VH,3
伊娜,0.7075123641243407,Nb,1
阿美,0.6919397170717975,Nb,59
母系,0.6251923688628213,Na,4
男生,0.6112348079808194,Na,3
趣味,0.6070325908303593,Na,2
用餐風,0.5815197091620791,Na,1
海岸,0.5348175441372676,Nc,2
餐具,0.5340186926609036,Na,4
都蘭,0.5296171279335619,Nb,5
茅草,0.5114598563189945,Na,16
芒果,0.5095947052080418,Na,1
海用餐,0.48524250289118026,Na,1
潮間藻,0.4749612421909452,Na,1
日常菜,0.47494560243042133,Na,1
稻田,0.47408175096077854,Na,2
特色菜,0.44782174299875405,Na,1
原住民語,0.44782174299875405,Na,1
晚餐,0.4467593526166472,Na,1
米飯,0.43250821297989145,Na,9
食事,0.4238637863908843,Na,1
地氣,0.4238637863908843,Na,1
湯品,0.4084384395021283,Nb,2
綠島,0.3778682512452053,Nc,3
紳士,0.37714664856554897,Na,1
人文,0.3755832129219396,Na,1
清風,0.3720895232916398,Na,1
手抓,0.3602736029702349,Na,2
商家,0.3553612568058107,Na,1
含義,0.35483838299753845,Na,1
鐘螺,0.3512563239549098,Na,3
釋迦,0.3494118188767057,Nb,1
鳳梨,0.3494118188767057,Na,1
漂流木,0.34503878470674054,Na,2
女性,0.34212397199854294,Na,2
花東,0.3370041874301842,Nc,1
大車,0.3287108802653452,Na,1
獨特性,0.3287108802653452,Na,1
胃口,0.31502067183158583,Na,1
長椅,0.31459795009848374,Na,1
野菜湯,0.30458980168769817,Na,3
香蘭茶,0.30433601711476455,Na,1
阿美族人,0.30387583036699367,Nb,2
優點,0.3001693242938791,Na,1
上述,0.3001693242938791,Na,1
過年,0.2965207557265553,VA,1
夜市,0.2965207557265553,Nc,1
刺蔥,0.2955675501322454,Na,3
簡訊,0.29130056813128463,Na,1
中油,0.28476797101498885,Nc,1
蔬食類,0.28476797101498885,Na,1
魚肉,0.28476797101498885,Na,1
螺肉,0.2758851979178616,Na,2
緑島,0.26841145653778586,Nc,1
家常菜,0.2670643074412163,Na,1
烏蘭,0.26258553763642084,Nc,1
涼爽感,0.2615808518473012,Na,1
竹盤,0.25935219722376907,Na,2
客家,0.2544540362033822,Na,1
小炒,0.2544540362033822,Na,1
草屋,0.2404617037311638,Na,16
不雷,0.23633280535826856,Nb,1
大餐,0.22714357912350217,Na,1
寧靜,0.22714357912350217,VH,1
主食,0.22714357912350217,Na,1
海陸,0.22714357912350217,Na,1
