words,tfidf,pos,freq
泡湯,6.386420147268309,VA,51
泡腳,5.651988398765733,VA,25
露營,5.424820074277952,VA,72
溫泉,5.409929922124791,Na,48
公園,4.882526955083692,Nc,28
露營區,4.622614706299099,Nc,20
花旗木,3.4058708667190714,Nb,12
露營車,2.6992953216199367,Na,19
足湯,2.0081556607864255,Na,18
步道,1.863469433442929,Na,9
寶來,1.7396129974330947,Nb,17
體驗,1.640002715698945,VC,11
散步,1.5419315738208097,VA,6
梅花,1.3956739425754319,Na,4
大自然,1.3880423971728573,Nc,5
營地,1.3340532664913425,Nc,6
櫻花,1.237900962333561,Na,5
清幽,1.219212410743836,VH,3
晚餐,1.1732258543543272,Na,9
花賞,1.0539541714406542,Na,5
山景,1.0449514125640662,Na,3
草地,1.0223799541887177,Nc,4
馬櫻丹,1.0,Nb,1
潛力,1.0,Na,1
泡湯池,0.9880759650295117,Na,6
溫泉區,0.947868050055944,Nc,5
湯屋,0.9298912917014771,Nc,5
大眾池,0.9025521892836829,Na,7
泡腳池,0.886111087193975,Na,3
足浴,0.8700205625972828,Na,4
泡湯區,0.8177674085010003,Nc,3
熱水池,0.8116501342334337,Na,2
溫泉池,0.7951098737329063,Na,4
個人湯,0.7311973283510654,Na,1
嫣紅,0.7071067811865475,Na,1
泡腳區,0.6875275429073561,Nc,2
動物,0.6627754073974689,Na,2
手湯,0.610266054458353,Na,4
荖濃溪,0.6093490739309624,Nc,3
湯池,0.6089840183913201,Nc,9
美人樹,0.603947604139655,Na,2
底盤,0.5925757593939146,Na,1
高點,0.5902418378027978,Na,2
房型,0.5724554897579553,Na,6
愜意,0.5649466854802407,VH,2
泰國,0.561475965073614,Nc,2
浴缸,0.5593210417725161,Na,3
平椅,0.5161333254885903,Na,1
洗髮精,0.5066441983332156,Na,1
沐浴乳,0.5066441983332156,Na,1
遊樂,0.5024595450497756,VA,2
環凈,0.49972334731607926,Nb,1
山莊,0.47475494892428627,Nc,2
桃花園,0.4745836234467195,Nc,1
拍照,0.46589140370126525,VB,2
