words,tfidf,pos,freq
體驗,27.073121052538426,VC,81
關卡,11.14026313738298,Na,51
放電,4.227102751281614,VA,8
diy,3.5817412751617344,FW,0
宜蘭,3.3826797904047132,Nc,8
手作,2.5794852538263378,Na,7
夜市,2.480892895112789,Nc,12
邱比準,2.4487184637848975,Nb,6
飛鏢,2.272018992887567,Na,8
寓教於樂,2.1867098089922887,VA,4
關主,2.135594743337491,Na,6
避暑,2.0688368245757127,VA,3
射箭,2.060619493351834,VA,4
遊戲館,1.9418654917464933,Nc,4
拍照,1.8333004991240078,VB,5
手眼,1.3262215284027226,Na,3
消暑,1.2130897545681336,VA,2
幼稚園,1.1877401382550956,Nc,2
競賽,1.09566237998293,Na,3
曬太陽,1.0792173011258763,VA,2
彈弓,1.0363963485913381,Na,2
幼幼班,1.0,Nc,1
比烏,1.0,Na,1
烏告,0.954520242726338,Nc,1
親子館,0.954520242726338,Nc,1
孩童,0.9190072592124852,Na,1
小旺,0.8665617418081939,Nb,1
遊樂,0.8665073857977938,VA,2
室內場,0.8646677260191605,Nc,2
遛小孩,0.8354899231920667,VA,1
體驗感,0.8117084263855412,Na,1
弓箭,0.7836347404673498,Na,3
專注力,0.7661538184199863,Na,1
丘比準,0.7598170125081001,Nb,1
放風,0.7591323253904115,VA,1
滴棒,0.7552838589198394,Na,1
葡萄,0.7535502510665036,Na,1
屁孩,0.7521750364469277,Na,1
空氣砲,0.7358596496648327,Na,1
青少年,0.7309523118372094,Na,1
博物館,0.7308658424293382,Nc,3
伴侶,0.720384213071013,Na,1
邱比特,0.7071067811865475,Nb,1
趣味性,0.7071067811865475,Na,1
神射手,0.6904662040581251,Na,1
空氣槍,0.6773269906656596,Na,2
鵝子,0.6291728055895727,Na,1
老少咸宜,0.5799003304882204,VH,1
臂力,0.578248203801459,Na,1
親民,0.5720247643535259,VH,2
色紙,0.5590424446471906,Na,5
紀念品,0.5516034407370582,Na,2
戶外區,0.5372641022971029,Nc,3
籃球,0.5349601810636806,Na,2
號碼牌,0.5312362832304658,Na,3
射擊室,0.5226297407278016,Nc,1
肉丸,0.4903562431665736,Na,1
親子遊,0.48469388171611266,Na,1
力氣,0.4761486555062588,Na,2
遊戲場,0.46260202936373757,Nc,1
邱比凖,0.46217798140770344,Nb,1
想法,0.45959843705535147,Na,1
冬山,0.4556998734585097,Nc,1
能力,0.44251207167460505,Na,1
好壞,0.425434373701702,Na,1
空檔,0.4174578599963585,Na,2
路停,0.41599055253029193,Na,1
雷射槍,0.4114487392631756,Na,1
積分,0.4094196390858959,Na,1
感情,0.405420900416458,Na,1
分數,0.40224508248926305,Na,1
武器,0.4013945760539891,Na,1
電風扇,0.40115106507028286,Na,2
中高年級,0.3937485284102942,Na,2
手做,0.38968095456906027,Na,1
父母,0.3806390514321013,Na,1
玩具槍,0.3806390514321013,Na,1
進度,0.37985647791917326,Na,1
集錦,0.378067297981382,Na,1
貼紙,0.37219519391549644,Na,2
低年級,0.3627646296066919,Na,1
產業道路,0.3627646296066919,Na,1
競爭,0.3562326235923139,Na,1
紙飛鏢,0.34206898954103754,Na,1
標槍,0.3361752711594514,Na,1
田野,0.32834262069758086,Nc,1
咒術師,0.3191148918336805,Na,1
乒乓球,0.31691769555749066,Na,1
人馬,0.31691769555749066,Na,1
眼手,0.31589640648410844,Na,1
團體活動,0.31249650732200923,Na,1
羅東,0.31249650732200923,Nc,1
計程車,0.31249650732200923,Na,1
老幼,0.30073451301184423,Na,1
小二,0.2950291136209333,Na,1
國中生,0.27650450467668874,Na,1
工讀生,0.27650450467668874,Na,1
等待區,0.27243867810668454,Nc,1
工作人,0.2718748480269159,Na,1
學生團,0.2718748480269159,Na,1
兒童票,0.2678113488438785,Na,1
電玩,0.265940422231307,Na,1
回頭客,0.265940422231307,Na,1
夏令營,0.26008336028491785,Na,1
手槍,0.2487388633139177,Na,1
香港,0.24569334305630994,Nc,1
友情,0.24045568520168042,Na,1
實境版,0.24045568520168042,Na,1
總體,0.22933661948125747,Na,1
斧頭,0.22799174823060378,Na,1
邏輯,0.22044585288060686,Na,1
熱鬧,0.21852640069572093,VH,1
同伴,0.21852640069572093,Na,1
自動門,0.2164133849242737,Na,1
校準,0.21558449803398566,Na,1
槍枝,0.21558449803398566,Na,1
誤差,0.21558449803398566,Na,1
邱比,0.21558449803398566,Nb,9
導覽,0.21354792870204295,VC,1
變通性,0.20934748759784416,Na,1
問題點,0.20934748759784416,Na,1
反應,0.20934748759784416,Na,1
工業扇,0.20537612336290195,Na,1
遮陽篷,0.20537612336290195,Na,1
部落客,0.20259349431641466,Na,1
台風,0.20012811572975917,Na,1
優惠價,0.15752570407008742,Na,1
橡皮筋,0.15752570407008742,Na,1
沙包,0.15752570407008742,Na,2
沙包區,0.15752570407008742,Nc,1
原則,0.154086611622309,Na,1
嬰孩,0.154086611622309,Na,1
優勝獎,0.14536704467043102,Na,1
成績,0.14178820885812551,Na,1
射擊類,0.13982946822812795,Na,1
紙張,0.13982946822812795,Na,1
教學,0.13982946822812795,VA,1
墊子,0.13982946822812795,Na,1
中年級,0.13982946822812795,Na,1
動力,0.12123596347796883,Na,1
飛盤,0.12123596347796883,Na,1
候位,0.0718366011022912,Na,1
北鼻,0.0718366011022912,Nc,1
小班,0.0718366011022912,Nc,1
次數,0.0718366011022912,Na,1
色紙人,0.0718366011022912,Na,1
郵局,0.0718366011022912,Nc,1
郵戳,0.0718366011022912,Na,1
