words,tfidf,pos,freq
酋長岩,2.465337133758165,Na,21
酋長,2.0776308086132964,Na,31
象鼻岩,1.4844832374091157,Na,12
漁港,1.279420374285909,Nc,10
游隼,1.245416648058893,Na,2
遊隼,1.166906490880152,Na,6
sup,1.1109011710597454,FW,0
拍照,0.9267140805900869,VB,2
夕陽,0.7922925951508921,Na,4
悠閒,0.7010460762136531,VH,2
草坪,0.672854674447156,Na,4
海岸,0.6640090310439735,Nc,2
深澳,0.6600573430056647,Nc,5
海風,0.5963943716800753,Na,2
季風,0.5773502691896257,Na,1
金剛相,0.5569797279750128,Na,1
猩猩,0.5145555979258226,Na,1
公園,0.5045786469778188,Nc,4
生態,0.5021314461918119,Na,5
山景,0.48334317761494844,Na,1
印第安,0.477108615813397,Nb,1
山形,0.477108615813397,Na,1
海濤,0.4593517131876449,Na,1
潛水,0.45874259941406975,VA,1
踏青,0.45101341490781294,VA,3
生態環境,0.45101341490781294,Na,3
番仔澳,0.45101341490781294,Nc,3
石片,0.45101341490781294,Na,3
生態區,0.3445098247072719,Nc,1
海景,0.3445098247072719,Na,1
鯊魚,0.3441593112055131,Na,1
金益,0.3441593112055131,Nb,1
風雨,0.3441593112055131,Na,1
海鮮,0.3303008604470372,Na,1
涼爽,0.3303008604470372,VH,1
商店,0.3303008604470372,Nc,1
巴士站,0.3303008604470372,Nc,1
瑞芳,0.3190861285377878,Nc,4
濱海,0.30995687727396315,VH,1
原住民,0.30995687727396315,Na,1
奇岩,0.30995687727396315,Na,1
鬼斧神工,0.306257753390287,VH,1
棲息地,0.2693134474323196,Na,1
印地安人,0.2693134474323196,Na,1
海邊,0.2591645073719052,Na,4
自然,0.23497557142359987,VH,2
漁會,0.2326685137244229,Nc,2
警察局,0.20765706521684826,Nc,1
辣椒,0.20765706521684826,Na,1
拍攝,0.19437338052892889,VC,3
禪意,0.16873082291295782,Na,1
黃昏,0.16873082291295782,Nd,1
新北,0.16610488691715,Nc,2
草皮,0.1295822536859526,Na,2
礁岩,0.11748778571179994,Na,1
天然,0.11748778571179994,A,1
去路,0.11633425686221145,Na,1
平台,0.11633425686221145,Na,1
站牌,0.11633425686221145,Na,1
終點站,0.11633425686221145,Nc,1
漁民,0.09947456676601203,Na,1
作業區,0.09947456676601203,Nc,1
美國,0.09947456676601203,Nc,1
長老,0.09947456676601203,Na,1
阿博,0.09947456676601203,Nb,1
石頭區,0.0647911268429763,Nc,1
瑞芳區,0.0647911268429763,Nc,1
步道,0.0647911268429763,Na,1
背後,0.0647911268429763,Nc,1
草地,0.0647911268429763,Nc,1
牌子,0.0647911268429763,Na,1
原始,0.0647911268429763,VH,1
峭壁,0.0647911268429763,Na,1
宜蘭,0.0647911268429763,Nc,1
安心感,0.0647911268429763,Na,1
古溜,0.0647911268429763,Nb,1
人臉,0.0647911268429763,Na,1
視線,0.0647911268429763,Na,1
