words,tfidf,pos,freq
燈塔,3.4724262506372177,Na,15
步道,1.7844169025019312,Na,4
野柳,1.744511182843869,Nc,11
雜草叢生,0.8545803663923929,VH,2
燈桿,0.7791635850440094,Na,3
岬角,0.7782143321470223,Na,2
海風,0.7439381625538966,Na,2
嘴巴,0.7071067811865476,Na,1
燈杆,0.6480315875494526,Na,2
言語,0.5242025136590307,Na,1
公園,0.5179469691513695,Nc,2
地質,0.5179469691513695,Na,2
女王,0.5113252115106908,Na,3
燭台石,0.4897216662236005,Na,1
爬山,0.45499649897094463,VA,1
自然,0.45499649897094463,VH,1
石道,0.45499649897094463,Na,1
傳統,0.4402227474648717,VH,1
山基石,0.43316211744733363,Na,1
視野棒,0.43316211744733363,Na,1
野柳岬,0.43316211744733363,Na,1
海景,0.4198259143734858,Na,2
基隆嶼,0.3637417605921441,Nc,1
野柳橙,0.35991469272110455,Na,1
可能性,0.35991469272110455,Na,1
蝴蝶,0.3512172629484283,Na,1
女王頭,0.34387506584300265,Na,1
密度,0.34387506584300265,Na,1
小吃店,0.23702219519640422,Nc,1
消暑,0.22680856236269845,VA,1
外海,0.22680856236269845,Nc,1
萬里,0.22680856236269845,Nc,1
韓國,0.20989689356942276,Nc,1
豆腐岩,0.2019577451053285,Na,1
長條,0.2019577451053285,Na,1
花園,0.2019577451053285,Nc,1
山脊,0.2019577451053285,Na,1
三角點,0.19460801049254386,Nc,1
二等,0.19460801049254386,Na,1
燈塔迷,0.19460801049254386,Na,1
燭台,0.19460801049254386,Na,2
雜誌,0.19460801049254386,Na,1
叉路,0.17016015879310506,Na,1
樹檔,0.17016015879310506,Na,1
賞鳥區,0.17016015879310506,Nc,1
谷哥,0.16252304977600704,Nb,1
