words,tfidf,pos,freq
金崙,2.4802439683116146,Nb,24
拍照,1.1475468948112877,VB,6
海景,1.0708778586176724,Na,4
日出,0.9485959038983244,VA,5
台東,0.8664756832811348,Nc,4
金崙橋,0.7944436502807537,Nc,2
環島,0.7071067811865476,VA,2
朝聖,0.7071067811865476,VA,1
車路,0.6445085450803407,Na,1
壯觀,0.6363396019911247,VH,1
沙灘,0.5814932291139855,Na,2
海岸,0.566352784976465,Nc,3
拍攝,0.5371313603965192,VC,3
東部,0.5231501402746255,Ncd,2
砂石車,0.47779396778898614,Na,1
貨車,0.47779396778898614,Na,1
溫泉,0.46548943631332684,Na,2
伴侶,0.4038832834232892,Na,1
靈魂,0.4038832834232892,Na,1
副駕,0.382627914227195,Na,1
腳步,0.34710541997999944,Na,1
金崙村,0.3196505148172131,Nc,3
停車彎,0.3068077346841286,Na,1
原則,0.2354609051875195,Na,1
海岸線,0.2354609051875195,Na,1
平台,0.23545275275871072,Na,3
台9,0.21281160504741162,Nc,1
漁民,0.21281160504741162,Na,1
空拍,0.21281160504741162,Na,1
視角,0.21281160504741162,Na,1
身影,0.21281160504741162,Na,1
魚苗,0.21281160504741162,Na,1
橋樑,0.20710251751472605,Na,1
村莊,0.17102449724081323,Nc,2
海平線,0.17102449724081323,Na,2
相機,0.17102449724081323,Na,2
橋頭,0.1569685018391405,Nc,2
知本,0.08551224862040661,Nc,1
阡仔崙橋,0.08551224862040661,Nc,1
藍金崙,0.08551224862040661,Nb,1
礁溪,0.08551224862040661,Nc,1
騎車,0.08551224862040661,VA,1
村落,0.08551224862040661,Na,1
時間點,0.08551224862040661,Na,1
三重,0.08551224862040661,Nc,1
清新,0.08551224862040661,VH,1
南迴,0.07848425091957024,Na,2
南迴公路,0.07848425091957024,Nc,1
台東縣,0.07848425091957024,Nc,1
太麻里,0.07848425091957024,Nc,1
快門,0.07848425091957024,Na,1
高架橋,0.07848425091957024,Na,1
