words,tfidf,pos,freq
蝴蝶,14.618525694522996,Na,124
生態,3.7433046543570057,Na,19
蝴蝶園,2.502881180186737,Nc,12
公園,1.3715563911840047,Nc,5
散步,1.2979533982808142,VA,5
大自然,1.274501708470939,Nc,3
高雄,1.1922636608816504,Nc,6
植物,1.0553799252479812,Na,6
枯葉蝶,0.9957601518428699,Na,5
自然,0.9418749355657541,VH,5
白斑蝶,0.9262096091969668,Na,3
金獅湖,0.9096606714720652,Nc,6
教學,0.8225982377260449,VA,2
拍照,0.7767340995203867,VB,4
鳳蝶,0.7352364906070465,Na,6
毛毛蟲,0.719605445512101,Na,3
溫室園,0.6965722589952962,Nc,1
生態環境,0.6912902024140366,Na,2
高雄市,0.6787827789248442,Nc,2
體驗,0.6530557572059432,VC,3
山區,0.6096348056074468,Nc,1
冗員,0.6012571502487354,Na,1
階段,0.5926549418818825,Na,1
幼蟲,0.5851853713612728,Na,3
過年,0.5720106802564262,VA,1
導覽,0.5714287112639123,VC,5
蜜源,0.5527217101747215,Na,3
踏青,0.5518090115701078,VA,1
生態園,0.5476774071217243,Nc,1
水池,0.515243900684586,Na,2
藝術,0.5122404039093851,Na,2
樺斑蝶,0.4966668134240493,Na,1
健行,0.4854064448152719,VA,1
防護,0.4851833171992964,Na,1
日光浴,0.45336184175677924,Na,1
金獅,0.4324400262642311,Nb,7
復育箱,0.41669092476901715,Na,1
悠閒,0.4140557816064832,VH,1
愜意,0.4085660087677032,VH,2
巨蛋,0.40377405159522956,Nc,1
懚藏版,0.3879410159009517,Na,1
生態區,0.37808975585941224,Nc,1
蝴蝶館,0.3760875714137258,Nc,2
導覽館,0.37321772240537565,Nc,2
黃昏,0.3730790301447996,Nd,2
姪女,0.34424510588937063,Na,1
宣傳,0.34424510588937063,Na,1
拍攝,0.3390221817192678,VC,2
花園,0.3386928723634904,Nc,1
小丘,0.32920885995365246,Na,1
河童,0.3289393725362203,Na,1
鐵片,0.28907668339381415,Na,1
食草,0.2792774286660483,Na,2
網室,0.2776844180539729,Nc,2
溫室,0.2667550500681238,Nc,2
目視,0.2621710402290919,Na,1
學童,0.2621710402290919,Na,1
池塘,0.2509473649915982,Nc,1
交通局,0.21645385156517113,Nc,2
注音,0.21566578772178704,Na,1
國字,0.21566578772178704,Na,1
小看版,0.21566578772178704,Na,1
展覽館,0.2135483605083751,Nc,1
相機,0.2135483605083751,Na,1
健身,0.20668233100172265,VA,1
鼎盛,0.20668233100172265,VH,1
夜色,0.20668233100172265,Na,1
寺廟,0.20668233100172265,Nc,1
美育教,0.20668233100172265,Na,1
金蠶,0.20668233100172265,Na,1
香火,0.20668233100172265,Na,1
噴劑,0.19574875105326367,Na,1
石龍子,0.19574875105326367,Na,1
菜市場,0.19574875105326367,Nc,1
小蝴蝶,0.18204676640450224,Nb,1
紀念碑,0.1645966563284612,Na,1
陶藝,0.1645966563284612,Na,1
班卓橋,0.1645966563284612,Nc,1
翅膀,0.15214644516584003,Na,1
白斑,0.15214644516584003,Na,4
游泳,0.15163332095957766,VA,1
一號,0.15163332095957766,Nc,1
步道,0.15163332095957766,Na,1
面前,0.15163332095957766,Nc,1
魚兒,0.15163332095957766,Na,1
蝶族,0.13963871433302416,Na,1
循環,0.13963871433302416,Na,1
玻璃箱,0.13963871433302416,Na,1
蝴蝶俑,0.13963871433302416,Na,1
平台,0.13963871433302416,Na,1
休憩椅,0.13963871433302416,Na,1
桌面,0.1363799145277175,Nc,1
生態盒,0.1363799145277175,Na,1
竹節蟲,0.1363799145277175,Na,1
蜈蚣,0.1363799145277175,Na,1
蝶蛹,0.1363799145277175,Na,1
訪客,0.1363799145277175,Na,1
路口處,0.1363799145277175,Nc,1
鍬行蟲,0.1363799145277175,Na,1
長孫,0.1363799145277175,Nb,1
河流,0.13544879080932343,Na,1
療癒,0.13544879080932343,VC,1
花草,0.11748451731277744,Na,1
靜態式,0.11748451731277744,Na,1
遊樂,0.11748451731277744,VA,1
濕地,0.11748451731277744,Na,1
培育室,0.11748451731277744,Nc,1
科普,0.11221400090056641,Na,1
環保局,0.10822692578258557,Nc,1
舞蝶,0.10822692578258557,Na,1
蝴蝶人,0.10822692578258557,Na,1
