words,tfidf,pos,freq
金針花,2.5446179226038526,Na,12
花海,1.650745004161222,Na,9
花季,1.3765785962283132,Nd,6
忘憂谷,1.3401558782653464,Nc,8
花期,1.0664122350549927,Na,3
半山腰,1.0,Nc,1
仙境,0.7571349930088553,Nc,2
太麻里,0.6445257251312078,Nc,5
亭子,0.5943953651378014,Na,1
迷霧,0.5943953651378014,Na,1
野百合,0.5307418548276472,Na,1
六十石山,0.5300690127935839,Nc,1
金針山,0.46504875105292076,Nc,3
金黃色,0.4618560203654491,Na,3
公所,0.41979439128897256,Nc,1
山谷,0.40006324581215186,Na,2
路逕,0.28678269315204014,Na,1
平交道,0.2621931048473621,Nc,1
櫻木,0.2621931048473621,Na,1
羊腸小徑,0.2621931048473621,Na,1
山景,0.2566562173588332,Na,1
合歡山,0.2566562173588332,Nc,1
太魯閣,0.2566562173588332,Nc,1
世外桃源,0.2395705579560118,Na,1
山坡,0.2395705579560118,Na,1
草坪,0.2395705579560118,Na,1
懸崖,0.23830212399346937,Nc,1
快門,0.23646365258428967,Na,1
網美照,0.23646365258428967,Na,1
開花率,0.22165145615108292,Na,1
產業道路,0.20918098426953033,Na,1
義交,0.20918098426953033,Na,1
拍照,0.2046330262666785,VB,2
言喻,0.20255469752690153,Na,1
太麻里鄉,0.20255469752690153,Nc,1
台東縣,0.20255469752690153,Nc,1
台東,0.20210277149558886,Nc,2
捷徑,0.20210277149558886,Na,1
誤差,0.20210277149558886,Na,1
吳宗憲,0.12399924660171817,Nb,1
單行道,0.12399924660171817,Nc,1
農場,0.12399924660171817,Nc,1
日落,0.10231651313333925,VA,1
別稱,0.10231651313333925,Na,1
攤販,0.10231651313333925,Na,1
車況,0.10231651313333925,Na,1
開花期,0.10231651313333925,Na,1
