words,tfidf,pos,freq
岩壁,5.556286318182541,Na,34
步道,4.287401354285753,Na,23
爬山,3.7534340186906716,VA,13
手腳,2.5636417674829257,Na,12
登山,2.0893026431962367,VA,17
金面山,1.9246233977116138,Nc,14
繩子,1.641406660524387,Na,8
健行,1.4296310740930518,VA,4
台北市,1.411198228303221,Nc,7
攀爬,1.15158140203204,VC,6
神醉,1.0,Na,1
拍照,0.9743138885090338,VB,6
山頂,0.9566333989889775,Nc,6
登山口,0.9522686095586917,Nc,6
台北,0.9222542823946008,Nc,14
地形,0.8571515986322996,Na,4
天然,0.7675261760569771,A,1
繩索,0.7555826828847896,Na,4
內湖,0.728858025210634,Nc,6
天晴,0.7054185703467541,Nc,1
妹子,0.6828774634922962,Na,1
登山鞋,0.6416165102235738,Na,2
步伐,0.6405289780441272,Na,3
遼闊,0.612233374026906,VH,3
隊友,0.5751142001386637,Na,2
能力,0.5440676530081692,Na,1
遠足,0.5440676530081692,VA,1
竹月寺,0.5423620468256782,Nc,5
體驗,0.535707718512304,VC,3
小妞,0.530225298231565,Na,1
剪刀石,0.5049651916209572,Na,7
雷射門,0.4886122361101577,Na,1
劍庭,0.4536350630056454,Nb,1
貓咪,0.4536350630056454,Na,1
初級,0.4442603735703069,Na,1
難易,0.4442603735703069,Na,1
山友,0.4308495179259978,Na,2
高山,0.4089559685637244,Na,1
西湖,0.4067982595776503,Nc,4
大學生,0.38470018820284896,Na,1
剪刀石山,0.37555931826386335,Na,4
獵人,0.3523707257163847,Na,1
趣味,0.3515962926563901,Na,1
皇帝殿,0.3515962926563901,Nc,1
五寮尖,0.3515962926563901,Nc,1
障礙物,0.3444913075431015,Na,1
鞋帶,0.3436793296077192,Na,1
初心,0.3375165791902167,Na,1
稜線,0.33638021360369297,Na,1
產業道路,0.3145964856677148,Na,2
標高,0.30899545706792203,Na,1
日出,0.2949325303679512,VA,1
滑石,0.2949325303679512,Na,1
腳步,0.29119821676681096,Na,1
登人,0.28056231948452054,Na,1
內湖路,0.28056231948452054,Nc,1
三段,0.28056231948452054,Nc,1
136巷,0.2737927945955416,Nc,2
抓地力,0.2684723749334398,Na,2
恐懼感,0.26664950512441227,Na,1
高點,0.26664950512441227,Na,1
市容,0.26664950512441227,Na,1
松山機場,0.26526132770849886,Nc,1
肌群,0.25989672097760136,Na,1
前人,0.25989672097760136,Na,1
石梯,0.25989672097760136,Na,1
山壁,0.2510888236235136,Na,1
娛樂性,0.2510888236235136,Na,1
住宅區,0.2443695444060758,Nc,1
論劍亭,0.2252575970996763,Nc,2
活動量,0.2250042901152553,Na,1
虎山,0.2250042901152553,Nc,1
象山,0.2250042901152553,Nc,1
軍艦岩,0.2250042901152553,Na,1
護膝,0.2219556962129696,Na,1
土地公,0.21274804324833335,Nb,1
化身,0.21274804324833335,Na,1
龍蛇,0.21274804324833335,Na,1
西湖站,0.20799163175644658,Nc,1
越野鞋,0.20799163175644658,Na,1
目的地,0.20799163175644658,Nc,1
小三,0.2046455579823897,Na,1
國一,0.2046455579823897,Na,1
小五,0.2046455579823897,Na,1
環山,0.20334614369484197,VH,4
豬豬人,0.20334614369484197,Na,1
近海,0.20334614369484197,Nc,1
輕便鞋,0.20140597176998584,Na,1
精華,0.187953131721373,Na,1
文間山,0.18084975146889185,Nc,1
劍潭,0.18084975146889185,Nc,1
踩腳點,0.17354845536464972,Na,1
攀岩場,0.17354845536464972,Nc,1
常客,0.17354845536464972,Na,1
風化,0.17354845536464972,VHC,1
成就感,0.17146576263223676,Na,1
頂峰,0.17146576263223676,Nc,1
市景,0.155511049164242,Na,1
網帥,0.155511049164242,Na,1
山向,0.1516769899901007,Na,1
岩石面,0.1516769899901007,Na,1
重心,0.1516769899901007,Na,1
高手,0.1383821407799044,Na,1
太陽光,0.1383821407799044,Na,1
平台,0.1383821407799044,Na,1
好漢,0.1383821407799044,Na,1
一絕,0.1383821407799044,Na,1
下氣,0.1383821407799044,Na,1
自然,0.1383821407799044,VH,1
剪刀岩,0.13559941985921678,Na,1
劍南路,0.13559941985921678,Nc,1
國中生,0.13559941985921678,Na,1
低難度,0.10874473017324975,Na,1
危險性,0.10874473017324975,Na,1
巨石路,0.10874473017324975,Na,1
李棟山,0.10738035444422103,Nb,1
頭尾山,0.10738035444422103,Nc,1
輔助繩,0.10738035444422103,Na,1
群山,0.10738035444422103,Na,1
白石,0.10738035444422103,Na,1
湖山,0.10738035444422103,Nb,1
雄偉,0.10738035444422103,VH,1
拉拉山,0.10738035444422103,Nc,1
塔曼山,0.10738035444422103,Nc,1
南湖大山,0.10738035444422103,Nc,1
o型,0.10738035444422103,Na,0
大崙,0.10738035444422103,Nc,1
最高峰,0.05878509462454122,Na,1
砂岩,0.05878509462454122,Na,1
石英,0.05878509462454122,Na,2
睜瑛,0.05878509462454122,Nb,1
發亮狀,0.05878509462454122,Na,1
東區,0.05878509462454122,Nc,1
山顛,0.05878509462454122,Nc,1
成份,0.05878509462454122,Na,1
屈石英,0.05878509462454122,Nb,1
地質,0.05878509462454122,Na,1
剪刀狀,0.05878509462454122,Na,1
內湖區,0.05878509462454122,Nc,1
金龍,0.05878509462454122,Nb,1
