words,tfidf,pos,freq
櫻花,18.557574509961825,Na,87
炮仗花,15.336042521817014,Na,76
炮仗,13.423650814477408,Na,115
花海,9.185662915790296,Na,35
拍照,6.659247436679621,VB,27
壯觀,6.194817709445832,VH,17
步道,5.243082223928279,Na,24
花期,5.13915340436399,Na,14
公園,4.710970723089368,Nc,18
花季,3.5223964324146384,Nd,13
炮杖花,3.0562065358882444,Na,10
散步,3.0376989061016304,VA,9
花牆,2.968300426950176,Na,10
銅鑼,2.7967495093231647,Na,19
瀑布,2.033137026882441,Na,7
蜜蜂,1.9674430067433868,Na,6
茂盛,1.6679897532138783,VH,5
橘色,1.4631629679252967,Na,6
梅花,1.422569568475184,Na,2
工業區,1.2620993384339956,Nc,6
花苞,1.0153039119881517,Na,5
謝光,1.0,Nb,1
櫻花樹,0.9585504472242592,Na,4
苗栗,0.9571148331273576,Nc,4
櫻花林,0.9192434028334081,Na,3
山櫻花,0.831482560026495,Na,4
過年,0.8168088974634633,VA,2
花兒,0.8081962970381267,Na,2
療癒,0.7830771595145902,VC,2
清新,0.755994046351855,VH,1
攤販,0.7492760675511565,Na,4
花朵,0.7334654674949821,Na,4
炮杖,0.6939084380784406,Na,12
踏青,0.6925910234803936,VA,1
進度,0.643287217608999,Na,1
溧亮,0.6190967002664799,Nb,1
喜事,0.6123548241209941,Na,1
橙杉,0.5929066579479394,Na,1
長廊,0.5806972806066122,Nc,1
丁香,0.5773502691896258,Na,1
荒涼感,0.5773502691896258,Na,1
鞭炮,0.5773502691896258,Na,1
熱鬧,0.566246043559701,VH,2
健行,0.5609835336161264,VA,1
一隅,0.5549268387808608,Nc,2
花種,0.5524341222137596,Na,1
桃紅色,0.5187231804312061,Na,2
長龍,0.5164185316617942,Na,1
砲帳花,0.5164185316617942,Na,1
炮丈花,0.5161115641834727,Na,1
粽子,0.4847790778716523,Na,2
長城,0.4656561845703775,Nc,1
巨龍,0.46461472905846735,Na,1
環型,0.45144422697763015,Na,1
苗栗市,0.4494416130917583,Nc,1
拍攝,0.4460651366305249,VC,2
客家,0.4399077966771951,Na,4
菜包,0.4399077966771951,Na,2
體驗,0.4295283627072097,VC,2
假龍,0.41826224025323944,Na,1
市集,0.4143698774154079,Na,1
網美牆,0.4143698774154079,Nb,1
空位,0.4122703676359094,Na,3
零工,0.40414273008837626,Na,1
花園,0.40249788132911013,Nc,1
朝聖,0.39165126741473805,VA,1
仙境,0.3865605302750549,Nc,1
人煙稀少,0.38436334651177906,Na,1
金龜子,0.3761439058118519,Na,1
蝴蝶,0.3761439058118519,Na,1
銅鑼站,0.3739785247834792,Nc,2
林道,0.3704772791824653,Na,1
花陣,0.3704772791824653,Na,1
規矩,0.36152509129694643,Na,1
山坡,0.3573974159717421,Na,2
地㸃,0.3552414722854088,Na,1
樱花,0.3552414722854088,Na,1
看台,0.35273742575633316,Na,1
茶泡,0.35273742575633316,Na,1
旺丁,0.35223133576181376,Nb,1
金菊色,0.35223133576181376,Na,1
萬物,0.35223133576181376,Na,1
眾人,0.35223133576181376,Na,1
旺財,0.35223133576181376,Nb,1
月粉,0.3520651673553933,Na,1
開花期,0.3520651673553933,Na,1
牛肉麵,0.35147315498487236,Na,1
晚櫻,0.3489861313152898,Na,1
層次,0.34749070754309885,Na,2
石板,0.3423063521779099,Na,1
花櫻花,0.3423063521779099,Na,1
花美,0.3423063521779099,Na,1
隧道,0.34031526327420647,Na,2
春意,0.3317000071337567,Na,1
綠繡眼,0.3317000071337567,Na,1
底層,0.3263137154928953,Nc,1
腳步,0.3258219129819087,Na,1
街坊,0.31657701170329167,Na,1
車流量,0.31612268945045036,Na,1
橘紅,0.30454943234415965,Na,1
人龍,0.30454943234415965,Na,1
大湖,0.30025546728324654,Nc,1
花蜜,0.29770784377724063,Na,1
妹妹,0.29743121033974673,Na,1
砲仗,0.28637148513210575,Na,1
蔓籬,0.28637148513210575,Na,1
長度,0.28637148513210575,Na,1
花量,0.28637148513210575,Na,1
牆壁,0.28637148513210575,Na,1
公所,0.27952870486483833,Nc,2
別名,0.27839511455082244,Na,1
花絲,0.27839511455082244,Na,1
西北雨,0.27839511455082244,Na,1
雨絲,0.27839511455082244,Na,1
花色,0.2756030293440898,Na,1
花景,0.2756030293440898,Na,1
砲杖,0.25824709951941444,Na,1
山巒,0.25824709951941444,Na,1
公館,0.25824709951941444,Nc,1
环境,0.2582130210287656,Na,1
隧道花,0.25322017469687286,Na,1
天侯,0.2516895568984357,Na,1
季風,0.24719839941535934,Na,1
普照,0.24719839941535934,Nb,1
農場,0.24148155392885653,Nc,1
宜蘭,0.24148155392885653,Nc,1
擋土牆,0.24148155392885653,Na,1
武陵,0.24148155392885653,Nc,1
地形,0.24025936807680257,Na,1
藝術,0.24025936807680257,Na,1
銅鑼鄉,0.24025936807680257,Nc,1
邊坡,0.24025936807680257,Na,1
包仔粿,0.21995389833859755,Na,1
客家粽,0.21995389833859755,Na,1
內餡,0.21995389833859755,Na,1
橘海,0.2186330496516652,Nc,2
正片,0.2128394135955166,Na,1
貓貓,0.20770709768633555,Na,1
外縣市,0.20699330300078253,Nc,1
表演,0.19072140864479858,VC,1
綠葉,0.17869870798587106,Na,1
百姓,0.17377957426938873,Na,1
高山,0.17377957426938873,Na,1
幸惠,0.17377957426938873,Nb,1
安全錐,0.1734253037174218,Na,1
包容性,0.1734253037174218,Na,1
美美照,0.16814098556510904,Nb,1
蹤跡,0.16814098556510904,Na,1
時間點,0.1652034244895601,Na,1
粉紅色,0.1652034244895601,Na,1
計程車,0.1652034244895601,Na,1
加油站,0.1563795287124306,Nc,1
中油,0.1563795287124306,Nc,1
下車處,0.1563795287124306,Nc,1
浪漫,0.1542446497409406,VH,1
藤蔓,0.1542446497409406,Na,1
身旁,0.1542446497409406,Nc,1
花道,0.1542446497409406,Na,1
花毯,0.1542446497409406,Na,1
客家菜,0.14435934971600214,Na,1
山櫻,0.14435934971600214,Na,5
盛地,0.14435934971600214,Na,1
砲管,0.14435934971600214,Na,1
車班,0.14435934971600214,Na,1
銅鑼街,0.14435934971600214,Nc,1
難事,0.14435934971600214,Na,1
面食,0.14435934971600214,Na,1
花瓣,0.13718205811527806,Na,1
炮竹,0.13718205811527806,Na,1
碇放,0.1093165248258326,Nb,1
苗縣,0.1093165248258326,Nc,1
花蕊,0.1093165248258326,Na,1
綠芽,0.1093165248258326,Na,1
粉色,0.1093165248258326,Na,1
路幅,0.1093165248258326,Na,1
瀑海,0.1093165248258326,Na,1
枝頭,0.1093165248258326,Nc,1
希疏,0.1093165248258326,Na,1
中層,0.1093165248258326,Nc,1
三角錐,0.09174379744583924,Na,1
悠閒,0.09174379744583924,VH,1
商家,0.09174379744583924,Na,1
