words,tfidf,pos,freq
碉堡,2.0846763409010967,Na,15
遼闊,1.777956484504467,VH,5
草原,1.356240391590616,Na,6
夜景,1.1902460726967883,Na,6
拍照,1.1520077856028286,VB,3
大甲,1.0997126043766416,Nc,7
底盤,1.0695618475926922,Na,7
鐵砧山,0.7704532053911485,Nc,6
墓地,0.7366667450760276,Nc,2
前景,0.7071067811865476,Na,1
一望無際,0.6701161618396111,VH,2
風水,0.6331461113345545,Na,2
能力,0.5307418548276472,Na,1
騎車,0.5307418548276472,VA,1
轎車,0.5271690615499349,Na,2
座標,0.5053831093630161,Na,3
鐵战山,0.4877407001357335,Nc,2
卡車,0.4824340478647606,Na,1
途徑,0.4763325940314029,Na,1
夕陽,0.4224885773991808,Na,2
車輪,0.39728277385734356,Na,2
土石路,0.3844400911960093,Na,1
越野車,0.38005845224750295,Na,2
叉路,0.37980794340412916,Na,5
市容,0.34364237399112335,Na,1
右手,0.2996399415493633,Na,2
墳場,0.29665713919338693,Nc,1
水泥路,0.29665713919338693,Na,1
樹枝,0.2956519454197546,Na,1
路基,0.2880499466546051,Na,2
寶地,0.28323342540383545,Na,1
心胸,0.28323342540383545,Na,1
草園,0.28323342540383545,Nc,1
沙鹿,0.27895644202892683,Nc,1
白日,0.27895644202892683,Na,1
麗寶,0.27895644202892683,Nb,1
摩天輪,0.27895644202892683,Na,1
海濱,0.27895644202892683,Nc,1
苗栗,0.26741103078666906,Nc,4
保險,0.25891473317050634,Na,1
路跡,0.24104878844459252,Na,1
產業道路,0.23668892912273043,Na,1
中小型,0.23668892912273043,Na,1
山壁,0.23668892912273043,Na,1
祖先,0.23658839995069147,Na,1
體質,0.23658839995069147,Na,1
海岸線,0.23658839995069147,Na,1
莽原,0.2284541277557453,Na,1
衛星,0.22119892233942845,Na,1
高爾夫球場,0.21217059679777883,Nc,1
海岸,0.20989272154824923,Nc,2
主幹道,0.20989272154824923,Na,1
哨站,0.20989272154824923,Nc,1
山坡,0.20989272154824923,Na,1
標誌性,0.20989272154824923,Na,1
荒野,0.20989272154824923,Nc,1
窪洞,0.19864138692867178,Na,1
行徑,0.19864138692867178,Na,1
水窪,0.19864138692867178,Na,1
泥土路,0.19864138692867178,Na,1
泥土,0.18037671336784894,Na,2
看板,0.18037671336784894,Na,1
腰部,0.18037671336784894,Na,1
車速,0.13572133776204615,Na,1
練習場,0.13572133776204615,Nc,1
高爾夫球,0.13572133776204615,Na,2
警覺性,0.13572133776204615,Na,1
墓園,0.13572133776204615,Nc,1
斜對面,0.13572133776204615,Nc,1
季風,0.13572133776204615,Na,1
土質,0.13572133776204615,Na,1
紫蓮花苑,0.13370551539333453,Nc,2
苑裡,0.13370551539333453,Nc,2
地盤,0.11664599443735509,Na,1
平安符,0.11664599443735509,Na,1
死路,0.11664599443735509,Na,1
部落客,0.11664599443735509,Na,1
大峽谷,0.06685275769666726,Nc,1
軍事,0.06685275769666726,Na,1
貼文,0.06685275769666726,Na,1
火炎山,0.06685275769666726,Nc,1
永信,0.06685275769666726,Nc,1
死角,0.06685275769666726,Nc,1
曬太陽,0.06685275769666726,VA,1
墓仔埔,0.06685275769666726,Nc,1
塑膠椅,0.06685275769666726,Na,1
名單,0.06685275769666726,Na,1
口袋,0.06685275769666726,Na,1
公園,0.06685275769666726,Nc,1
鎮瀾宮,0.06685275769666726,Nc,1
