words,tfidf,pos,freq
溫泉,6.751296135735027,Na,53
關子嶺,2.3667803357388584,Nc,20
湯屋,2.136669721755413,Nc,3
泡湯,1.428501474803629,VA,4
歷史,1.3468521671304283,Na,6
溫泉區,1.0407927712410894,Nc,4
公園,0.9865164835201021,Nc,8
老街,0.9464937251260908,Nc,6
好漢坡,0.9129656983512114,Nc,6
千鶴,0.8852977579863404,Nb,1
步道,0.865620225416402,Na,4
懷念,0.8333459777197479,VJ,1
寶泉橋,0.8095485030599262,Nc,5
天梯,0.7516748642630727,Na,4
散步,0.7246672628020279,VA,2
登山,0.6437047402657768,VA,2
泥浴,0.5415317492529523,Na,1
吊橋,0.524043054608013,Na,2
碧雲寺,0.511204889848787,Nc,3
風景區,0.4746661657277663,Nc,3
溫泉蛋,0.4745813332713447,Na,1
地熱,0.4745813332713447,Na,1
悠閒,0.4727099381733683,VH,2
天然,0.467870168411063,A,3
悠久,0.4662484127775801,VH,1
硫磺味,0.4405750352328591,Na,3
大仙寺,0.42347062206485575,Nc,2
寺廟,0.42347062206485575,Nc,2
傳統,0.40199664761523646,VH,1
手湯,0.3602979697332707,Na,2
產業道路,0.3600488191532649,Na,2
清幽,0.3585222984925004,VH,1
清靜,0.3585222984925004,VH,1
甕仔雞,0.34820141803301413,Na,2
出水口,0.3455625906386574,Nc,1
溪流,0.3455625906386574,Na,1
熱氣,0.34544634775397304,Na,1
硫磺,0.34544634775397304,Na,4
寶泉,0.33209642788040233,Nc,8
警光,0.32848793614115174,Nb,2
山莊,0.32848793614115174,Nc,2
名氣,0.3223451427117535,Na,1
祕境,0.2998077880541249,Nc,1
山坡,0.2998077880541249,Na,1
山花,0.2998077880541249,Na,1
旗木,0.2998077880541249,Na,1
親民,0.2753995292437428,VH,2
関仔嶺,0.27486251424511005,Nc,1
嶺頂,0.27486251424511005,Nc,1
地質,0.27486251424511005,Na,1
嘉南平原,0.27486251424511005,Nc,1
温泉,0.2732961663509457,Na,2
泥暗,0.2732961663509457,Na,1
大凍山,0.2732961663509457,Nc,1
週旁,0.2732961663509457,Nc,1
崁頭山,0.2732961663509457,Nc,1
温泉口,0.2732961663509457,Nc,1
九龍山,0.2732961663509457,Nc,1
女人,0.264897410568368,Na,1
熱鬧,0.23635496908668416,VH,1
鹼性,0.20894913742810312,Na,3
泥粒,0.20894913742810312,Na,2
石縫,0.20894913742810312,Na,2
泥質,0.20894913742810312,Na,2
灰黑色,0.20894913742810312,Na,2
泉味,0.20894913742810312,Na,2
山產,0.20849870182578947,Na,1
新溪,0.20849870182578947,Nb,1
甕窯雞,0.19630134027065885,Na,2
靈泉,0.19273352705826424,Na,1
溫泉口,0.19273352705826424,Nc,1
碳酸泉,0.19273352705826424,Na,1
閑雲橋,0.19273352705826424,Nc,1
棧道,0.1898616707312934,Na,2
引擎聲,0.1898616707312934,Na,1
老街區,0.18192472622218572,Nc,1
陳跡,0.18192472622218572,Na,1
台南區,0.1788507922375951,Nc,1
山景,0.1788507922375951,Na,1
山站,0.1788507922375951,Nc,1
台南,0.17713585818293434,Nc,3
旅店,0.17713585818293434,Nc,2
山區,0.17309993441314425,Nc,2
復古,0.15884069920711055,VHC,2
日式,0.15884069920711055,A,1
平房,0.15884069920711055,Na,1
石牆,0.15884069920711055,Na,1
臺灣人,0.15613799956748953,Na,1
懷舊,0.12723757384346365,VH,1
夜景,0.12723757384346365,Na,1
復古風,0.12723757384346365,Na,1
溫泉池,0.12723757384346365,Na,1
溫泉街,0.12723757384346365,Nc,1
木棧道,0.11069880929346745,Nc,1
火王爺廟,0.11069880929346745,Nc,1
旅館,0.11069880929346745,Nc,1
商店,0.11069880929346745,Nc,1
來源,0.09815067013532942,Na,1
山水,0.09815067013532942,Na,1
山谷,0.09815067013532942,Na,1
日本,0.09815067013532942,Nc,1
東北郊,0.09815067013532942,Nc,1
枕頭山,0.09815067013532942,Nc,1
溫泉鄉,0.09815067013532942,Nc,1
白河區,0.09815067013532942,Nc,1
網站,0.09815067013532942,Nc,1
臺南市,0.09815067013532942,Nc,1
奇萊山,0.08856792909146717,Nc,1
山腳,0.08856792909146717,Nc,1
爬山,0.08856792909146717,VA,1
大霸尖山,0.08856792909146717,Nc,1
登山型,0.08856792909146717,Na,1
