words,tfidf,pos,freq
彩繪村,2.3140637748060984,Nc,10
村莊,1.2446021461180545,Nc,4
寧靜,1.2385456826993477,VH,4
清幽,1.123390289898632,VH,2
北寮,0.6998334402557376,Nc,7
新光里,0.6343254101732161,Nc,1
拍照,0.6060562380586818,VB,2
南北寮,0.587875151957049,Nc,4
老狗,0.48346252228610687,Na,1
貓咪,0.48346252228610687,Na,1
街頭巷尾,0.4813653288175283,Nc,1
小叮噹,0.44963390458611663,Nb,2
畫作,0.43611396974256905,Na,2
南寮,0.30142223360775233,Nc,2
芙蓉,0.24375451407130017,Na,1
筆力,0.24375451407130017,Na,1
澗戶,0.24375451407130017,Na,1
木末,0.24375451407130017,Na,1
外貌,0.24375451407130017,Na,1
動漫,0.22481695229305831,Na,1
南北村,0.22481695229305831,Nc,1
天份,0.22481695229305831,Na,1
部落,0.22481695229305831,Nc,1
高手,0.22481695229305831,Na,1
體驗,0.21724143227961748,VC,1
藝術畫,0.21724143227961748,Na,1
關廟麵,0.15071111680387617,Nc,1
麥芽餅,0.15071111680387617,Na,1
鹹味,0.15071111680387617,Na,1
分界,0.15071111680387617,Na,1
關廟,0.15071111680387617,Nc,2
製麵廠,0.15071111680387617,Nc,1
眼睛,0.15071111680387617,Na,1
公園,0.1354050942147149,Nc,1
藝術,0.1354050942147149,Na,3
