words,tfidf,pos,freq
古厝,1.6709593909638625,Na,14
古色古香,1.4656065933080633,VH,2
古蹟,1.2345737732926778,Na,4
貓貓,1.1248699818983,Na,2
路小,1.0,Na,1
歷史,0.822895657143839,Na,4
汐止,0.7940666902186988,Nc,10
古宅,0.7595763947220453,Na,2
巴洛克式,0.5858827678311775,A,3
五堵,0.5773502691896257,Nc,1
隧道,0.5773502691896257,Na,1
外表,0.5319215545115745,Na,2
自行車道,0.522649994716131,Na,1
屋主,0.5075492364265491,Na,2
禮門里,0.4981088541405796,Nc,2
陳萬乞,0.42628246690240224,Nb,6
日本,0.4088498292758044,Nc,2
基隆河,0.38998369573589964,Nc,2
雄偉,0.37970881977285975,VH,1
荒屋,0.31894383358108286,Na,1
市容,0.31894383358108286,Na,1
汐止區,0.31628431652647465,Nc,1
新北市,0.31628431652647465,Nc,1
悠久,0.31628431652647465,VH,1
豪宅,0.2833470852066778,Na,2
中藥店,0.2770003447219462,Nc,2
背後,0.2737397164635637,Nc,1
禮門,0.2737397164635637,Na,3
落日餘暉,0.24499140984366166,Na,1
山景,0.24499140984366166,Na,1
有錢人,0.24499140984366166,Na,1
陳萬乞宅,0.2446533096155593,Nb,1
殘痕,0.23914277935562656,Na,1
河道,0.23914277935562656,Na,1
老街,0.23802667222940185,Nc,1
主義,0.23802667222940185,Na,2
基隆,0.23802667222940185,Nc,3
河濱,0.2371782187045793,Nc,1
拍照,0.2228814294057557,VB,1
文化局,0.21149007245098858,Nc,1
茶藝館,0.21149007245098858,Nc,1
水返腳,0.20400719436931777,Na,1
渡船,0.20400719436931777,Na,1
汐止鎮,0.20400719436931777,Nc,1
錫口,0.20400719436931777,Nc,1
汐止人,0.20400719436931777,Na,1
後代,0.20400719436931777,Na,1
松山,0.20400719436931777,Nc,1
鼎盛,0.20400719436931777,VH,1
西式,0.20400719436931777,A,1
巴洛克,0.20400719436931777,A,4
樂音,0.18296592056461694,Na,1
水運,0.18296592056461694,Na,1
潮汐,0.18296592056461694,Na,1
灘音,0.18296592056461694,Na,1
詩意,0.18296592056461694,Na,1
起落,0.18296592056461694,Na,1
韻律,0.18296592056461694,Na,1
天然,0.18296592056461694,A,1
陳家,0.1318917021959479,Nc,2
陳際昌,0.1318917021959479,Nb,2
閣樓,0.1318917021959479,Na,2
文化,0.06594585109797395,Na,2
陳金木,0.06594585109797395,Nb,1
陳蔭福,0.06594585109797395,Nb,1
陳姓,0.06594585109797395,Nb,1
門戶,0.06594585109797395,Na,1
鎮民,0.06594585109797395,Na,1
老厝,0.06594585109797395,Na,1
窗台,0.06594585109797395,Na,1
礦坑,0.06594585109797395,Na,1
牆壁,0.06594585109797395,Na,1
泉州,0.06594585109797395,Nc,1
河運,0.06594585109797395,Na,1
斯人,0.06594585109797395,Na,1
山尖型,0.06594585109797395,Na,1
文創,0.06594585109797395,Na,1
揚濟,0.06594585109797395,Nb,1
探光,0.06594585109797395,Na,1
後現代主義,0.06594585109797395,Na,1
後現代,0.06594585109797395,Na,2
廣告,0.06594585109797395,Na,1
師父,0.06594585109797395,Na,1
屋齡,0.06594585109797395,Na,1
大姓,0.06594585109797395,Na,1
大厝,0.06594585109797395,Na,1
來源,0.06594585109797395,Na,1
中藥鋪,0.06594585109797395,Nc,1
中藥房,0.06594585109797395,Nc,1
願景,0.06594585109797395,Na,1
