words,tfidf,pos,freq
俱樂部,2.0395617505423687,Nc,8
步道,1.7739444861005045,Na,6
硬漢嶺,1.7006924323282786,Nc,7
石碑,1.6489218877743208,Na,5
登山,1.2485227193990127,VA,7
繡球花,1.1627773866645201,Na,2
觀音山,1.12779608019273,Nc,4
爬山,0.9471195686102702,VA,4
歇息亭,0.7625744782144853,Na,1
踏青,0.7625744782144853,VA,1
雙亭,0.740176500902651,Nc,5
硬漢,0.6229399136604434,Na,10
休憩站,0.5943953651378014,Nc,1
登山口,0.5757938355896768,Nc,2
中途點,0.488667988497552,Nc,1
休息亭,0.4416822252221278,Na,1
拍照,0.44109524188129634,VB,1
泥土路,0.349478042139045,Na,1
石階,0.349478042139045,Na,1
風櫃斗,0.349478042139045,Na,1
石梯,0.3466108386578069,Na,1
中繼點,0.3458821136239206,Na,1
仁愛,0.3458821136239206,Na,1
林口,0.3458821136239206,Nc,1
沙漠,0.3458821136239206,Na,1
綠洲,0.3458821136239206,Na,1
門市,0.3458821136239206,Nc,1
雲海,0.33979779163398227,Na,1
硬漢坡,0.332970686545881,Nc,1
禪寺,0.28524940431854534,Nc,1
山友,0.28524940431854534,Na,1
觀景臺,0.2812784735924591,Nc,1
八里,0.24940144763033847,Nc,1
淡海,0.24940144763033847,Nc,1
登頂處,0.24940144763033847,Nc,1
硬漢碑,0.24940144763033847,Na,1
碼頭,0.24940144763033847,Nc,1
中點站,0.24267255587981346,Nc,1
平台,0.16166227852099904,Na,1
亭子,0.15326619431658056,Na,1
