words,tfidf,pos,freq
孔雀,6.073556158203193,Na,50
散步,4.921275745672832,VA,19
爬山,4.604519356144687,VA,24
泡腳池,3.457692092586856,Na,15
健行,2.7493758432475492,VA,7
動物,2.727003830358583,Na,14
拍照,2.343527347223263,VB,19
踏青,2.340327076869402,VA,6
泡腳,2.2786021195267576,VA,30
步道,2.1620049503790693,Na,12
溫泉,2.1117366953471794,Na,10
足湯,2.0955351795354695,Na,11
市集,2.0191971730568823,Na,10
雲水觀,1.916547130425021,Na,11
悠閒,1.8580050172552296,VH,8
遼闊,1.6889847006161642,VH,7
日式,1.6110154357521316,A,14
自然,1.6063706254002996,VH,8
茶花,1.5939749326559514,Na,10
世外桃源,1.564287020425216,Na,2
攤販,1.3197267632607899,Na,6
清新,1.1869544900594293,VH,5
金字塔,1.1438940694640045,Na,8
階段,1.1169155285995707,Na,2
公園,1.1105091200578157,Nc,3
山坡,1.1069352550337077,Na,5
山羊,1.0690924096848982,Na,4
曬太陽,1.0638184047334158,VA,4
清幽,1.0539121022000693,VH,4
體驗,1.0165126202918502,VC,7
貨櫃,1.0160482542975087,Na,7
新竹,0.9705666676944587,Nc,7
蘭花園,0.9591936736908777,Nc,8
過年,0.9510008060513985,VA,3
廟宇,0.939917104918418,Na,7
健走,0.9324646359955449,VA,4
山頂,0.9311851171435003,Nc,5
藝術,0.9155708830067004,Na,10
台開,0.8936606014875011,Nb,5
野餐,0.8754031125942998,VA,5
露營,0.8606643445017667,VA,1
蘭花,0.8584774885424493,Na,12
好漢坡,0.8548544739803194,Nc,3
隈研吾,0.8386944129617797,Nb,6
鳥居,0.8285650181748696,Nc,7
雜草叢生,0.8268704097288639,VH,3
日月,0.7218694063294958,Na,5
攤位,0.707632502874743,Na,3
夕陽,0.6997953049526323,Na,4
大自然,0.6943669053604913,Nc,3
放電,0.6830201485442164,VA,4
韓味,0.675163246606375,Na,1
水瓢,0.6718875630295399,Na,1
地雷,0.6674171785112468,Na,1
健身,0.6348248966386965,VA,2
荒地,0.623344436951307,Na,2
孔雀園,0.6200748581595268,Nc,2
火蟻窩,0.6066920477941911,Na,1
清靜,0.6026278430003574,VH,1
日本,0.5903683865004371,Nc,6
植物,0.5875058576838192,Na,7
半成品,0.5690733201804749,Na,1
集團,0.5581773143009192,Na,2
藝術品,0.5512350724501813,Na,3
商家,0.5508799574218896,Na,1
騎車,0.5439084189224992,VA,4
兔子,0.5409283659993505,Na,3
花香,0.534731962035708,Na,2
野生,0.5098935107819839,A,1
法拍,0.5098935107819839,Na,1
油飯,0.5095533275762836,Na,2
羊孔雀,0.5073835072043591,Na,1
麵包丁,0.5046668398981606,Na,2
寺廟,0.5028820546560888,Nc,4
眼睛,0.5000093587736991,Na,1
神明,0.48899052691734357,Na,3
山坡道,0.4847589143938895,Na,1
風景美,0.4845121291057779,Na,1
部落客,0.4803100435084709,Na,2
羊群,0.4793415951940488,Na,3
水池,0.4754031388906656,Na,3
商店,0.47389997547270946,Nc,2
植被,0.4702259756866368,Na,1
菲律賓,0.46779299160658844,Nc,1
番鴨,0.4571980680208932,Na,2
日落,0.45549924196230474,VA,2
動植物,0.44936484789599646,Na,1
氣流,0.44936484789599646,Na,1
嬰兒,0.4487350351087918,Na,4
视野,0.43024969980204747,Na,1
山茶,0.42418370805837297,Na,2
花片,0.42418370805837297,Na,1
貨櫃屋,0.42354608490634915,Na,3
雲水,0.41985499533569726,Na,13
丘陵,0.41000097999578217,Na,1
地形,0.41000097999578217,Na,1
水泥路,0.403780046894064,Na,1
積木,0.40270267687609407,Na,5
桐花,0.39932440704948274,Na,2
厚片,0.3912354468906165,Na,2
羊肉爐,0.3906197391476848,Na,1
進度,0.38617733615548927,Na,1
卡榫,0.38577307402850697,Na,1
曲線,0.38577307402850697,Na,1
荒涼風,0.3827715160220263,Na,1
温泉水,0.37998523485301394,Na,1
收據,0.37998523485301394,Na,1
溫室,0.37580237501651936,Nc,1
園藝師,0.37580237501651936,Na,1
泡泡腳,0.37422229396936724,Na,1
輕井澤,0.372198769515118,Nc,2
道觀,0.37051831199584984,Na,2
下午茶,0.36789543717352974,Na,1
孔雀雞,0.36777532519607603,Na,1
日月潭,0.36777532519607603,Nc,1
肺活量,0.36501701842491335,Na,1
頭銜,0.36144804114789814,Na,1
放風箏,0.35148015381168485,VA,2
荒廢感,0.34666103715561286,Na,1
攤位區,0.34666103715561286,Nc,1
積木館,0.3452538180700153,Nc,1
療癒,0.34337342412292604,VC,1
雷點,0.34243027831077466,Nb,1
豆乾,0.332677067294179,Na,2
整體性,0.332677067294179,Na,1
工地,0.3314659995312936,Na,1
收費員,0.3314659995312936,Na,1
百鳥園,0.32924445305341493,Nc,1
油桐花,0.32924445305341493,Na,1
服務區,0.32178923942508136,Nc,1
花園,0.3217514287230416,Nc,10
泡腳區,0.3213284213281403,Nc,2
結論,0.31531909387435675,Na,3
神社,0.3053531074815232,Nc,2
鄉下,0.30480117435918097,Nc,1
登高,0.3047717958372175,VA,2
拍照點,0.30322268748112574,Na,2
藥師佛,0.3024384512910919,Na,2
拉絲照,0.3018452199888021,Na,1
失落感,0.2994315094537081,Na,1
鳳山,0.291422782970879,Nc,4
幅員,0.2888526930716594,Na,1
跑腳池,0.2873263432407511,Na,1
商店區,0.2873263432407511,Nc,1
鳥園,0.28298770751800456,Nc,4
疲勞感,0.2824047473744796,Na,1
田園小徑,0.27810585410811944,Na,1
木三角,0.27810585410811944,Na,1
彰化,0.2732000843589087,Nc,1
白孔雀,0.26995296886745695,VH,1
足湯池,0.268385515843958,Nc,1
土丘,0.2680585329761619,Na,3
溫泉池,0.26415640584952127,Na,1
羊咩,0.2635392385717157,Nb,2
空污,0.25715144346755564,Na,1
閒暇,0.2538935884120225,Na,1
店鋪,0.24949488993594576,Na,1
鴨鵝魚,0.24317659517976697,Na,1
餘暉,0.24317659517976697,Na,1
名師,0.23921128234465652,Na,1
優點,0.23757152729306397,Na,1
羊魚雞,0.236747664554621,Na,1
足浴屋,0.23487964164010885,Na,1
棚子,0.23487964164010885,Na,1
台進去,0.23487964164010885,Nc,1
拍攝,0.2326947501014197,VC,2
毛巾水,0.23137076189734015,Na,1
鯉魚,0.22975753396755652,Na,1
綿羊,0.22975753396755652,Na,1
山茶花,0.22975753396755652,Na,1
鴨鴨,0.22726564891631315,Na,1
展望路,0.22726564891631315,Nc,1
園主,0.22726564891631315,Na,1
敬意,0.22726564891631315,Na,1
斜陽,0.22415920902805772,Na,3
茶花林,0.22364489334756327,Na,2
登山,0.22159067305634408,VA,1
老祖,0.22159067305634408,Na,1
文化,0.22159067305634408,Na,1
日式風,0.22159067305634408,Na,1
王禪,0.22159067305634408,Nb,1
特色木,0.21944341962033392,Na,1
腳勁,0.21944341962033392,Na,1
雉雞,0.21944341962033392,Na,1
人頭費,0.21944341962033392,Na,1
湖泊,0.21294552703654043,Na,1
話語,0.21294552703654043,Na,1
艾草包,0.21149816902360513,Na,1
塵囂寬闊,0.20860721598631193,Na,1
山光,0.20860721598631193,Na,1
樹種,0.20860721598631193,Na,1
格子,0.20652335387438292,Na,2
表情,0.20652335387438292,Na,2
泡腳亭,0.2060781848169124,Na,1
攤販區,0.20456910344173823,Nc,1
協會,0.20048061885170765,Nc,1
草地,0.20048061885170765,Nc,1
蜜蜂,0.20048061885170765,Na,1
媒事,0.20048061885170765,Na,1
完成品,0.19921787497621934,Na,1
關西,0.19436279358540276,Nc,1
宗教家,0.19436279358540276,Na,1
荒郊野外,0.1925606239505873,Nc,1
訪客,0.19046444588273917,Na,1
老伯,0.19046444588273917,Na,1
園地網,0.19046444588273917,Nc,1
藝術季,0.19025332258103633,Nd,1
瀨戶內海,0.19025332258103633,Nc,1
涼爽,0.18946432712776348,VH,1
是非,0.18831304383440411,Na,1
亭子,0.18831304383440411,Na,1
目錄,0.18831304383440411,Na,1
草皮,0.18831304383440411,Na,1
預售地,0.18501666916886497,Na,1
果園,0.1831344862111701,Nc,1
