words,tfidf,pos,freq
登山,3.8413908660532545,VA,25
山莊,3.7631271052460584,Nc,16
天池,3.6707519010679865,Nc,16
步道,3.271993707558217,Na,9
登山口,2.0305194240108797,Nc,9
古道,1.936957233362174,Na,5
屯原,1.4994670178807104,Nb,6
歷史,1.4246079136171472,Na,4
高越嶺,1.1614469658890143,Nc,11
拍照,1.06014904974947,VB,4
奇萊,1.028318081695934,Nb,8
南華,1.028318081695934,Nb,8
爬山,1.012462818249677,VA,2
西段,1.0100932684936659,Nc,2
雲海,0.9559410270868107,Na,6
山友,0.9265690815676046,Na,4
悠閒,0.8829083060516286,VH,1
保線所,0.8748197559675646,Nc,5
中餐,0.8324817362213925,Na,2
登山客,0.8153746058210547,Na,2
遺跡,0.7675261760569771,Na,1
中繼點,0.7291771818784782,Na,2
安東軍,0.6864021615922253,Na,1
水桶,0.6436736250477907,Na,2
大休點,0.5689681722428777,Na,1
崩壁,0.5624810454570257,Na,3
親民,0.5285051853037674,VH,1
休息地,0.5090647950512812,Na,1
紀念碑,0.5060606382318227,Na,1
南華山,0.5036046765589782,Nc,3
中距站,0.4978059453697155,Nc,1
地形,0.4787288224465926,Na,1
秀麗,0.43860252932088417,VH,2
林道,0.41767855160673073,Na,1
胰臟,0.3934671419354887,Na,1
豆漿,0.3934671419354887,Na,1
介紹牌,0.3892734666987151,Na,1
腳步,0.36217969771103886,Na,1
杜鵑,0.3535153615169768,Na,1
高山,0.3535153615169768,Na,2
吉野櫻,0.3535153615169768,Na,1
前哨,0.344021145891242,Nc,1
山頂,0.32683386450981156,Nc,1
大休,0.32416431300061027,Na,3
避風點,0.32416431300061027,Nc,1
花朵,0.32267867061426503,Na,1
門鎖,0.31615244269763215,Na,1
木屑,0.3157226977105693,Na,1
迷迭香,0.3016285674240183,Na,1
魯冰花,0.3016285674240183,Nb,1
楓紅,0.3016285674240183,Na,1
古老,0.28491664727736427,VH,1
價值性,0.28491664727736427,Na,1
平台,0.28491664727736427,Na,1
水庫,0.28491664727736427,Na,1
松針,0.27137928105430226,Na,1
細雨,0.27137928105430226,Na,1
荒郊野外,0.2655642011024162,Nc,1
蜜蜂,0.2655642011024162,Na,1
集會地,0.26078457211117523,Nc,1
高手,0.26078457211117523,Na,1
日式,0.26078457211117523,A,1
算命師,0.23259460598165133,Na,1
藍帽,0.23259460598165133,Nb,1
陳嘉聲,0.23259460598165133,Nb,1
嗓門,0.23259460598165133,Na,1
公社,0.23259460598165133,Nc,1
土石,0.22832132607537317,Na,1
埔里鎮,0.21899469274966646,Nc,1
高山症,0.21899469274966646,Na,1
線路,0.21295939252230306,Na,1
過濾器,0.21295939252230306,Na,1
佛心,0.21295939252230306,Na,1
展望點,0.21295939252230306,Nc,1
電塔,0.21295939252230306,Na,1
熱食,0.20400454704626944,Na,1
櫻花,0.1992827319312917,Na,1
蘋果樹,0.1992827319312917,Na,1
奇萊南峰,0.18069839007193805,Nc,2
鐵杉,0.15255288177949,Nb,1
高撓,0.15255288177949,Nb,1
青山,0.15255288177949,Na,1
門關,0.15255288177949,Na,1
拍攝,0.15255288177949,VC,1
目的地,0.15255288177949,Nc,1
女性,0.15255288177949,Na,1
妹紙,0.09034919503596903,Na,1
眼簾,0.09034919503596903,Na,1
日出,0.09034919503596903,VA,1
台南,0.09034919503596903,Nc,1
腳底,0.09034919503596903,Na,1
