words,tfidf,pos,freq
步道,11.225815858184006,Na,95
聖稜線,4.77814414449243,Na,18
木棧道,3.6212132697538015,Nc,17
觀霧,2.8654464729408646,Nc,18
平台,2.457519155387729,Na,11
觀景台,2.3813064837217284,Nc,11
木棧,1.9386400971422812,Na,25
大霸尖山,1.775538187592588,Nc,7
山莊,1.641981950414432,Nc,6
雪山,1.6164641483023832,Na,7
親民,1.4826453057677844,VH,7
山椒魚,1.4628654677182098,Na,13
山景,1.4472681595131216,Na,4
群峰,1.3624909300521666,Na,4
生態,1.138693273168345,Na,9
清新,1.0677449129767083,VH,4
森林,1.0499959577147857,Na,5
老少咸宜,1.0289880357790642,VH,3
大霸尖,1.0,Nc,8
芬多精,0.9613252077666673,Na,4
登山口,0.9021799768476874,Nc,2
好難度,0.8432079296266597,Na,1
聖陵線,0.8233658234702632,Na,3
草原,0.7675261760569771,Na,1
遼闊,0.7573521619964272,VH,3
散步,0.68556718284182,VA,3
榛山,0.6700585622078195,Na,2
大霸,0.6517655734312119,Na,9
千里霧,0.646602504187586,Na,1
公園,0.6287450041423566,Nc,3
山嵐,0.6003850145975287,Na,2
金翼,0.6003779732230954,Nb,2
至高點,0.5917276600018235,Na,1
群山,0.5827807750765561,Na,4
雪霸,0.5796057553544394,Nc,4
平臺,0.571778511510776,Na,2
涼爽,0.5711127405221379,VH,2
蟲鳴,0.560582334963745,Na,2
展望點,0.5515176128227591,Nc,1
高山,0.544316981229478,Na,3
登高,0.53582806989773,VA,2
爬山,0.5038852464625981,VA,1
健行,0.47320054358142827,VA,2
大小霸,0.4569244408815114,Na,1
雲層,0.4472135954999579,Na,1
檜山,0.44557475507782124,Nc,2
雷達站,0.44512359480523306,Nc,3
山脈,0.4449363267210642,Na,2
山谷,0.41540425296434313,Na,1
導覽,0.4115430416148449,VC,3
白眉鳥,0.3920319043539425,Na,1
愜意,0.3920319043539425,VH,1
樂山,0.36201396479400705,Nc,2
巨木群,0.35895313128964274,Na,1
棧道,0.35758413481901147,Na,19
二葉松,0.3463654676039296,Na,2
紅檜,0.3463654676039296,Na,2
清幽,0.3395994196909981,VH,1
平地,0.33892734270156516,Na,1
姿態,0.32712743955793266,Na,1
龍膽,0.32712743955793266,Na,1
菇菇,0.32712743955793266,Na,1
蹤跡,0.32712743955793266,Na,1
植物,0.31823231450197076,Na,3
步伐,0.3141331433575432,Na,1
交響樂,0.30630060892417615,Na,1
動植物,0.30630060892417615,Na,1
山崚綫,0.3023612577243342,Na,1
大自然,0.298385630216127,Nc,1
森林浴,0.298385630216127,Na,1
變更處,0.2907375376640697,Nc,1
防滑墊,0.2907375376640697,Na,1
原始,0.2882080985161497,VH,1
雷達,0.27912356806413313,Na,5
山羌,0.27865787356268795,Na,1
動物,0.2676821988407713,Na,1
野生,0.2676821988407713,A,1
山林,0.26212963819340607,Nc,1
山櫻花,0.26212963819340607,Na,1
檜木,0.26212963819340607,Na,1
霧社,0.26212963819340607,Nc,1
五葉松,0.2555809012019629,Na,1
山椒魚館,0.2460852603139748,Na,1
名單,0.24360432229981077,Na,1
避暑,0.24360432229981077,VA,1
口袋,0.24360432229981077,Na,1
大尖山,0.23894302987315105,Nc,1
力氣,0.23156156973093206,Na,1
三山,0.2074467363879996,Nb,1
山峰,0.20269203138395386,Na,1
雪霸聖,0.19603890553552383,Nc,1
景像,0.19603890553552383,Na,1
稜線,0.19603890553552383,Na,19
觀景臺,0.19603890553552383,Nc,1
心律,0.17756154462197668,Na,1
氣喘,0.17756154462197668,Na,1
牛肉麵,0.1642877081061213,Na,1
健走,0.16027643474497758,VA,1
交會車,0.15442631027972858,Na,1
桃園,0.15442631027972858,Nc,1
航道,0.15442631027972858,Na,1
觀霧區,0.15442631027972858,Nc,1
高山症,0.14717157916330512,Na,1
香水,0.14717157916330512,Na,1
高跟鞋,0.14717157916330512,Na,1
蜜蜂,0.14717157916330512,Na,1
展館,0.14717157916330512,Nc,1
泰安鄉,0.13718101387161497,Nc,1
苗栗縣,0.13718101387161497,Nc,1
解說牌,0.1344655924125675,Na,1
負荷,0.1344655924125675,Na,1
高點,0.1344655924125675,Na,3
筆記,0.12167728836368924,Na,1
松木,0.12167728836368924,Na,1
總里程,0.12167728836368924,Na,1
竹縣,0.12167728836368924,Nc,1
百岳,0.12167728836368924,Neu,1
巨木,0.12167728836368924,Na,2
單品,0.12167728836368924,Na,1
二坪林,0.12167728836368924,Nc,1
o型,0.12167728836368924,Na,0
山頂,0.11803492453938544,Nc,1
所有人,0.11803492453938544,Na,1
日本,0.11803492453938544,Nc,1
杜鵑,0.11803492453938544,Na,1
柳杉,0.11803492453938544,Na,1
火箭,0.11803492453938544,Na,1
玉山,0.11803492453938544,Nc,1
細葉,0.11803492453938544,Na,1
羊桃,0.11803492453938544,Nb,1
韓國,0.11803492453938544,Nc,1
預景,0.11803492453938544,Na,1
