words,tfidf,pos,freq
公園,4.580293599553883,Nc,20
散步,3.8693281026709188,VA,14
美術館,2.3897938347302716,Nc,9
桃園,2.337827542016903,Nc,28
青埔,1.916252065666567,Nc,13
青塘園,1.887966014290678,Nc,14
清幽,1.2382219632160456,VH,3
野餐,1.1836511307195607,VA,3
寧靜,1.1615405409800292,VH,4
彩旗,1.0,Na,1
步道,0.9881225049500766,Na,7
踏青,0.8721372919290915,VA,3
未來風,0.8517910162153607,Na,1
客家,0.8272276972603596,Na,6
博覽會,0.7987799872002208,Na,5
夜色,0.7675261760569771,Na,1
生態,0.7636594989007537,Na,4
建商,0.7071067811865475,Na,1
藝術,0.6120467411793872,Na,10
高鐵站,0.6117190050255945,Nc,4
環湖,0.6006307675204743,A,2
刺手,0.5773502691896257,Na,1
木頭椅,0.5773502691896257,Na,1
阿燦,0.5564495457714158,Nb,1
藝術節,0.5537628842121836,Nd,6
拍照,0.5023591557570679,VB,2
遼闊,0.49976219968130875,VH,1
埤塘,0.49003751300183385,Na,4
木棧道,0.4746541458271502,Nc,5
綠意盎然,0.43034805437322776,VH,2
中壢,0.425194583793874,Nc,5
幽靜,0.4142910745212053,VH,2
花燈,0.40915734983418967,Na,1
世客,0.37509531788315154,Nb,1
桃園市,0.3512312390823568,Nc,3
ubike,0.33543488619930945,FW,2
悠閒,0.3198409951144952,VH,1
平台,0.31821139855680974,Na,3
親民,0.30439230331624595,VH,1
華泰,0.30439230331624595,Nb,1
滑水,0.2979631107586534,Nv,1
環池,0.2979631107586534,Na,1
鴨兒,0.2979631107586534,Na,1
藝術光,0.28704792375567667,Na,1
童趣,0.2852708309729853,Na,1
中壢區,0.27133896981915817,Nc,2
主管,0.2627482052041034,Na,1
魚鉤,0.2627482052041034,Na,1
釣客,0.2627482052041034,Na,1
糞便,0.260251565228066,Na,1
狗繩,0.260251565228066,Na,1
橋梁,0.2453382208977956,Na,1
晨昏,0.2453382208977956,Na,1
圖書館,0.2453382208977956,Nc,1
麵包屑,0.24192369047970277,Na,1
青塘橋,0.24192369047970277,Nc,1
池塘,0.2409963325953625,Nc,1
商辦,0.2409963325953625,Nc,1
條例,0.2337268971199251,Na,1
規範,0.2337268971199251,Na,1
大廈,0.2337268971199251,Na,1
公寓,0.2337268971199251,Na,1
塘區,0.2337268971199251,Nc,1
放電,0.23199940722350013,VA,1
涼爽,0.22776581087924372,VH,1
黃昏,0.22776581087924372,Nd,1
雲朵,0.22776581087924372,Na,1
青塘,0.22776581087924372,Nc,16
桃園站,0.226463782049334,Nc,2
灌溉用,0.226463782049334,Na,2
農業,0.226463782049334,Na,2
農田,0.22320942325872375,Na,1
鵝鴨,0.22320942325872375,Na,1
動物,0.22320942325872375,Na,1
水雉,0.22320942325872375,Na,1
湖光水色,0.22320942325872375,Na,1
河道,0.2224210236453624,Na,1
紅冠水雞,0.2224210236453624,Na,1
老街溪,0.2224210236453624,Nc,1
煙頭,0.19260093621655489,Na,1
衝突,0.19260093621655489,Na,1
酒瓶,0.19260093621655489,Na,1
草坪,0.19260093621655489,Na,1
區公所,0.19260093621655489,Nc,1
扣款,0.12685177165798747,Na,1
秋紅谷,0.12685177165798747,Nc,1
埤圳,0.11925900173775617,Nc,1
特定區,0.11925900173775617,Nc,1
生計,0.11925900173775617,Na,1
高鐵區,0.11925900173775617,Nc,1
景觀橋,0.11742908438746301,Na,1
浪漫,0.11742908438746301,VH,1
光束,0.11742908438746301,Na,1
北極星,0.11742908438746301,Nb,1
雪白色,0.11742908438746301,Na,1
巨星,0.10857668996415797,Na,1
魯冰花,0.10857668996415797,Nb,1
高鐵南路,0.10857668996415797,Na,1
誠意,0.10857668996415797,Na,1
清塘園,0.10857668996415797,Nc,1
世界館,0.10857668996415797,Nc,1
客家館,0.10857668996415797,Nc,1
台灣館,0.10857668996415797,Nc,1
觀賞性,0.10239502931906508,Na,1
植物,0.10239502931906508,Na,1
愜意,0.10239502931906508,VH,1
對話,0.10239502931906508,Na,1
怕生人,0.10239502931906508,Na,1
打水聲,0.10239502931906508,Na,1
投影,0.07712726592135927,Na,1
球球,0.07712726592135927,Na,1
文德路,0.07712726592135927,Nc,1
點燈,0.07712726592135927,VA,1
光雕秀,0.07712726592135927,Na,1
拍攝,0.07712726592135927,VC,1
阿修,0.07712726592135927,Nb,1
