words,tfidf,pos,freq
步道,3.6361730501751066,Na,15
爬山,1.3476972358820767,VA,4
青龍嶺,1.058362640492767,Nc,5
健身,1.0,VA,1
健行,0.9627514771607076,VA,3
老少皆宜,0.7055745768982282,Na,1
登山,0.6129033122709562,VA,2
山頂,0.6061734276805427,Nc,3
櫻花,0.5773502691896257,Na,2
蟲嗚,0.5,Na,1
大同山,0.4681031580459197,Nc,2
大青坑崙,0.43853157813420346,Nc,1
秋壇山鎮,0.43853157813420346,Nc,1
百岳,0.43437293402990695,Neu,1
長者,0.41795287489224153,Na,1
新北,0.4072935715011429,Nc,2
清幽,0.3618070638513602,VH,1
遼闊,0.35736151541717187,VH,1
三角埔,0.35736151541717187,Nc,1
卡拉,0.35736151541717187,Na,2
野餐,0.3096572765212499,VA,1
休憩亭,0.28653170659129906,Na,1
市集,0.25892493828372387,Na,1
尖棟山,0.25892493828372387,Nc,1
右手,0.25892493828372387,Na,1
三角點,0.25892493828372387,Nc,1
公所,0.2576139014727232,Nc,1
雪茄,0.2576139014727232,Na,1
南寮,0.23405157902295984,Nc,1
櫻花林,0.23405157902295984,Na,1
福德宮,0.23405157902295984,Nc,1
圓山,0.19312051669018168,Nc,1
林口,0.19312051669018168,Nc,1
桃園,0.19312051669018168,Nc,2
觀景台,0.19312051669018168,Nc,1
廟宇,0.17777034563417843,Na,1
青菜,0.17777034563417843,Na,1
桃園市,0.17777034563417843,Nc,1
新北市,0.17777034563417843,Nc,1
名氣,0.17777034563417843,Na,1
夜總會,0.17777034563417843,Nc,1
味道飯,0.17777034563417843,Na,1
騎車,0.17777034563417843,VA,1
45巷,0.17735624020299834,Nc,1
二段,0.17735624020299834,Nc,1
保安街,0.17735624020299834,Nc,1
詩意,0.17735624020299834,Na,1
青德宮,0.17735624020299834,Nc,1
