words,tfidf,pos,freq
哈尤溪,2.644316563309797,Nc,3
部落,1.270089638036167,Nc,4
傳統,1.009497632758305,VH,2
天然,1.0,A,1
頭目,0.9411162959743986,Na,3
瀑布,0.8042468727959311,Na,2
馬庫路,0.5950446870086986,Nb,1
體驗,0.5,VC,1
文化,0.5,Na,1
男子,0.46078437960406043,Na,1
顏姓,0.46078437960406043,Nb,1
霧台,0.43287272192391785,Nc,1
魯凱族,0.43287272192391785,Nb,1
鄉土味,0.42156354022383513,Na,1
山區,0.42156354022383513,Nc,1
原住民,0.42156354022383513,Na,1
大自然,0.37796447300922725,Nc,1
山珍,0.37796447300922725,Na,1
營地,0.37796447300922725,Nc,1
眼睛,0.37796447300922725,Na,1
教授,0.37154754760263886,Na,1
母語,0.37154754760263886,Na,1
報應,0.3575024776755701,Na,1
天譴,0.3575024776755701,Na,1
獵人,0.3575024776755701,Na,1
黑熊,0.3575024776755701,Na,1
鬼斧神工,0.29444823184635127,VH,1
自然,0.29444823184635127,VH,3
法則,0.29444823184635127,Na,1
自然界,0.29444823184635127,Nc,1
