words,tfidf,pos,freq
瀑布,4.28917055580537,Na,39
清涼,1.9857276141596136,VH,3
涼爽,1.1550826717708333,VH,2
高義,0.965273999037494,Nb,8
地形,0.8873238734902511,Na,5
北橫,0.8233627323418032,Nc,6
溪水,0.7761743331240044,Na,3
瀑布群,0.7466376224024678,Na,6
高義橋,0.7133593598147832,Nc,6
紅楓,0.7071067811865476,Na,1
大自然,0.7071067811865476,Nc,1
深潭,0.6584899386743628,Na,4
玩水,0.6391941318132667,VA,6
水深,0.6107594694441713,Na,1
消暑,0.5829189753052293,VA,2
攀爬,0.5553997922422531,VC,5
避暑,0.5403047728607666,VA,2
壯觀,0.5252890732968354,VH,2
蝴蝶,0.49082241304942903,Na,3
跳水,0.4649608070540251,VA,2
分子,0.46434700274022916,Na,1
排泄物,0.42447480603198273,Na,1
游泳,0.4235849294746625,VA,1
戲水,0.4075460034054512,VA,3
地貌,0.4039950427117603,Na,1
危險性,0.3679207126985905,Na,2
自然,0.3424935831210717,VH,2
岩盔,0.34199197133435444,Na,1
溪鞋,0.34199197133435444,Na,2
能力,0.33586732574139666,Na,1
亂石,0.3032806221695565,Na,1
登山,0.27495768854457636,VA,2
繩索,0.2558431073134748,Na,2
蝴蝶谷,0.24541120652471451,Nc,1
負離子,0.24541120652471451,VJ,1
拉拉山,0.24541120652471451,Nc,1
浮具,0.1802897553112442,Na,1
風險,0.1781580626631115,Na,1
滑水道,0.1781580626631115,Na,1
攀岩,0.1781580626631115,VA,1
爬山,0.12144121357637586,VA,1
山壁,0.12144121357637586,Na,1
步道,0.12144121357637586,Na,1
眼簾,0.12144121357637586,Na,1
起溯點,0.12144121357637586,Na,1
釣友,0.10046540036936905,Na,1
蕭真,0.10046540036936905,Nb,1
寧靜,0.10046540036936905,VH,1
防護,0.10046540036936905,Na,1
水路,0.10046540036936905,Na,1
油肚伯,0.10046540036936905,Nb,1
桃園,0.10046540036936905,Nc,1
水橋,0.10046540036936905,Na,1
復興鄉,0.10046540036936905,Nc,1
山徑,0.10046540036936905,Na,1
台7縣,0.10046540036936905,Nc,1
大石,0.08665021088380159,Na,1
岩壁,0.08665021088380159,Na,1
岩體,0.08665021088380159,Na,1
峭壁,0.08665021088380159,Na,1
溪徑,0.08665021088380159,Na,1
裸岩,0.08665021088380159,Na,1
裸露感,0.08665021088380159,Na,1
遊樂場,0.08665021088380159,Nc,1
重物,0.08665021088380159,Na,1
防寒衣,0.08665021088380159,Na,1
頭盔,0.08665021088380159,Na,1
高崖,0.08665021088380159,Na,1
