words,tfidf,pos,freq
水庫,6.126880248272308,Na,34
散步,5.173404341935752,VA,14
鯉魚潭,4.923739160135916,Nc,28
攤販,4.426896435237361,Na,18
觀景台,4.37685290799433,Nc,24
步道,3.2796018932501436,Na,11
拍照,2.549643439951934,VB,7
壯觀,2.1894991572951663,VH,5
平台,1.6706302209714912,Na,4
踏青,1.5196154830710338,VA,3
郊遊,1.3983464801468184,VA,2
風光明媚,1.372628477783689,VH,2
遼闊,1.3587181086527955,VH,5
公園,1.3161079235127806,Nc,7
鋸齒狀,1.2678484092613669,Na,4
市集,1.2423165970479464,Na,3
大壩,1.2179834338831155,Na,4
美人樹,1.0204078893869482,Na,3
清靜,1.0,VH,1
歌喉,1.0,Na,1
蘿蔔絲,0.9465800841374328,Na,5
溢洪道,0.9324469356970357,Na,4
水壩,0.9295263931062141,Na,2
愜意,0.9180679766039044,VH,2
登高,0.9009093053237993,VA,2
秀麗,0.8973477698239768,VH,1
瀑布,0.8928050598891937,Na,2
清新,0.8892419987174944,VH,2
清幽,0.8648842030172718,VH,1
觀景臺,0.8498209494481264,Nc,2
涼爽,0.8484787411715888,VH,1
偶像,0.7875570636987306,Na,1
鋸齒堰,0.738281765105511,Na,5
花蓮,0.7243723109428724,Nc,3
熱鬧,0.6966908031055221,VH,1
蔬果,0.6491545775680713,Na,1
苗栗,0.635973510993799,Nc,5
優點,0.6221290412407284,Na,1
遠足,0.6208175492369502,VA,1
健行,0.6145245022972822,VA,1
風景區,0.6130060879805649,Nc,2
洩洪道,0.6110529657081495,Na,2
鋸齒,0.5895830413046842,Na,10
洩洪口,0.5895830413046842,Nc,1
壩體,0.5365038279953296,Na,3
飆車族,0.5353594001703398,Na,1
自然,0.5353594001703398,VH,1
生態,0.5353594001703398,Na,1
大霸,0.53348460525307,Na,2
古老,0.5160786558440177,VH,1
山區,0.5078824039922071,Nc,1
保護區,0.5078824039922071,Nc,1
遠近,0.5,Na,1
卡啦ok,0.4960614701335272,Na,1
健走,0.4922497099898784,VA,1
環湖,0.4922497099898784,A,1
湖光山色,0.4679738018580925,Na,1
爬山,0.45124293973456236,VA,1
山水,0.4413929747653788,Na,1
櫻花,0.43054753948482516,Na,1
日出,0.42929174109249846,VA,1
洩洪區,0.42929174109249846,Nc,1
蘿蔔絲餅,0.4260544413697653,Na,1
鯉魚,0.4245564266678388,Na,29
散步道,0.42133361441029066,Na,1
台3線,0.4192113897307488,Nc,1
悠閒,0.41430268347751487,VH,1
樂活,0.41430268347751487,Na,1
人情味,0.41430268347751487,Na,1
孕婦,0.40413884568414415,Na,1
卓蘭,0.37845054070069667,Nc,2
城囂,0.37546887485148756,Na,1
水利,0.3707290826433524,Na,1
化粧室,0.35333060174601627,Nc,1
春神,0.34369727723392063,Na,1
潭水,0.34369727723392063,Na,1
鱗鱗,0.3320347972488405,Na,1
堤頂,0.3222283260478103,Nc,1
鉅型,0.3205645346495319,Na,1
蒜頭,0.3173912220589412,Na,1
香味,0.3173912220589412,Na,1
內餡肉,0.3173912220589412,Na,1
炭火,0.3173912220589412,Na,1
苗栗人,0.3162271925795595,Na,1
洩水牆,0.3162271925795595,Na,1
老鷹,0.31395311962622713,Na,1
樹梢,0.31395311962622713,Nc,1
翼展,0.31395311962622713,Na,1
溢流口,0.30413575495434053,Na,2
群山,0.30247260629338985,Na,1
夜市,0.30247260629338985,Nc,1
紅豆餅,0.29999678004976216,Na,1
山產,0.29999678004976216,Na,1
抖音,0.29197763602553817,Na,1
朝聖,0.29197763602553817,VA,1
主管,0.28864390276956325,Na,1
噪音,0.28864390276956325,Na,1
擴音器,0.28864390276956325,Na,1
過年,0.28630976321666834,VA,1
攤位,0.2828975254005528,Na,1
高地,0.276176919059748,Na,1
時序,0.24770029041675468,Na,1
木棉花,0.24770029041675468,Na,1
生機,0.24770029041675468,Na,1
竹筍,0.2411608392128795,Na,1
福菜,0.2411608392128795,Na,1
山豬肉,0.2411608392128795,Na,1
表演,0.23918797889890905,VC,1
平車,0.22999805103034382,Na,1
中遠,0.21145193218106884,Nb,1
限定版,0.19181507178734364,Na,1
山景,0.17877853950530792,Na,1
大湖鄉,0.1691479676915724,Nc,1
銅文蘭溪,0.15253013732013154,Nc,1
堰塞湖,0.15253013732013154,Na,1
壽豐鄉,0.15253013732013154,Nc,1
木瓜溪,0.15253013732013154,Nc,1
橢圓形,0.15253013732013154,Na,1
