words,tfidf,pos,freq
校長,3.641143595366387,Na,30
鳳林,2.9795011630158874,Nc,25
夢工廠,1.4645661410077122,Nc,10
歷史,1.3019947995467338,Na,7
客家人,0.9464623983278397,Na,6
導覽,0.8463102405735787,VC,4
故事性,0.7373310232268468,Na,1
鳳林鎮,0.6769783271329048,Nc,3
山林,0.5773502691896257,Nc,1
文化,0.568014250475736,Na,4
古色古香,0.5550006699192006,VH,1
花蓮縣,0.49800101237569677,Nc,1
鄉鎮,0.49800101237569677,Nc,1
展覽館,0.4427922848969977,Nc,1
張七郎,0.4426101175484382,Nb,4
用具,0.44123739413092755,Na,1
酸辣湯,0.37796447300922725,Na,1
小菜,0.37796447300922725,Na,1
小籠包,0.37796447300922725,Na,1
同情心,0.3398874884018692,Na,2
官舍,0.3342956194020861,Nc,3
蚊子館,0.297626245289247,Nc,1
花蓮,0.2930526020392643,Nc,2
支廳長,0.2799014115756789,Nb,2
客家話,0.25747544896386415,Na,1
粽子,0.25747544896386415,Na,1
客家村,0.24579863083725828,Nc,1
市集,0.24579863083725828,Na,1
學風,0.19818835009177993,Na,1
作用,0.19106195190320033,Na,1
博物館,0.19106195190320033,Nc,1
聚居地,0.18192118499733223,Nc,1
鳳嶺鄉,0.18192118499733223,Nc,1
領袖,0.18192118499733223,Na,1
價值觀,0.18192118499733223,Na,1
望族,0.18192118499733223,Na,1
名門,0.18192118499733223,Nc,1
內在,0.18192118499733223,Na,1
密度,0.17850239070634757,Na,2
文化館,0.17383173355172682,Nc,2
公園,0.1595517785983208,Nc,1
客家,0.1595517785983208,Na,9
文物館,0.1595517785983208,Nc,1
登山鞋,0.1595517785983208,Na,1
鳳林人,0.10896772382920884,Na,1
雛形,0.10896772382920884,Na,1
敬字亭,0.10896772382920884,Nc,1
惜字樓,0.10896772382920884,Nc,1
天性,0.10896772382920884,Na,1
士子,0.10896772382920884,Na,1
古人,0.10896772382920884,Na,1
前人,0.10896772382920884,Na,1
初中,0.08691586677586341,Nc,1
支廳,0.08691586677586341,Nc,3
教育界,0.08691586677586341,Nc,1
文建會,0.08691586677586341,Nc,1
文物,0.08691586677586341,Na,2
終身,0.08691586677586341,Na,1
美名,0.08691586677586341,Na,1
耆老,0.08691586677586341,Na,1
鎮公所,0.08691586677586341,Nc,1
長官,0.08691586677586341,Na,1
