words,tfidf,pos,freq
瀑布,4.337280670545227,Na,45
步道,3.6936814442600765,Na,23
林道,1.6613572506467393,Na,9
觀景台,1.3119604593384215,Nc,5
水田,1.2236082362194414,Na,7
涼爽,1.107076559592973,VH,4
生態,0.8458490883008867,Na,4
鴛鴦谷,0.800948212826045,Nc,9
原始,0.7094550221804117,VH,5
樹陰,0.6734480993528558,Na,1
避暑,0.6354225401620004,VA,2
幽靜,0.6033685038722837,VH,2
登山口,0.5681247868355546,Nc,3
清幽,0.5106038856973873,VH,1
瀑布區,0.4671205294685415,Nc,2
爬山,0.4411237566436814,VA,2
蟲鳴,0.39647634162875267,Na,2
芬多精,0.39647634162875267,Na,2
清新,0.3607840453535942,VH,1
人煙稀少,0.3607840453535942,Na,1
低難度,0.3555885094191169,Na,1
風聲,0.3555885094191169,Na,1
平台,0.34938278196955885,Na,2
負離子,0.3286864290244062,VJ,1
鴛鴦,0.3253514149910396,Na,13
健行,0.3215851527412334,VA,1
蜜蜂,0.31821362663538527,Na,3
停車處,0.3024987567513795,Nc,1
天然,0.3024987567513795,A,1
老少咸宜,0.2955990529629739,VH,1
木踏階,0.2955990529629739,Na,1
木棧板,0.2940452307761757,Na,2
尖石鄉,0.29183295173146395,Nc,2
自行車,0.2744489511511657,Na,1
內瓦,0.2744489511511657,Nc,1
新竹,0.2744489511511657,Nc,2
露營,0.2744489511511657,VA,1
白線路,0.25047549852583756,Nc,1
舖面,0.25047549852583756,Na,1
水瀑布,0.2278979984835019,Na,1
觀瀑,0.21296115803627869,VC,1
水荒,0.21296115803627869,Na,1
豪雨,0.21296115803627869,Na,1
祕境,0.21202502248712982,Nc,1
魚兒,0.21202502248712982,Na,1
清涼,0.21202502248712982,VH,1
放風,0.20931238881701328,VA,1
內灣,0.20931238881701328,Nc,2
鳴聲,0.2085588454545622,Na,1
鰻潭,0.18830286258049256,Nc,1
叉路口,0.18830286258049256,Na,1
溪流,0.18830286258049256,Na,1
雙瀑,0.18830286258049256,Na,1
自然,0.18226503851525888,VH,3
