words,tfidf,pos,freq
玩水,8.131451200803687,VA,31
戲水,2.482064135743529,VA,12
避暑,2.094174981373781,VA,3
溪水,1.888205340053572,Na,7
戲水區,1.2789655432885085,Nc,5
烤肉區,1.2446019030354523,Nc,7
涼爽,1.1950754290875452,VH,4
清涼,1.1261028805611353,VH,3
消暑,1.1136800994378593,VA,3
瀑布,1.0274904747242195,Na,3
水域,0.8196702592600671,Na,4
蜜蜂,0.7071067811865475,Na,1
蟲子,0.7071067811865475,Na,1
遊樂,0.6748198150923818,VA,1
烤肉組,0.6399301292185635,Na,3
烤肉桌,0.609717990815533,Na,3
大豹溪,0.5777955905218896,Nc,2
電風扇,0.5739796837490178,Na,1
木炭,0.5621238942516449,Na,2
勞闆,0.5260314118228846,Na,1
業主,0.5093064855898208,Na,2
深淺,0.49913428877476906,Na,2
溪流,0.4986650560907995,Na,2
水處,0.4702655045608075,Nc,1
釣魚,0.46334853948474536,VA,1
大阪根,0.4589503019579358,Nc,1
雨傘,0.4312281040692649,Na,2
烤肉架,0.42085212116751175,Na,2
下游,0.4086498434695838,Nc,1
滑梯,0.4086498434695838,Na,1
烤架,0.3940877776059886,Na,1
遮雨棚,0.37958915973389024,Na,1
游泳,0.36903873026253553,VA,3
年齡段,0.36903873026253553,Na,1
三峽,0.3685685489674251,Nc,3
淺水區,0.3640996285987815,Nc,1
水水,0.34782450427326705,Nc,1
優點,0.3131204424772304,Na,1
預報,0.30620847826502207,Na,1
療癒,0.30084873679858526,VC,1
急流,0.30084873679858526,Na,1
消防員,0.300788813767821,Na,1
泳圈,0.2964935169422359,Na,3
危險區,0.2837516766735535,Nc,1
新北,0.2837516766735535,Nc,1
水安隊,0.2837516766735535,Nc,1
近區,0.2837516766735535,Nc,1
安全感,0.2799497503512008,Na,1
更衣區,0.2799497503512008,Nc,1
水深,0.2799497503512008,Na,1
燒烤桌,0.27246513661106514,Na,1
噪音,0.27246513661106514,Na,1
沖洗區,0.26678713240981855,Nc,1
烤肉味,0.26678713240981855,Na,1
煙味,0.26678713240981855,Na,1
男女,0.26678713240981855,Na,1
碳煙,0.26678713240981855,Na,1
海邊,0.2555581866385727,Na,1
棚子,0.24885228916698804,Na,1
棚架,0.24885228916698804,Na,1
詩意,0.23704887172619168,Na,1
腳步,0.22664488064815988,Na,1
協會,0.22664488064815988,Nc,1
用具,0.2071210191400325,Na,1
充氣船,0.2071210191400325,Na,1
桌費,0.20295716595965665,Na,1
烤肉盆,0.20295716595965665,Na,1
鐵皮,0.1922326266742027,Na,2
隔間,0.18075894536874076,Na,1
流速,0.14708859741048524,Na,1
陌生人,0.14708859741048524,Na,1
游泳池,0.1228561829891417,Nc,1
阿山泉水,0.1228561829891417,Nb,1
泡泡水,0.1228561829891417,Na,1
口袋,0.1228561829891417,Na,1
冤枉錢,0.11269917230584578,Na,1
商店,0.11269917230584578,Nc,1
縫線,0.11269917230584578,Na,1
烤肉煙,0.09611631333710136,Na,1
志工站,0.0875935922275599,Nc,1
志工隊,0.0875935922275599,Na,1
輪框,0.0875935922275599,Na,1
