words,tfidf,pos,freq
鹿港,1.1878313681102575,Nc,6
日照,1.1624503454988386,Na,3
古色古香,1.0,VH,1
懷舊,1.0,VH,1
復古,1.0,VHC,1
建商,0.8496393931679397,Na,2
古蹟,0.7207827453238025,Na,2
長照,0.5293175755400871,Nb,1
彰化,0.4767675527874219,Nc,2
艋胛,0.45442204918610407,Na,1
老街,0.4309877009891413,Nc,2
文武廟,0.3908814607197151,Nc,2
日本,0.3753340766680592,Nc,2
原始,0.34406308237951044,VH,1
肉包,0.34255468737897904,Na,2
文化,0.33078854778081523,Na,1
民心,0.33078854778081523,Na,1
民性,0.33078854778081523,Na,1
臺糖,0.3243376676328648,Nc,1
鐵路,0.3243376676328648,Na,1
紅豆餅,0.3230555304734625,Na,1
芋頭餅,0.3230555304734625,Na,1
豆漿,0.3230555304734625,Na,1
甜餅,0.3230555304734625,Na,1
廟口,0.3230555304734625,Nc,1
台中站,0.3165185053857624,Nc,1
汽車站,0.3165185053857624,Nc,1
步道,0.28748144341055143,Na,1
洗衣店,0.28748144341055143,Nc,1
區間車,0.28674577197049383,Na,1
海山線,0.28674577197049383,Na,1
站體,0.25454342838954663,Na,1
貨運,0.25454342838954663,Na,1
鐵道,0.1876670383340296,Na,1
線西,0.1876670383340296,Na,1
溪湖,0.1876670383340296,Nc,1
會社,0.1876670383340296,Nc,1
新高,0.1876670383340296,Na,1
大日立,0.1876670383340296,Nb,1
丁家,0.17127734368948952,Nb,1
天后宮,0.17127734368948952,Nc,1
宅宅,0.17127734368948952,Nc,1
市場,0.17127734368948952,Nc,1
文物館,0.17127734368948952,Nc,1
杉行街,0.17127734368948952,Nc,1
民俗,0.17127734368948952,Na,1
老龍師,0.17127734368948952,Nb,1
阿振,0.17127734368948952,Nb,1
龍山寺,0.17127734368948952,Nc,1
