words,tfidf,pos,freq
鯨鯊,5.111882073040631,Na,27
體驗,4.881754662699035,VC,21
基隆,3.1552192998348585,Nc,33
基隆港,2.935061627177022,Nc,15
花園,2.5454454102850015,Nc,13
郵輪,2.391763290504861,Na,9
海景,1.9661352958462124,Na,5
拍照,1.8095540968841641,VB,4
悠閒,1.5006799885772737,VH,4
海風,1.3743436823596045,Na,4
港口,1.2321913015204415,Nc,4
市集,1.16365850175166,Na,5
特效,1.1437577988554173,Na,4
夜市,1.0912340568677155,Nc,3
鯨魚,0.9810011714669731,Na,7
碼頭,0.8749088929824324,Nc,4
鯨豚,0.8451281859052638,Na,1
程式,0.7900886165896539,Na,3
廟口,0.7717649950063932,Nc,2
散步,0.7654255584642495,VA,4
鯊鯨,0.747775550833209,Na,1
魚兒,0.740958441680698,Na,4
相容性,0.6662437804656096,Na,2
鯊魚,0.6598593504816979,Na,5
浪漫,0.656267534493835,VH,4
遊輪,0.6539736035290111,Na,3
拍攝,0.6523240470735421,VC,3
趣味,0.6301459318527032,Na,1
麗都蝶客,0.6266800848786815,Nb,2
夕陽,0.6258323288583536,Na,1
京鯊,0.6152819134543116,Nb,1
平台,0.6076521339816372,Na,3
海港,0.5991277905354251,Nc,2
夜景,0.5960115889703576,Na,2
商場,0.5837235990599352,Nc,2
港景,0.5773574197846796,Na,1
港都,0.5752206097855576,Nc,2
壽司,0.5688279254826379,Na,3
曬太陽,0.568595968866653,VA,1
商家,0.542252126771653,Na,2
vr,0.5260484625471755,FW,0
太太,0.5260484625471755,Na,1
本土味,0.5,Na,1
麗都,0.49825328962215476,Nb,5
西岸,0.4969404746907241,Nc,1
辨識圖,0.46345111144031037,Na,2
港區,0.45570738152850526,Nc,2
網站,0.4502376807576361,Nc,2
陰涼處,0.44842715535020206,Nc,1
人像,0.44579225890942337,Na,1
粉紅色,0.44030676885463205,Na,3
程序,0.4091211243525181,Na,1
黑鳶,0.40580233119897074,Na,2
海岸,0.4015315441009619,Nc,2
觀海,0.3891054704195475,VA,1
鯨鯊魚,0.38429738449009043,Na,1
原始,0.36728830620190783,VH,2
進度,0.3654765491570847,Na,1
老鷹,0.35867271742736817,Na,2
貨輪,0.35732879764035264,Na,1
總機,0.35664672490370736,Na,1
蝶客,0.32947541855990636,Nb,4
基隆塔,0.32604563476406023,Nc,2
路人,0.30966989030261927,Na,1
震撼,0.30865620504653174,VJ,1
港灣,0.3031221666888927,Na,1
視角,0.3031221666888927,Na,1
攤位,0.29998807653080994,Na,2
熱鬧,0.297664473330219,VH,2
放風,0.28468518879907284,VA,1
港港,0.28468518879907284,Nc,1
應美,0.28007541350405624,Nb,1
電源,0.28007541350405624,Na,1
燈柱,0.28007541350405624,Na,1
固定性,0.28007541350405624,Na,1
藝術,0.2759899971357059,Na,2
海螺,0.2759899971357059,Na,2
排煙口,0.2759899971357059,Nc,2
上下輪,0.25941360026277055,Na,1
商港,0.25941360026277055,Nc,1
光顧會,0.2592768916191195,Nc,1
草花,0.25286712826513186,Na,1
掃描點,0.2510208455643244,Na,1
玩法,0.2510208455643244,Na,1
眼睛,0.2395809595375826,Na,1
參肆行,0.23120140354189686,Nb,1
強度,0.23101251251291097,Na,1
優點,0.23101251251291097,Na,1
轉角,0.2255137879065139,Nc,1
信二路,0.2255137879065139,Nc,1
牆壁,0.2255137879065139,Na,1
日和,0.22274358930045993,Nb,1
眼簾,0.22274358930045993,Na,1
睛日,0.22274358930045993,Na,1
大車,0.22152259811189473,Na,1
表演,0.21289932083335192,VC,1
夫妻,0.20849033610218498,Na,1
星空,0.20849033610218498,Na,1
歌手,0.20849033610218498,Na,1
條碼,0.20460586982309048,Na,1
步驟,0.20460586982309048,Na,1
客源,0.20179442955776192,Na,1
願景,0.20179442955776192,Na,1
下午茶,0.20107287631149123,Na,1
黃昏,0.18516086436465004,Nd,1
檔案,0.18271078385794312,Na,1
展覽,0.18271078385794312,VC,1
個資,0.18271078385794312,Na,1
海天一色,0.18202416659902526,Na,1
停車處,0.1735604639154192,Nc,1
巨人,0.1728813936584013,Na,1
深海,0.1728813936584013,Nc,1
夜拍,0.15343502145277685,Na,1
模樣,0.15343502145277685,Na,1
高温,0.15343502145277685,Na,1
車格,0.13619907478618778,Na,1
船港區,0.12846746365518655,Nc,1
青鳥,0.12846746365518655,Na,1
中正,0.12846746365518655,Nb,1
公園,0.12846746365518655,Nc,1
低分,0.1155615740998859,Na,1
外縣市,0.1155615740998859,Nc,1
怨言,0.1155615740998859,Na,1
本意,0.1155615740998859,Na,1
愛心,0.11024295435388351,Na,1
粉色,0.11024295435388351,Na,1
