words,tfidf,pos,freq
歷史,13.033601513715212,Na,66
博物館,12.948253488206031,Nc,76
黑橋牌,12.493733749679224,Na,85
復古,11.190077406425058,VHC,47
拍照,11.07678588168578,VB,65
伴手禮,9.018514363683465,Na,40
懷舊,7.806581771616112,VH,41
體驗,3.8874205702803764,VC,11
古早味,3.666792704690595,Na,14
台南,3.5458153486329707,Nc,20
文化,2.984449283546853,Na,20
懷念,2.978764853816287,VJ,9
購物,2.655567990565467,VA,10
肉乾,2.6446557220300297,Na,11
懷舊風,2.2691810795390985,Na,4
文物,2.245270571051114,Na,6
巨無霸,2.1668257084104146,Na,9
熱食,2.165904161139694,Na,10
企業,2.115354300731488,Na,8
蒜頭,2.0229901792189797,Na,9
門市,1.9547374618179318,Nc,5
diy,1.728838887713604,FW,0
展覽,1.6238429723554055,VC,8
導覽,1.588938910565344,VC,6
麵包,1.539610789415915,Na,5
肉包,1.4065780317659196,Na,7
心腸,1.3319982205072018,Na,3
佈景,1.3095926725405094,Na,5
飛魚卵,1.2853351057844065,Na,3
傳統,1.2359257490572615,VH,7
產線,1.2085496498573014,Na,6
肉品,1.2018829617870548,Na,7
用餐區,1.177775076926983,Nc,3
冰淇淋,1.1553203081351229,Na,4
商店,1.151638956713981,Nc,6
肉條,1.1366026233914932,Na,6
悠閒,1.1264306446737171,VH,2
黑橋,1.1017562559991219,Nc,89
醬油膏,1.0782609169822335,Na,2
展場,1.062887852405244,Nc,4
拍照點,1.0443201101153141,Na,3
老少咸宜,1.0,VH,1
骰子,0.9948228936638945,Na,3
香皂,0.9946914722617792,Na,3
過年,0.9480954903737222,VA,2
香料,0.932010639886639,Na,4
藝術,0.9166804860389036,Na,4
香味,0.9075474833373218,Na,4
踏青,0.8931782825509059,VA,1
展館,0.8912095565008278,Nc,2
彈珠,0.8840218901490737,Na,4
飯糰,0.8818947598200522,Na,3
墨魚,0.8697534105415525,Na,3
粽子,0.8643664001308873,Na,7
棧板,0.8492514432362614,Na,1
豬肉,0.8490614378785001,Na,7
禮盒,0.8464769985107469,Na,5
歴史,0.840501040786574,Na,2
專賣店,0.8192667328544946,Nc,2
生產線,0.7672633134721325,Na,2
條子,0.7666948355849448,Na,2
小知識,0.7530536399936659,Na,2
禮品,0.7522476516556367,Na,3
糯米腸,0.7517854540481155,Na,3
香腸店,0.7393137882276897,Nc,1
指紋,0.731764511683318,Na,2
知识,0.7298507818706235,Na,1
隧道,0.7221359891095991,Na,3
台南味,0.7069261297650012,Na,1
做法,0.692974375746628,Na,2
鬆餅卷,0.6804181381173924,Na,1
專賣區,0.6792957008812106,Nc,1
懷舊感,0.6475331629025716,Na,3
售價,0.63830054037553,Na,2
成長史,0.6360607214210666,Na,1
古色古香,0.6331706805203029,VH,1
放電,0.627951034589895,VA,1
熱食類,0.6063371213948945,Na,1
小吃部,0.6028590349017464,Na,3
裁縫機,0.5978388542686192,Na,1
肉鬆,0.5939049302651371,Na,3
掛飾,0.574138530761267,Na,1
腳踏車,0.5717345958265635,Na,5
紀念品,0.5604166241101246,Na,2
庭院,0.5577598891603932,Na,1
寓教於樂,0.5539921315657441,VA,2
企鵝妹,0.5535554922863107,Na,1
木片,0.5472976208005438,Na,1
指甲,0.5472976208005438,Na,1
民國風,0.5435177055553596,Na,2
展覽館,0.5226505883206796,Nc,2
汽水,0.5203618110561234,Na,2
廠區,0.5185002416257202,Nc,2
趣味,0.514367939833824,Na,1
手作,0.514367939833824,Na,1
豬製品,0.5117911333356727,Na,1
外皮,0.5102574709879456,Na,3
中英,0.506941652668175,Nc,1
肉類,0.5005889491468406,Na,2
刈包,0.4979265348080535,Na,1
誠意,0.4959448320471578,Na,1
商品區,0.4916848446670482,Nc,2
心路歷程,0.48423378635394165,Na,2
鬆餅捲,0.481105092111732,Na,1
參觀區,0.4768773913204684,Nc,1
麻糬,0.4748376286336927,Na,3
品項,0.47229123262479566,Na,3
歐風,0.4682247022300875,Na,1
散步,0.4672340686061021,VA,1
九份,0.46386350264182874,Nc,1
實況,0.46028811742982073,Na,1
大蒜,0.4564111086230559,Na,1
父母,0.4483978783190298,Na,2
相腸,0.4475967517631107,Na,1
橋牌,0.445069674465546,Na,88
試卷,0.4442137905012001,Na,1
原料,0.4388965380337931,Na,1
童趣,0.4388965380337931,Na,1
內在,0.41989607433904086,Na,1
座時光機,0.41751776730179047,Na,1
落地窗,0.4171438603503583,Na,1
殘念,0.4144113526739075,Na,1
