words,tfidf,pos,freq
戲水,1.677242671155918,VA,4
釣魚,1.6245221342995806,VA,3
古道,1.4163534997557061,Na,7
遊憩區,1.0944894347685603,Nc,5
消暑,1.0155658873801245,VA,2
幽靜,0.9106807447539079,VH,2
清涼,0.9021619247801,VH,2
羌仔連埤,0.6781642097987727,Nc,2
防空洞,0.5950782744739109,Na,3
鼻仔頭,0.5946048997702079,Na,7
步道,0.5880932476074165,Na,2
泡泡腳,0.5109438083471887,Na,1
墫魚,0.45499649897094463,Na,1
香魚,0.45499649897094463,Na,1
清靜,0.3993719642844292,VH,1
野餐,0.39233873951324233,VA,2
山麓,0.37412337581350785,Na,3
水圳,0.3599164584703513,Na,1
鄉下,0.34492239559928006,Nc,1
河圳道,0.3365190036058888,Na,1
公園,0.3269310454307858,Nc,2
養豬場,0.3214613043700913,Nc,1
應公廟,0.3088382742215511,Nc,1
豬塭,0.3062691119292604,Nc,1
溪水,0.3002962305114708,Na,1
渡口,0.2843198359294709,Nc,2
宜蘭,0.2843198359294709,Nc,2
湧泉,0.2843198359294709,Na,2
逸仙村,0.2843198359294709,Nc,2
大湖,0.28191929192675147,Nc,2
螃蟹,0.27451741382185774,Na,1
山林,0.26021717151191975,Nc,1
三連埤,0.26021717151191975,Nc,1
自然,0.25407217063009657,VH,2
自然味,0.25407217063009657,Na,1
名宿,0.2325504267069969,Na,1
手作,0.2325504267069969,Na,1
中繼點,0.2134568077760982,Na,1
圳制,0.2134568077760982,Na,1
水門,0.2134568077760982,Na,1
姜仔連埤,0.19182726455510718,Nb,2
平台,0.17720653576535453,Na,2
風帆,0.09854792292653275,Na,1
眼簾,0.09854792292653275,Na,1
石刻,0.09854792292653275,Na,1
蟲鳴,0.09854792292653275,Na,1
鄉長,0.09854792292653275,Na,1
老少咸宜,0.09854792292653275,VH,1
風聲,0.09854792292653275,Na,1
鳥叫聲,0.09854792292653275,Na,1
黃評,0.09854792292653275,Nb,1
溪流,0.09854792292653275,Na,2
鼻子,0.09854792292653275,Na,1
現況,0.09854792292653275,Na,1
山坳,0.09854792292653275,Nc,1
沿革,0.09854792292653275,Na,1
清幽,0.09854792292653275,VH,1
山光水色,0.09854792292653275,Na,1
吉日,0.09854792292653275,Na,1
史料,0.09854792292653275,Na,1
凉亭,0.09854792292653275,Na,1
內城村,0.09854792292653275,Nc,1
交界處,0.09854792292653275,Nc,1
上级部,0.09854792292653275,Nc,1
思古,0.09854792292653275,VH,1
前人,0.09591363227755359,Na,1
水田,0.09591363227755359,Na,1
肥料,0.09591363227755359,Na,1
逸仙橋,0.09591363227755359,Nc,1
鷺絲,0.09591363227755359,Na,1
鼻仔頭圳,0.09591363227755359,Nc,1
