words,tfidf,pos,freq
龍潭,1.4121298591267677,Nc,6
熱鬧,1.248938769243881,VH,2
朝聖,1.0,VA,1
龍元宮,0.8839232181119878,Nc,3
拜拜,0.5773502691896257,VA,1
靈驗,0.5773502691896257,VH,1
菱潭街,0.5510286834224872,Nc,2
敬老金,0.5,Na,1
牛雜湯,0.5,Na,1
香火,0.418134463027893,Na,1
鼎盛,0.418134463027893,VH,1
地方廟,0.418134463027893,Na,1
計程車,0.41414316237627224,Na,1
品項,0.39656329174553395,Na,1
外表,0.38262791422719505,Na,1
古老,0.38262791422719505,VH,1
氣派,0.38262791422719505,VH,1
小吃店,0.382627914227195,Nc,1
飲料店,0.382627914227195,Nc,1
文藝,0.3341248565576415,Na,1
參拜,0.3162277660168379,VC,1
神農,0.3162277660168379,Nb,1
龍潭街,0.3162277660168379,Nc,1
大帝,0.3162277660168379,Na,1
五穀爺,0.3162277660168379,Nb,1
薑汁,0.3159715595418375,Na,1
豆花店,0.3159715595418375,Nc,1
身子,0.3159715595418375,Na,1
下午茶,0.3078739429811562,Na,1
商圈,0.3078739429811562,Nc,1
宵夜,0.3078739429811562,Na,1
早市,0.3078739429811562,Nc,1
晚餐,0.3078739429811562,Na,1
單車,0.29263993505864677,Na,1
