words,tfidf,pos,freq
南瓜,4.409602347736778,Na,35
隧道,1.6508647614307563,Na,7
步道,1.4807662756826279,Na,6
環湖,1.4311680891365617,A,5
清幽,1.3823583599985678,VH,5
南瓜節,0.9848644124476338,Nd,6
金瓜,0.8614557744603792,Na,2
瓜葉,0.6655761246691682,Na,1
湖畔,0.6319922738616863,Na,2
湖景,0.5853864987037751,Na,1
南瓜藤,0.5773502691896257,Na,1
風光明媚,0.5679690888494714,VH,1
散步,0.5580363477686974,VA,5
眼界,0.524298814378094,Na,1
拍照,0.4730770414483143,VB,2
壯觀,0.3815331673852077,VH,1
苗栗,0.38082462136885936,Nc,1
百匯,0.36964601364914884,Nb,1
綠龍,0.3615516741344658,Na,1
藝術,0.3615516741344658,Na,1
農產品,0.3615516741344658,Na,1
冰淇淋,0.3567607370053413,Na,2
市集,0.3567607370053413,Na,2
虎頭蜂,0.3286669024445876,Na,1
鐘罄聲,0.3286669024445876,Na,1
磊磊,0.3286669024445876,Nb,1
聲響,0.3286669024445876,Na,1
廟宇,0.3286669024445876,Na,1
木魚,0.3286669024445876,Na,1
湖趣,0.32758551538930586,Na,1
池塘,0.314762557669785,Nc,1
長廊,0.314762557669785,Nc,1
南瓜品,0.31253391501280026,Na,1
老農,0.30953839895918506,Na,1
化粧室,0.30691260537973786,Nc,1
愜意,0.28724209469581835,VH,1
造橋鄉,0.27697265348757494,Nc,2
龍昇湖,0.27697265348757494,Nc,2
在來,0.2523604775343102,Na,1
拍攝,0.2450165035881778,VC,1
懷念,0.17838036850267064,VJ,1
小舖,0.17838036850267064,Nc,1
攤位,0.17838036850267064,Na,1
農村,0.17838036850267064,Nc,1
丘陵,0.12556176722936002,Na,1
優勢,0.12556176722936002,Na,1
地形,0.12556176722936002,Na,1
年度,0.12556176722936002,Na,1
文化,0.12556176722936002,Na,1
盛會,0.12556176722936002,Na,1
知名度,0.12556176722936002,Na,1
農產業,0.12556176722936002,Na,1
龍昇,0.12556176722936002,Nb,3
